source_id,institution_id,institution_name,program_id,program_or_professor,claim_type,exact_claim_supported,source_title,publisher,publication_date,url,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,access_note
src:ffcedb1915c4a364,ca:dli:O19305471522,University of Waterloo,ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,MMath in Computer Science (thesis),program/admissions,MMath is a 24-month research master's; admission is thesis-only; September deadline is December 1; bachelor minimum is 78%.,Computer Science - Master of Math,University of Waterloo,,https://uwaterloo.ca/future-graduate-students/programs/by-faculty/math/computer-science-master-math-mmath,official program page,official,2026-09-09,Fall 2027/current,high,opened/current,No search snippet used as final evidence; URL/page content reviewed.
src:1bf899277b482283,ca:dli:O19305471522,University of Waterloo,ca:dli:O19305471522:program:direct-entry-phd:phd-in-computer-science-direct-from-bachelor-s-exception,PhD in Computer Science (direct from bachelor's exception),degree route,Exceptional bachelor's applicants may be considered for direct PhD entry and should expect about six years.,Computer Science graduate programs,University of Waterloo,,https://uwaterloo.ca/computer-science/future-graduate-students/programs,official department page,official,2026-09-09,current,high,opened/current,No search snippet used as final evidence; URL/page content reviewed.
src:51d2acff07315e1e,ca:dli:O19305471522,University of Waterloo,ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,MMath in Computer Science (thesis),funding,"All full-time MMath/PhD students receive packages; Fall 2026 international MMath first-year package is $51,990.",Funding and awards,University of Waterloo,,https://uwaterloo.ca/computer-science/current-graduate-students/funding-and-awards,official funding page,official,2026-09-09,2026-27,high,opened; cycle limits recorded,No search snippet used as final evidence; URL/page content reviewed.
src:49d704811696ad48,ca:dli:O19305471522,University of Waterloo,ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,MMath in Computer Science (thesis),application fee,Graduate application fee is $150 CAD per program.,How to apply,University of Waterloo,,https://uwaterloo.ca/future-graduate-students/admissions/how-to-apply,official admissions page,official,2026-09-09,current,high,opened/current,No search snippet used as final evidence; URL/page content reviewed.
src:b2de80643414b530,ca:dli:O19305471522,University of Waterloo,ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,MMath in Computer Science (thesis),faculty,"Shane McIntosh is current Associate Professor working in empirical SE, software delivery/DevOps and quality.",Shane McIntosh,University of Waterloo,,https://uwaterloo.ca/computer-science/about/people/s4mcinto,official faculty profile,official,2026-09-09,current,high,opened/current,No search snippet used as final evidence; URL/page content reviewed.
src:8470c70615c7c32a,ca:dli:O19305471522,University of Waterloo,ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,MMath in Computer Science (thesis),recent work,Lab bibliography lists multiple 2024 CI/build/software-quality papers involving Shane McIntosh.,Software REBELs publications,University of Waterloo,,https://rebels.cs.uwaterloo.ca/publications.html,official lab bibliography,official,2026-09-09,2024-26,high,opened; cycle limits recorded,No search snippet used as final evidence; URL/page content reviewed.
src:3ce42f08db4178ee,ca:dli:O19330231062,University of British Columbia,ca:dli:O19330231062:program:thesis-or-research-master-s:msc-in-computer-science-research,MSc in Computer Science (research),program/deadline,"UBC offers funded research MSc, PhD and PhD Track; deadline is December 15, 2026 for September 2027/January 2028.",Admissions,UBC Computer Science,,https://www.cs.ubc.ca/students/grad/admissions,official department page,official,2026-09-09,Fall 2027,high,opened/current,No search snippet used as final evidence; URL/page content reviewed.
src:a32de42ff707e997,ca:dli:O19330231062,University of British Columbia,ca:dli:O19330231062:program:integrated-or-structured-doctorate:phd-track-via-msc,PhD Track via MSc,eligibility,MSc accepts four-year bachelor's; PhD Track selects exceptional MSc applicants without a master's.,Eligibility,UBC Computer Science,,https://www.cs.ubc.ca/students/grad/admissions/eligibility,official admissions page,official,2026-09-09,current,high,opened/current,No search snippet used as final evidence; URL/page content reviewed.
src:19153687d0b0dcf4,ca:dli:O19330231062,University of British Columbia,ca:dli:O19330231062:program:thesis-or-research-master-s:msc-in-computer-science-research,MSc in Computer Science (research),funding,"2026-27 international MSc package totals $42,107 with $30,467 listed net in year one; minimum guaranteed two years.",Stipends & Support Details 2026-2027,UBC Computer Science,,https://www.cs.ubc.ca/grads/awards-support-current-grad-students/financial-assistantship/stipends-support-details-2026-2027,official funding page,official,2026-09-09,2026-27,high,opened; cycle limits recorded,No search snippet used as final evidence; URL/page content reviewed.
src:fec3070002cf645d,ca:dli:O19330231062,University of British Columbia,ca:dli:O19330231062:program:thesis-or-research-master-s:msc-in-computer-science-research,MSc in Computer Science (research),application model,Advance faculty contact is not necessary; MSc students are admitted to the department.,Online Application,UBC Computer Science,,https://www.cs.ubc.ca/students/grad/admissions/application-components-required-documents/online-application,official admissions page,official,2026-09-09,Fall 2027,high,opened/current,No search snippet used as final evidence; URL/page content reviewed.
