program_id,institution_id,institution_name,country,program_name,degree_type,department,official_program_url,thesis_dissertation_requirement,research_credit_requirement,research_groups_labs,direct_from_bachelors_eligible,international_student_eligible,language_of_instruction,current_program_status,preliminary_fit,screening_decision,exclusion_reason,minimum_gpa,minimum_gpa_policy,prerequisite_coursework,gre_policy,english_requirement_waiver,fall_2027_deadline,deadline_cycle_status,application_fee,fee_currency,fee_waiver_rules,multiple_applications_allowed,separate_fees_required,admissions_model,faculty_contact_expectation,funding_model,funding_status,stipend_amount,stipend_currency,funding_duration_years,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_funding,funding_conditions,supervisor_dependent_funding,phd_funding,masters_funding,scholarships_fellowships,professor_fit_score,faculty_depth_score,research_fit_score,funding_score,eligibility_score,degree_admissions_score,application_economics_score,overall_score,admission_plausibility,recommendation,final_decision,biggest_risk,unresolved_question,single_professor_dependency,verification_status,notes
ror:013meh722:program:phd:phd-in-computer-science,ror:013meh722,University of Cambridge,United Kingdom,PhD in Computer Science,PhD,Computer Science / Computing / Informatics,https://www.cst.cam.ac.uk/admissions/phd,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,yes,yes; credential and visa conditions apply,Program and application materials are in English; proof rules depend on applicant history,Active/current official route checked 2026-09-09,yes,deep_review,,Not numerically stated on the program evidence used,First-class honours/equivalent; a master's is increasingly desirable but not a formal universal prerequisite,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.postgraduate.study.cam.ac.uk/international/competence-english,14 Oct 2026 or 8 Dec 2026 for main funding routes; 13 May 2027 final externally funded deadline,official 2027/28 cycle,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Central postgraduate application plus proposed research area and supervisor fit,Check program instructions; faculty fit is not an open-position claim,Competitive Cambridge/Gates/departmental studentships; full international coverage is award-specific,Not confirmed for applicant,,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Competitive Cambridge/Gates/departmental studentships; full international coverage is award-specific,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,22,15,22,13,10,9,2,71,Reach,Outreach Before Decision,,Very high selectivity and no verified award,Which 2027 studentship covers full overseas fees plus stipend?,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: immediate bachelor's-entry route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,ror:02jx3x895,University College London,United Kingdom,Computer Science MPhil/PhD,Integrated or structured doctorate,Computer Science / Computing / Informatics,https://www.ucl.ac.uk/study/prospective-students/graduate/courses/computer-science-mphilphd,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,yes,yes; credential and visa conditions apply,English-medium program; formal test/waiver rules apply,Active/current official route checked 2026-09-09,yes,deep_review,,Not numerically stated on the program evidence used,Relevant bachelor's at UK upper-second equivalent or stronger; exact Nigerian/US credential assessment is individual,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.ucl.ac.uk/prospective-students/graduate/english-language-requirements,12 Feb 2027 and 16 Apr 2027 for October 2027 entry,official 2027/28 cycle,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Research-degree application; identifying/contacting a potential supervisor is advised,Check program instructions; faculty fit is not an open-position claim,"Department, doctoral-training and external awards; no universal international package",Not confirmed for applicant,,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,"Department, doctoral-training and external awards; no universal international package",Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,27,15,27,8,11,9,2,72,Plausible to reach,Investigate Further,,Published 2027 tuition and a full award are both absent,Is there an overseas-fee-covering studentship tied to software engineering/LLM reliability?,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: immediate bachelor's-entry route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:041kmwe10:program:phd:phd-in-computing,ror:041kmwe10,Imperial College London,United Kingdom,PhD in Computing,PhD,Computer Science / Computing / Informatics,https://www.imperial.ac.uk/computing/prospective-students/phd/,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,No — applicants with only a bachelor's are not normally considered; the department expects a distinction-level master's.,yes; credential and visa conditions apply,English-medium program; formal test/waiver rules apply,Active/current official route checked 2026-09-09,yes,excluded,Bachelor-only applicants are not normally considered; a master's is expected for the immediate route.,Not numerically stated on the program evidence used,Strong relevant first degree; project/supervisor-specific expectations apply,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.imperial.ac.uk/study/apply/postgraduate-taught/english-language-requirements/,Fall 2027 deadline not yet verified,latest available page; 2027 deadline not published in captured evidence,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Departmental PhD application and research-group/supervisor fit,Check program instructions; faculty fit is not an open-position claim,Department states up to 30 fully funded PhD studentships annually for home and overseas candidates; selection is competitive,"Program-level availability stated, applicant award not confirmed",,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Department states up to 30 fully funded PhD studentships annually for home and overseas candidates; selection is competitive,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,29,15,44,21,0,9,2,76,Reach,Do Not Apply,,Imperial says bachelor-only applicants are not normally considered for this route.,"Would Imperial confirm an exceptional bachelor-only route in writing, or should an MSc come first?",yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: immediate bachelor's-entry route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,ror:05a28rw58,ETH Zurich,Switzerland,Direct Doctorate in Computer Science,Direct-entry PhD,Computer Science / Computing / Informatics,https://inf.ethz.ch/doctorate/direct-doctorate-computer-science.html,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,yes,yes; credential and visa conditions apply,Computer Science doctoral work can be completed in English; thesis-language rules permit English,Active/current official route checked 2026-09-09,yes,deep_review,,Not numerically stated on the program evidence used,Outstanding relevant bachelor's; highly selective direct-doctorate pathway,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://ethz.ch/students/en/doctorate/transferable-skills/languages.html,Fall 2027 deadline not yet published,latest official route page,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Departmental direct-doctorate selection combining master's-level coursework and doctoral research,Check program instructions; faculty fit is not an open-position claim,"Conditional on Direct Doctorate admission: financial support and tuition waivers for the first two years, followed by a competitive doctoral salary intended to cover living expenses.",Program-level support is stated for admitted Direct Doctorate students; no individual Fall 2027 offer or supervisor capacity is confirmed.,,,,Tuition waiver stated for the first two years; later doctoral terms follow the salaried phase and must be confirmed in the offer.,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Doctoral candidates are commonly employed; direct-doctorate financial terms must be confirmed in the offer,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,29,15,44,22,10,10,4,90,Reach,Outreach Before Decision,,Exceptional-entry threshold and no confirmed Fall 2027 supervisor capacity or individual offer.,Will a Fall 2027 admission include the stated two-year support/waiver and subsequent salaried doctoral appointment?,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: immediate bachelor's-entry route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,ror:05a28rw58,ETH Zurich,Switzerland,Doctoral Study Programme in Computer Science,PhD requiring a master's,Computer Science / Computing / Informatics,https://inf.ethz.ch/doctorate.html,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,no,yes; credential and visa conditions apply,English-medium program; formal test/waiver rules apply,Active/current official route checked 2026-09-09,yes,excluded,Master's requirement is not met for Fall 2027,Not numerically stated on the program evidence used,Relevant university master's degree required,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://ethz.ch/students/en/doctorate/transferable-skills/languages.html,Position/supervisor dependent; no Fall 2027 universal deadline,rolling/position-specific,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,"Professor-backed doctoral admission, normally with an employment relationship",Check program instructions; faculty fit is not an open-position claim,Most doctoral candidates are employed as scientific assistants; a specific position is required,No Fall 2027 position and applicant lacks required master's,,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Most doctoral candidates are employed as scientific assistants; a specific position is required,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,29,15,29,22,0,6,4,76,Clearly ineligible,Do Not Apply,,Master's requirement is not met for Fall 2027,Revisit after a qualifying research master's,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: master's-required future route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,ror:01jdpyv68,Saarland University,Germany,Saarbrücken Graduate School of Computer Science,Integrated or structured doctorate,Computer Science / Computing / Informatics,https://www.uni-saarland.de/en/future/computerscience.html,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,yes,yes; credential and visa conditions apply,Computer Science graduate programs are advertised in English,Active/current official route checked 2026-09-09,yes,deep_review,,Not numerically stated on the program evidence used,Exceptional bachelor's graduates may enter the preparatory/doctoral route directly,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.uni-saarland.de/en/future/computerscience.html,Fall 2027 deadline not yet published,latest official program description,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Graduate-school application with research-area matching,Check program instructions; faculty fit is not an open-position claim,Official page mentions an EUR 800/month scholarship for direct-entry students; this is not treated as sufficient full support without additional coverage,Insufficiently precise for full international cost coverage,800/month (direct-entry page; not treated as full funding),EUR,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Official page mentions an EUR 800/month scholarship for direct-entry students; this is not treated as sufficient full support without additional coverage,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,28,15,28,8,11,10,5,77,Plausible to reach,Investigate Further,,EUR 800/month alone is not a credible full-cost package,"What additional stipend, insurance, and fee coverage is guaranteed for 2027?",yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: immediate bachelor's-entry route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,ror:05f950310,KU Leuven,Belgium,Doctoral Programme in Computer Science,PhD requiring a master's,Computer Science / Computing / Informatics,https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,no,yes; credential and visa conditions apply,Official doctoral instructions require mastery of English,Active/current official route checked 2026-09-09,yes,excluded,Master's required and no funded vacancy identified,Not numerically stated on the program evidence used,Relevant master's or equivalent required,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,No universal deadline; vacancy/supervisor dependent,rolling/position-specific,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,"Promoter initiates doctoral application; funding may be vacancy-, project-, or externally based",Check program instructions; faculty fit is not an open-position claim,No universal stipend; retain only a fully funded vacancy or written award,No position; applicant lacks master's,,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,No universal stipend; retain only a fully funded vacancy or written award,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,25,14,25,12,0,5,4,60,Clearly ineligible,Do Not Apply,,Master's required and no funded vacancy identified,Revisit funded vacancies after master's completion,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: master's-required future route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,ror:020hwjq30,Aalto University,Finland,Aalto Doctoral Programme in Science — Computer Science,PhD requiring a master's,Computer Science / Computing / Informatics,https://www.aalto.fi/en/study-options/aalto-doctoral-programme-in-science,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,no,yes; credential and visa conditions apply,English is an official study language for the programme; proof rules apply,Active/current official route checked 2026-09-09,yes,excluded,Admission does not fund the degree and master's is required,Not numerically stated on the program evidence used,Applicable master's degree required,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.aalto.fi/en/doctoral-education/how-to-apply-for-doctoral-studies,2027 dates not posted; latest page used monthly 2026 processing dates,latest 2026 cycle,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Study-right application; full-time applicants must document at least six months of secured funding,Check program instructions; faculty fit is not an open-position claim,Salary/grant is not guaranteed by admission; funding must be separately secured,No Fall 2027 funding and applicant lacks master's,,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Salary/grant is not guaranteed by admission; funding must be separately secured,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,25,14,25,10,0,6,5,60,Clearly ineligible,Do Not Apply,,Admission does not fund the degree and master's is required,Revisit salaried doctoral vacancies after master's,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: master's-required future route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,ror:040af2s02,University of Helsinki,Finland,Doctoral Programme in Science — Computer Science,PhD requiring a master's,Computer Science / Computing / Informatics,https://www.helsinki.fi/en/admissions-and-education/apply-doctoral-programmes,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,no,yes; credential and visa conditions apply,All doctoral programmes can be completed in English,Active/current official route checked 2026-09-09,yes,excluded,Master's required and study right is unfunded,Not numerically stated on the program evidence used,Relevant master's/equivalent required,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.helsinki.fi/en/admissions-and-education/apply-doctoral-programmes,2027 dates not posted; latest 2026 admissions rounds only,latest 2026 cycle,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Doctoral study-right application with supervising arrangements; employment is separate,Check program instructions; faculty fit is not an open-position claim,Study right does not include funding; salaried doctoral researcher calls are separate,No Fall 2027 salary and applicant lacks master's,,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Study right does not include funding; salaried doctoral researcher calls are separate,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,24,14,24,8,0,6,5,57,Clearly ineligible,Do Not Apply,,Master's required and study right is unfunded,Revisit salaried calls after master's,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: master's-required future route. No faculty match is an open-position claim. Not retained for application without verified full funding.
ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,ror:026vcq606,KTH Royal Institute of Technology,Sweden,Doctoral Programme in Computer Science,PhD requiring a master's,Computer Science / Computing / Informatics,https://www.kth.se/en/studies/phd,Individual supervised research culminating in a thesis/defence,Program-specific; not reduced to coursework-only study,See linked faculty row; one verified match does not establish department-wide capacity,unclear; vacancy/credential-equivalency specific,yes; credential and visa conditions apply,Vacancies state English requirements; KTH doctoral guidance uses English,Active/current official route checked 2026-09-09,yes,deep_review,,Not numerically stated on the program evidence used,Second-cycle/master's qualification normally required,Relevant computer science background; program/vacancy-specific details apply,Not verified as required; recheck the Fall 2027 application,Applicant-specific; verify from official English source https://www.kth.se/en/studies/phd,Vacancy-specific; no Fall 2027 position verified,position-specific,Not verified for Fall 2027 unless stated in tuition field,,Not verified for Fall 2027,Not verified,Not verified,Apply to an advertised doctoral position; admitted candidates are normally employees,Check program instructions; faculty fit is not an open-position claim,Most doctoral students receive salary through employment,No Fall 2027 vacancy and applicant lacks second-cycle qualification,,,,Not confirmed for applicant; international rate must be explicit in an offer,Not confirmed,Not confirmed,Not confirmed,International-rate award coverage recorded only where the official source states it,yes or position/award-specific,Most doctoral students receive salary through employment,Not applicable to this reviewed route,Only official competitive schemes/positions; no applicant award assumed,28,15,28,22,0,6,5,76,Eligibility concern,Monitor for 2027 Position,,No qualifying master's and no 2027 vacancy,Monitor only after satisfying second-cycle eligibility,yes; bounded pass retained one current match,Official pages checked; cycle/funding limitations explicit,Route classification: position-only monitor. No faculty match is an open-position claim. Not retained for application without verified full funding.
