schema_version,program_id,institution_id,institution_name,country,region,regional_admissions_model,program_name,degree_type,relevant_degree_route,discovery_paths,research_topic_clusters,exact_research_fit_signal,preliminary_international_eligibility,preliminary_funding_signal,official_program_url,official_institution_url,evidence_confidence,affiliation_normalization_status,seed_adjacency,funnel_status,proposed_next_action,exclusion_reason,unresolved_fields,source_record_paths,source_ids,reentry_id
2.0,us:ipeds:240444:program:phd:computer-sciences-phd,us:ipeds:240444,University of Wisconsin-Madison,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Sciences PhD,PhD,Doctoral route accepting bachelor's entrants; exact equivalency requires Stage 3 verification,official_program_or_department_signal|underrepresented_route_search,repair_analysis|systems_security|ai_for_se,"The official traditional graduate-program page names programming languages and compilers, security, systems, and AI as research areas.",The graduate admissions page accepts applicants to the traditional PhD route; international credential and English-language details require Stage 3 verification.,The department states that many traditional MS/PhD admits receive a four-year funding guarantee with tuition remission and stipend; individual coverage must be verified.,https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-phd/,https://www.wisc.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|international credential equivalency|individual funding guarantee|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:wisc:program|reentry01:wisc:research|reentry01:wisc:funding,stage_02_reentry_01
2.0,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,Doctoral route accepting bachelor's entrants,official_program_or_department_signal|underrepresented_route_search,repair_analysis|systems_security|ai_for_se,"Official research pages identify programming languages, software engineering, formal analysis, testing, verification, security, and automated software engineering.",The PhD admissions page states that a master's is not required and accepts a bachelor's degree or equivalent; transcript and language details remain for Stage 3.,"The department states that all admitted CS PhD students receive funding from day one through the doctoral experience, including tuition, stipend, and most health-insurance cost.",https://cse.umn.edu/cs/phd-admissions,https://twin-cities.umn.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|international transcript equivalency|current faculty supervision|offer-specific net funding,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:umn:program|reentry01:umn:funding|reentry01:umn:research,stage_02_reentry_01
2.0,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,Doctoral route accepting bachelor's entrants; exact entry conditions require Stage 3 verification,official_program_or_department_signal|underrepresented_route_search,repair_analysis|systems_security|ai_for_se,"Official CS materials identify programming languages, software engineering, systems, and security among doctoral research areas.",The department's graduate FAQ says a master's is not required; international academic and language evidence requires Stage 3 verification.,"The department states that all admitted PhD students receive a TA or RA package with stipend, tuition, fees, and 91% health-insurance coverage, excluding summers.",https://www.colorado.edu/cs/academics/graduate-programs/doctor-philosophy,https://www.colorado.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|international credential equivalency|summer funding|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:colorado:program|reentry01:colorado:funding|reentry01:colorado:faq,stage_02_reentry_01
2.0,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,Doctoral route; bachelor's entry requires Stage 3 verification,official_program_or_department_signal|lab_or_center_signal,repair_analysis|systems_security,"The official secure and reliable software research page identifies software testing, debugging, analysis, and reliability work.",The prospective-student page identifies the doctoral route; exact bachelor's-entry and international requirements require Stage 3 verification.,"The department states that enrolled doctoral students in good standing are guaranteed multi-year support including stipend, tuition, and health insurance.",https://cs.arizona.edu/graduate/prospective-students,https://www.arizona.edu,high,canonical institution registry match,TerraProbe-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,bachelor's-entry eligibility|Fall 2027 cycle|international credential equivalency|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:arizona:program-funding|reentry01:arizona:research,stage_02_reentry_01
2.0,us:ipeds:196088:program:phd:computer-science-and-engineering-phd,us:ipeds:196088,University at Buffalo,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science and Engineering PhD,PhD,Doctoral route accepting bachelor's entrants only by committee recommendation; verify applicant route,official_program_or_department_signal|underrepresented_route_search,repair_analysis|systems_security|ai_for_se,"The official security and cryptography page names software engineering, program analysis and testing, software and systems security, ML security, and trustworthy AI.",The admissions page permits direct bachelor's entry only with committee recommendation; international equivalency and applicant fit remain unresolved.,"The school states that fully funded PhD students receive an assistantship with tuition, fees, and stipend, but does not establish that every admit is funded.",https://engineering.buffalo.edu/computer-science-engineering/graduate/degrees-and-programs/phd-in-computer-science-and-engineering.html,https://www.buffalo.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,committee approval for bachelor's entry|Fall 2027 cycle|funding incidence|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:buffalo:program|reentry01:buffalo:research|reentry01:buffalo:funding,stage_02_reentry_01
2.0,us:ipeds:230764:program:phd:computing-phd,us:ipeds:230764,University of Utah,United States,us,US program or committee admission; faculty role requires program-specific verification,Computing PhD,PhD,Doctoral route; bachelor's entry requires Stage 3 verification,official_program_or_department_signal,repair_analysis|systems_security|ai_for_se,"The official research page names programming languages and software engineering, verification, types and logic, testing, and fuzzing.",The School of Computing lists the PhD route; degree equivalency and international requirements require Stage 3 verification.,"Assistantship, tuition coverage, and duration are not established by the bounded discovery evidence and require Stage 3 verification.",https://www.cs.utah.edu/graduate/academic-programs/ms-and-phd-programs/,https://www.utah.edu,medium,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,bachelor's-entry eligibility|Fall 2027 cycle|international requirements|funding|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:utah:program|reentry01:utah:research,stage_02_reentry_01
2.0,us:ipeds:110680:program:phd:computer-science-and-engineering-phd,us:ipeds:110680,University of California-San Diego,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science and Engineering PhD,PhD,Doctoral route accepting bachelor's entrants,official_program_or_department_signal|underrepresented_route_search,repair_analysis|systems_security|ai_for_se,"The official doctoral page identifies programming languages, compilers, software engineering, computer systems, and security as research areas.",The admissions page says a master's is not required; exact international credential and language rules require Stage 3 verification.,"The department describes first-year stipend and fee coverage for incoming PhD students, with later support typically through GSR or fellowship sources.",https://cse.ucsd.edu/graduate/doctoral-programs-computer-science-and-engineering,https://www.ucsd.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|international credential equivalency|multi-year funding continuity|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:ucsd:program-research|reentry01:ucsd:admissions|reentry01:ucsd:funding,stage_02_reentry_01
2.0,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,Doctoral route; bachelor's entry requires Stage 3 verification,official_program_or_department_signal|underrepresented_route_search,repair_analysis|systems_security,The official programming-languages page names program analysis and formal methods applied to security and privacy.,"The department lists a CS PhD route; exact bachelor's-entry, international credential, and language rules require Stage 3 verification.","The department describes full tuition, fees, health insurance, and stipend support for five years.",https://cs.duke.edu/graduate/phd,https://www.duke.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,bachelor's-entry eligibility|Fall 2027 cycle|international requirements|current faculty supervision|offer-specific funding,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:duke:program|reentry01:duke:research|reentry01:duke:funding,stage_02_reentry_01
2.0,us:ipeds:217156:program:phd:computer-science-phd,us:ipeds:217156,Brown University,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,Doctoral route; bachelor's entry requires Stage 3 verification,official_program_or_department_signal|lab_or_center_signal|underrepresented_route_search,repair_analysis|systems_security|ai_for_se,"Official research pages identify software engineering, programming languages, systems, security, automated correctness, and software supply-chain security.","The doctoral program is open to international applicants, but exact credential and language rules require Stage 3 verification.","The doctoral FAQ states that PhD students, including international students, are funded; exact duration and offer terms require verification.",https://cs.brown.edu/degrees/doctoral/,https://www.brown.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,bachelor's-entry eligibility|Fall 2027 cycle|international requirements|funding duration|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:brown:program|reentry01:brown:research|reentry01:brown:funding,stage_02_reentry_01
2.0,us:ipeds:234076:program:phd:computer-science-phd,us:ipeds:234076,University of Virginia-Main Campus,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,Doctoral route; bachelor's entry requires Stage 3 verification,official_program_or_department_signal,repair_analysis|systems_security|ai_for_se,"The official department research page identifies security, software engineering, systems, and AI research.",The program page identifies the PhD and international application route; exact credential and language requirements require Stage 3 verification.,"The department says PhD students are usually admitted with first-year RA support covering stipend, tuition, fees, and health insurance; this is not treated as a universal guarantee.",https://engineering.virginia.edu/department/computer-science/academics/graduate-programs/phd-computer-science,https://www.virginia.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,bachelor's-entry eligibility|Fall 2027 cycle|international requirements|funding continuity|current faculty supervision,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv,reentry01:uva:program-funding|reentry01:uva:research,stage_02_reentry_01
