status,issue_id,severity,category,summary,affected_records,affected_record_count,evidence,proposed_repair,stage_owner,acceptance_impact
open,P2-0001,critical,pipeline,Seven documented CLI commands only record a phase name and perform no audit work.,universe; screen; research-fit; verify; score; report; run,7,src/graduate_audit/cli.py:26-40; README.md:10-20,"Wire each command to a real stage boundary with explicit inputs, outputs, failures, and row counts.",Stage 1,Blocks the executable-pipeline completion gate.
open,P2-0002,critical,resume,run --resume ignores checkpoints and merely registers the run phase.,graduate-audit run --resume,1,src/graduate_audit/cli.py:24-40; src/graduate_audit/progress.py:17-24,Validate checkpoint manifests and continue from the last valid completed stage.,Stage 1,Blocks resumability and deterministic reconstruction.
open,P2-0003,critical,schema,"The shared schema lacks the required Pass 2 evidence, confidence, depth, funding-gate, regional-model, rationale, and conflict fields.",src/graduate_audit/schema.py; config/scoring_rubric.yaml,2,PASS_2_EXECUTION_PLAN.md Stage 1; src/graduate_audit/schema.py:69-84,Version the schema and add the eight required contract areas before migrating data.,Stage 1,Blocks evidence-backed scoring and later stage manifests.
open,P2-0004,critical,scoring,Institution/program score components are hard-coded rather than calculated from claim-level evidence.,"US, Canada, and Europe deep-program score maps plus score corrections",56,evidence/deep_review/us/build_deep_review.py:709-747; data/processed/deep_review/canada/build_outputs.py:515-542; data/manifests/deep_review/europe/build_outputs.py:56-83; src/graduate_audit/verify/apply_corrections.py:17-129,"Replace constants with anchored component calculations carrying evidence IDs, confidence, reviewer, and verification status.",Stage 5,All current numeric rankings are non-auditable.
open,P2-0005,critical,faculty depth,Every scored program receives more than five faculty-depth points despite only one distinct professor row.,program_screening.csv scored rows,56,outputs/20260909-fall2027-audit/program_screening.csv joined to professor_evidence.csv; evidence/deep_review/us/build_deep_review.py:1233-1235,"Evaluate at least five plausible faculty where available, retain genuine matches, deduplicate people, and cap one-match depth at five.",Stage 4 + Stage 5,Inflates department depth and total scores.
open,P2-0006,critical,funding gate,"The funding hard gate can pass from a retained label, funding score, and any verification text.",program scoring gate,1880,src/graduate_audit/portfolio.py:84-94,"Read funding eligibility, coverage, duration, conditions, and source IDs directly; never use recommendation or score as gate evidence.",Stage 1 + Stage 3 + Stage 5,Can turn unsupported funding into an apply recommendation.
open,P2-0007,high,supervision authority,Unverified or merely potential supervision authority is treated as a verified professor match.,professor_evidence.csv supervision rows,31,src/graduate_audit/portfolio.py:35-39; professor_evidence.csv can_supervise_program,"Use explicit verified, unresolved, and no authority states; only verified authority may pass the match gate.",Stage 1 + Stage 4,Invalidates professor-match hard gates for affected programs.
open,P2-0008,high,admission calibration,Current admission-plausibility labels include values outside the controlled Pass 2 categories.,scored program rows with Clearly ineligible or Plausible to reach,23,outputs/20260909-fall2027-audit/program_screening.csv admission_plausibility,Migrate labels to the controlled categories and require evidence/rationale independent of minimum GPA.,Stage 1 + Stage 5,Prevents comparable portfolio calibration.
open,P2-0009,high,candidate discovery,"Global OpenAlex outputs are truncated to 300 institutions and 1,000 faculty without regional/topic recall or exclusion-sample saturation checks.",openalex_institution_signals.csv; openalex_faculty_signals.csv,2,src/graduate_audit/research_fit/openalex_discovery.py:232-242,Use independent discovery paths and regional/topic coverage gates; report source yield and false-negative sampling.,Stage 2,Creates unresolved false-negative risk in the candidate funnel.
open,P2-0010,high,contact history,"First-wave administrative contacts have blank contact history instead of an explicit unknown state, and the pipeline can default missing history to No.",outreach_drafts.csv rows with non-Yes/No contact status,3,src/graduate_audit/reporting/outreach.py:157-178; outputs/20260909-fall2027-audit/outreach_drafts.csv,Require checked yes/no/unknown per recipient and keep connected-account detail private.,Stage 7,Blocks approval of those first-wave contacts.
open,P2-0011,high,outreach scoring,Outreach priority is inferred from program rank/fit fallbacks and a hard-coded admin score rather than configured component scores.,current first-wave outreach drafts,15,src/graduate_audit/reporting/outreach.py:111-142,Calculate every configured outreach component and retain the decision each contact could change.,Stage 7,First-wave order is not auditable.
open,P2-0012,high,generated final text,Fifteen templated emails are published in final outputs without Draft Ready evidence or per-draft manual review records.,outreach_drafts.csv; OUTREACH DRAFTS workbook sheet,15,"src/graduate_audit/reporting/outreach.py:64-97,145-187; outreach_drafts.csv header","Draft only after Stage 7, add all readiness fields, run automated checks, and record a manual read-through.",Stage 8,Existing drafts are not approved outreach artifacts.
open,P2-0013,high,validation,"Validation files report one undifferentiated PASS while hard-gate, evidence-completeness, score provenance, and outreach-quality defects remain.",validation.json; final_validation.json; state/progress.json,3,outputs/20260909-fall2027-audit/validation.json; outputs/20260909-fall2027-audit/final_validation.json; src/graduate_audit/validation.py; src/graduate_audit/verify/final_validation.py,"Separate structural, evidence, second-source, portfolio, outreach, and visual validations with independent results.",Stage 1 + Stage 9,Prior PASS cannot be treated as substantive correctness.
open,P2-0014,medium,traceability,Eleven QA render snapshots have no tracked generating command.,outputs/20260909-fall2027-audit/renders/qa/*.png,11,git tree compared with scripts/build_workbook.mjs output paths,Generate all visual-QA artifacts from one tracked workbook command or omit snapshot duplicates.,Stage 1 + Stage 9,Explicitly non-reproducible baseline artifacts; not a Stage 0 gate failure because they are labeled.
open,P2-0015,high,coverage,"European discovery exposes 3,628 of 4,462 reported ROR records (81.31%) and retains blocked registry sources.",Europe institutional universe and blocked registry sources,834,state/progress.json known_failures; data/manifests/europe/ror_snapshot.json; data/manifests/europe/blocked_sources.json,Rebuild with independent recognized-institution/program paths and report saturation or the residual gap.,Stage 2,Unresolved regional false-negative coverage.
open,P2-0016,high,coverage,Canada retains 50 unresolved indexed institutions and nine blocked or insufficient official program pages.,Canada institutional/program discovery,59,state/progress.json known_failures; data/manifests/canada/blocked_sources.json,Carry every record into Stage 2 with an explicit status and retry through independent official sources.,Stage 2 + Stage 3,Unresolved Canadian discovery and verification coverage.
open,P2-0017,medium,portfolio,Portfolio construction encodes a 20-core target and fixed reach allowance without the Stage 6 ten-question pressure test.,portfolio.json and select_portfolio defaults,20,src/graduate_audit/portfolio.py:108-165; outputs/20260909-fall2027-audit/portfolio.json,Build the portfolio only after evidence-backed scoring and store all ten pressure-test answers per university.,Stage 6,Current core list is not a Pass 2 portfolio recommendation.
