schema_version,sample_id,region,institution_id,institution_name,country,exclusion_reason_category,original_exclusion_reason,original_supporting_evidence,original_source_url,independent_discovery_paths,independent_research_signal,audit_result,false_negative_risk,audit_rationale,funnel_program_id,sample_status,audit_date
2.0,sample:3ce062596ff48da8,canada,ca:dli:O19395677925,Université de Hearst,Canada,official_inventory_no_research_computing_route,No computing research graduate degree identified in the institution's official program inventory.,Current official inventory lists no computing research graduate degree.,https://uhearst.ca/programmes/nos-programmes-detudes/,,,unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:aede09999528e5be,canada,ca:dli:O19359010910,Conservatoire de musique de Rimouski,Canada,specialized_noncomputing_scope,Official institutional scope is music; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:144768a070361bb2,canada,ca:dli:O19332928222,OCAD University,Canada,specialized_noncomputing_scope,Official institutional scope is art and design; no computing research graduate degree identified in the mechanical title screen.,Official OCAD graduate inventory includes art/design/media programs such as Digital Futures but no CS/SE research graduate degree.,https://gradadmissions.ocadu.ca/graduate-programs,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:a217856c847eae70,canada,ca:dli:O122051172047,College of Emmanuel and St Chad,Canada,specialized_noncomputing_scope,Official institutional scope is theology; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.cicic.ca/873/College_of_Emmanuel_and_St._Chad.canada?id=3614,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:5cbd619478787a74,canada,ca:dli:O19359010924,Conservatoire de musique de Trois-Rivières,Canada,specialized_noncomputing_scope,Official institutional scope is music; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:dff4c35289c722db,canada,ca:dli:O19361259712,Emily Carr University of Art and Design,Canada,specialized_noncomputing_scope,Official institutional scope is art and design; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.cicic.ca/873/Emily_Carr_University_of_Art_and_Design.canada?id=1465,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:dadf0879e09f09bf,canada,ca:dli:O212421811707,St. Andrew’s College,Canada,specialized_noncomputing_scope,Official institutional scope is theology; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.cicic.ca/873/St._Andrew_s_College.canada?id=3409,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:f796b2aca3a0bff7,canada,ca:dli:O214426376877,Horizon College and Seminary Inc.,Canada,specialized_noncomputing_scope,Official institutional scope is theology; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,http://www.horizon.edu/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:e0867087b10c396c,canada,ca:dli:O19359010937,Conservatoire de musique de Val-d'Or,Canada,specialized_noncomputing_scope,Official institutional scope is music; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:98e6170cc4a518ab,europe,ror:04xvc2q17,Lancaster Royal Grammar School,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: Lancaster Royal Grammar School; active education-type metadata contains no graduate-degree indicator.,https://www.lrgs.org.uk/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
