institution_id,institution_name,alternate_names,country,region,institution_type,recognition_status,active_status,official_website,source_database,dataset_release,access_date,graduate_degree_authority,relevant_graduate_field_signal,screening_status,exclusion_reason,ror_id,ipeds_unitid,eter_id,dli_number,manual_verification,notes
ror:02nj1t859,Akademie der Steuerberater:innen und Wirtschaftsprüfer:innen,ASW | Akademie der Steuerberater und Wirtschaftsprüfer,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.akademie-sw.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/02nj1t859,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:03rh9qr65,Anton Bruckner Private University,Anton Bruckner Privatuniversität | Bruckner University,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.bruckneruni.ac.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/03rh9qr65,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:00v6d2h12,Bertha von Suttner Privatuniversität St. Pölten GmbH,BSU | Bertha von Suttner Privatuniversität St. Pölten,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://suttneruni.at/de/universitaet,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/00v6d2h12,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:057ff4y42,BOKU University,"BOKU | University of Natural Resources and Life Sciences, Vienna | Universität für Bodenkultur Wien",Austria,Europe,education | funder,ROR v2 active education organization; ROR is not an accreditation authority,active,https://boku.ac.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/057ff4y42,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:02cms1514,CAMPUS 02 University for Applied Sciences,CAMPUS 02 Fachhochschule der Wirtschaft,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.campus02.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/02cms1514,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:00mepd532,Catholic Theological Private University Linz,Katholische Privat-Universität Linz,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,http://ku-linz.at/,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/00mepd532,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:054ebrh70,Danube Private University,DPU,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,http://www.danube-private-university.at/,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/054ebrh70,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:021m4bd11,European Peace University,EPU | European University Center for Peace Studies,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,http://www.epu.ac.at/epu/,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/021m4bd11,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:02g7va395,European Space Policy Institute,ESPI | Europäisches Institut für Weltraumpolitik,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,http://www.espi.or.at/,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/02g7va395,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:01wx0d888,Fachhochschule für Management & Kommunikation,,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,http://en.fh-wien.ac.at/,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/01wx0d888,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:0072dxg89,Fachhochschule Salzburg,FH Salzburg | Fachhochschule Salzburg GmbH | Salzburg University of Applied Sciences | Salzburg University of Applied Sciences GmbH,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.fh-salzburg.ac.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/0072dxg89,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:03k7r0z51,Fachhochschule Wiener Neustadt,FHWN | University of Applied Sciences Wiener Neustadt,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.fhwn.ac.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/03k7r0z51,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:04w0zef94,Ferdinand Porsche FERNFH,FERNFH | Ferdinand Porsche FERNFH – Distance-Learning University of Applied Sciences | Ferdinand Porsche Fernfachhochschule GmbH,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.fernfh.ac.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/04w0zef94,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:03kkbqm48,FH JOANNEUM University of Applied Sciences,FH Joanneum | Universities of Applied Sciences Joanneum,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,http://fh-joanneum.at/,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/03kkbqm48,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:036w00e23,FH Kärnten,CUAS | Carinthia University of Applied Sciences | FH Kärnten Gemeinnützige Gesellschaft mbH,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.fh-kaernten.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/036w00e23,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:001gcc176,FHWien der WKW,FHWien | FHWien of WKW | Fachhochschule Wien | Fachhochschule Wien der WKW,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.fh-wien.ac.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/001gcc176,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:00d7xrm67,Graz University of Technology,Technische Universität Graz,Austria,Europe,education | funder,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.tugraz.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/00d7xrm67,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
ror:03wtkyy12,Gustav Mahler Privatuniversität,GMPU | GMPU Klagenfurt | Gustav Mahler Private University for Music,Austria,Europe,education,ROR v2 active education organization; ROR is not an accreditation authority,active,https://www.gmpu.ac.at,ROR v2; national recognition source directory,v2.10 (2026-07-20),2026-09-09,Unverified — institution-level national-registry cross-check required,No positive official-program seed signal; not a negative finding,program_screened_out,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,https://ror.org/03wtkyy12,,,,Required,EHESO/ETER crosswalk unavailable because the HEI API required authorization at freeze time.
