schema_version,candidate_program_id,verified_program_id,institution_id,institution_name,country,region,candidate_funnel_status,verification_status,status_reason,exact_degree_program_name,degree_type,research_requirement,department,current_program_status,bachelors_entry_eligibility,international_student_eligibility,language_of_instruction,english_requirement_and_waiver,minimum_gpa,minimum_gpa_application,prerequisite_coursework,admissions_model,faculty_contact_expectation,fall_2027_deadline,deadline_cycle_label,application_fee,fee_currency,fee_waiver_rules,simultaneous_application_rules,separate_fees_required,tuition,mandatory_fees,funding_model,funding_status,funding_duration,funding_conditions,funding_international_eligibility,stipend_amount,stipend_currency,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_coverage,named_scholarships,scholarship_deadlines,largest_unresolved_question,relevant_route_gate,eligibility_gate,funding_gate,degree_structure_gate,same_university_dominance_gate,faculty_review_ready,application_positioning,official_program_url,program_source_ids,admissions_source_ids,funding_source_ids,evidence_confidence,source_record_paths,verified_at
2.0,us:ipeds:196079:program:phd:phd-in-computer-science,us:ipeds:196079:program:phd:phd-in-computer-science,us:ipeds:196079,Binghamton University,United States,us,advance_to_stage_3,monitor,"The current catalog recommends both bachelor's and master's preparation and says PhD admission generally needs faculty support, while the applicant will hold only a bachelor's; assistantships exist but no applicant-specific package or duration is guaranteed, so both gates remain unresolved.",PhD in Computer Science,PhD,"Research doctorate with advanced computer-science study, faculty-directed research, dissertation, and defense","Thomas J. Watson College of Engineering and Applied Science, Department of Computer Science","Current official program, catalog-requirement, and graduate-program pages checked 2026-09-11","Unresolved — the general route accepts an equivalent bachelor's, but the current PhD requirement recommends both bachelor's and master's preparation and generally requires faculty support","Yes, subject to foreign-degree documentation and English-language rules",English,International English evidence follows Graduate School policy; whether the applicant's U.S. bachelor's produces an automatic waiver was not verified,3.0 undergraduate GPA is the published minimum,"Applicant GPA 3.35 clears the numeric floor, but the recommended master's preparation and faculty-support rule remain unresolved",Computer science or a closely related field is expected; exact transcript sufficiency remains departmental review,Graduate application plus departmental review; faculty support is generally needed for PhD admission,Generally expected because the catalog says PhD admission normally requires faculty support,Not published for Fall 2027 on the official pages checked; current page labels fall and spring admission as rolling,Current rolling-cycle language checked 2026-09-11; Fall 2027 must be reconfirmed,Exact current amount not verified on the official pages checked,USD,Select university waiver mechanisms may exist; no Computer Science-specific rule was verified,Not verified on the official pages checked,Not verified for multiple graduate applications,"Published PhD fee scholarships may cover broad-based tuition charges, but an award is not guaranteed",International student fee is explicitly outside the broad-based fee scholarship; exact amount not verified,Competitive teaching or research assistantships and university scholarships,"Assistantships and scholarships are available and all eligible applicants are considered, but awards are department-decided rather than guaranteed",Not verified,"Admission, departmental selection, appointment availability, academic progress, and any faculty-supported research funding",No international exclusion was found; international student fee remains outside the cited scholarship coverage,Not verified,USD,Possible through assistantship or scholarship; offer-specific coverage is unresolved,"Broad-based fee scholarship described, excluding the international student fee",Not verified,Not verified,"Teaching assistantships, research assistantships, and broad-based fee scholarships",Not independently published for Fall 2027 on the pages checked,"Will the department accept direct bachelor's entry with faculty support and issue a renewable package covering tuition, fees, insurance, stipend, and summer?",pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.binghamton.edu/apps/academics/program/gd/computer-science,stage3src:2f07a0ebf9ae78ab3701|stage3src:15d2865c9650f52d39ab,stage3src:3c2d2689ed83562b5404|stage3src:15d2865c9650f52d39ab,stage3src:2f07a0ebf9ae78ab3701|stage3src:15d2865c9650f52d39ab,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,us:ipeds:160658:program:phd:phd-in-applied-computing-and-information-sciences,us:ipeds:160658:program:phd:phd-in-applied-computing-and-information-sciences,us:ipeds:160658,University of Louisiana at Lafayette,United States,us,advance_to_stage_3,conditional,"The published doctorate permits bachelor's entry and the applicant's computer-science degree aligns, but the fellowship and assistantship mechanisms are competitive; obtain a written package and confirm uncovered international insurance before treating the route as funded.",PhD in Applied Computing and Information Sciences,PhD,"Interdisciplinary computing doctorate requiring research specialization, dissertation research, and defense",School of Computing and Informatics,Current official program page and 2026–27 doctoral fellowship application checked 2026-09-11,Yes — the degree requires 66 graduate credits beyond a bachelor's; a master's is preferred but not required,Yes — the page publishes an international deadline and the fellowship form addresses international insurance,English,Graduate School English evidence applies; the exact U.S.-degree waiver was not independently verified,Exact program-specific minimum was not published on the program page checked,Applicant GPA 3.35 is reviewable; formal Graduate School GPA calculation remains authoritative,"Calculus, probability and statistics, programming, databases, and networking are expected; transcript mapping remains part of review",Graduate School application followed by interdisciplinary doctoral-program review,No prior faculty commitment is published as a formal application requirement,May 1 is the published fall application deadline; the Fall 2027 cycle is not yet separately labeled,Recurring fall deadline checked 2026-09-11; reconfirm for Fall 2027,Exact current amount not verified on the official pages checked,USD,Not verified,Not verified,Not verified,The 2026–27 University Fellowship includes a tuition waiver,The fellowship includes a mandatory-fee waiver,Competitive University Fellowship and graduate assistantships,"The 2026–27 doctoral fellowship is competitive, not automatic","Three years for entrants with a master's or four years for entrants without one, subject to fellowship terms","Selection, full-time doctoral enrollment, academic progress, and fellowship or assistantship appointment conditions","International students are eligible, but supplemental international insurance is not fully covered",At least 22000 annually under the 2026–27 University Fellowship,USD,Tuition waiver under the cited fellowship,Mandatory-fee waiver under the cited fellowship,Supplemental international insurance is explicitly not covered at 100 percent,Fellowship waiver language includes summer,PhD University Fellowship and graduate assistantships,February 1 fellowship deadline and March 1 assistantship deadline on the current program page,"Will an actual Fall 2027 offer include the fellowship or an equivalent four-year package, and what insurance or other charges remain?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://louisiana.edu/graduateschool/majors-minors/applied-computing-and-information-sciences-phd,stage3src:1e8b9fd86921b9d9fa50,stage3src:1e8b9fd86921b9d9fa50|stage3src:f5acc9527d7f77977dcf,stage3src:1e8b9fd86921b9d9fa50|stage3src:f5acc9527d7f77977dcf,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,us:ipeds:180461:program:phd:computer-science-phd,us:ipeds:180461:program:phd:computer-science-phd,us:ipeds:180461,Montana State University,United States,us,advance_to_stage_3,conditional,"The applicant's computer-science bachelor's and recent GPA satisfy the published route, but the strongest universal-funding language appears on a page explicitly labeled draft and conflicts with the department's more qualified appointment description; obtain an offer-level guarantee before advancing.",Computer Science PhD,PhD,"Research doctorate with qualifying milestones, original dissertation research, and defense",Gianforte School of Computing,"Current official PhD, graduate, and admissions pages checked 2026-09-11; admissions page is explicitly labeled draft",Yes — bachelor's or master's preparation in computer science or a related area is accepted,"Yes, with published English-language requirements",English,TOEFL 80 or IELTS 6.5 is listed unless prior study meets the university's approved English-instruction rule,3.30 in the last two years of undergraduate coursework,"Applicant reports a recent two-year GPA above 3.5, which clears the stated floor; the university's transcript calculation controls",Computer science or a related area is expected; exact prerequisite remediation is not published on the pages checked,Graduate application and school review; faculty endorsement is encouraged but not stated as mandatory,"Faculty endorsement is encouraged, and research alignment should be verified",January 15 priority and March 15 final are the current fall deadlines; Fall 2027 is not separately labeled,Recurring fall deadlines checked 2026-09-11; reconfirm for Fall 2027,Exact current amount not verified,USD,Not verified,Not verified,Not verified,Appointment-linked tuition coverage is asserted on the draft admissions page; offer terms remain required,Not verified,Teaching assistantship for many incoming students followed by research assistantship where grants permit,"Department materials describe typical PhD support, but the only blanket fully-funded and guaranteed-GTA claim is on a page labeled draft",Not reliably verified from a final current policy page,"Appointment availability, performance, teaching needs, research-grant availability, and faculty sponsorship",No international exclusion found; teaching eligibility and English conditions may apply,Not verified,USD,Claimed with support on the draft admissions page; confirm in writing,Not verified,Not verified,Not verified,Graduate teaching assistantships and research assistantships,January 15 priority consideration; exact separate funding deadline not verified,"Does the Fall 2027 offer provide guaranteed multi-year funding with tuition, fees, insurance, and summer despite the draft-page caveat?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.cs.montana.edu/phd-degree.html,stage3src:7a5a1c8b77a3b1f107b3|stage3src:53ccb1358317214cca8e,stage3src:35f7fe65ba7d266af4b0|stage3src:53ccb1358317214cca8e,stage3src:35f7fe65ba7d266af4b0|stage3src:53ccb1358317214cca8e,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,us:ipeds:221847:program:phd:computer-science-phd,us:ipeds:221847:program:phd:computer-science-phd,us:ipeds:221847,Tennessee Technological University,United States,us,advance_to_stage_3,conditional,"The official department publishes a direct BS-to-PhD route, but assistantships are competitive and teaching appointments exclude summer; obtain a written multi-year award with all residual costs before treating the route as funded.",Computer Science PhD,PhD,"Research doctorate with advanced study, candidacy milestones, dissertation, and defense","Department of Computer Science, College of Engineering","Current official doctoral, assistantship, and graduate-application pages checked 2026-09-11",Yes — the department explicitly publishes a BS-to-PhD pathway,Yes — international application instructions and fee are published,English,Graduate School English requirements apply; the exact U.S.-bachelor waiver was not verified,Exact current program-specific GPA floor was not verified on the pages checked,Applicant GPA 3.35 is reviewable under the direct route; official transcript review controls,Computer-science bachelor's preparation aligns; exact doctoral prerequisite mapping remains departmental review,Graduate School application followed by department doctoral review,No prior faculty commitment is published as a formal admissions requirement; RA availability is faculty-grant dependent,"Fall 2027 deadline not yet published; the application page currently lists December 1, 2026 for Spring 2027 international admission",Latest explicit cycle checked 2026-09-11; Fall 2027 must be reconfirmed,40 for international applicants,USD,No program-specific waiver verified,Not verified,Not verified,Assistantships pay tuition according to appointment terms,Some fees are covered; exact uncovered fees were not verified,Competitive teaching and research assistantships,Several competitive full- and part-time assistantships are available; no universal award is published,Appointment duration and renewal not verified,"Admission, separate assistantship request, selection, satisfactory duties, and available teaching or grant funding",No international exclusion found; teaching-language requirements may apply,Monthly stipend amount not verified,USD,Published as included with assistantships,Some fees covered; residual amount unknown,Not verified,Teaching assistantships have no summer support; research assistantships may cover 12 months,Teaching assistantships and research assistantships,Assistantship request follows admission; exact Fall 2027 funding cutoff not verified,"Will a Fall 2027 award guarantee renewable academic-year and summer support while covering tuition, fees, and insurance?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.tntech.edu/engineering/programs/csc/ph.d-program.php,stage3src:c2573195fc13052d5e0f,stage3src:c2573195fc13052d5e0f|stage3src:6aff28d66d6b3cc6be29|stage3src:48b80ae40c91a113203e,stage3src:6aff28d66d6b3cc6be29,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,us:ipeds:220862:program:phd:phd-in-computer-science,us:ipeds:220862:program:phd:phd-in-computer-science,us:ipeds:220862,University of Memphis,United States,us,advance_to_stage_3,monitor,"The applicant clears the published computer-science GPA route, but the current department page requires GRE scores unless the applicant is a University of Memphis CS graduate and no GRE evidence is in the applicant profile; most doctoral students are funded, but no complete or guaranteed package is published.",PhD in Computer Science,PhD,"Research doctorate with advanced study, original computer-science research, dissertation, and defense",Department of Computer Science,"Current official PhD, graduate-admissions, and general admissions pages checked 2026-09-11",Yes — a four-year computer-science degree with at least 3.25 or prerequisite remediation is accepted,"Yes — international deadlines, fee, and English thresholds are published",English,"TOEFL 87, IELTS 6.5, PTE 59, or Duolingo 110 is listed; U.S.-degree waiver treatment must be confirmed","3.25 for a four-year computer-science degree, or 3.0 with the alternative prerequisite route","Applicant GPA 3.35 and CS bachelor's clear the published 3.25 route, subject to official calculation",A four-year CS degree or six of seven specified prerequisite areas; applicant's CS degree aligns but transcript review controls,Graduate School application followed by departmental doctoral review,No prior supervisor commitment is published as a formal requirement,May 1 is the current fall deadline for international applicants outside the United States; Fall 2027 is not separately labeled,Recurring fall deadline checked 2026-09-11; reconfirm for Fall 2027,60 for international applicants,USD,The general FAQ describes a possible subsequent-application waiver after a prior paid fee; applicant-specific applicability must be confirmed,Multiple program applications appear possible through the portal; exact limits were not verified,"General FAQ indicates a later fee may be waived after one paid application, subject to office processing",Not independently verified for an unfunded student,Not verified,Departmental teaching or research assistantships,"The department says most doctoral students receive support, but does not guarantee it or publish a complete package",Not verified,"Departmental award, available funds, appointment duties, progress, and renewal",No international exclusion found; teaching-language qualification may apply,Not verified,USD,Not verified for the actual appointment,Not verified,Not verified,Not verified,Departmental graduate assistantships,No separate current assistantship deadline verified,"Can the applicant satisfy the GRE requirement and obtain a renewable offer covering stipend, tuition, fees, insurance, and summer?",pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://www.memphis.edu/cs/programs/phd_computer_science.php,stage3src:6ba11ada45413ef18622,stage3src:58fa4b4ad36853274b17|stage3src:ee61399e3ab6975275eb|stage3src:d11fd82d7c06d00c114f,stage3src:58fa4b4ad36853274b17|stage3src:ee61399e3ab6975275eb,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,us:ipeds:240727:program:phd:phd-in-computer-science,us:ipeds:240727:program:phd:phd-in-computer-science,us:ipeds:240727,University of Wyoming,United States,us,advance_to_stage_3,conditional,"The current Computer Science route explicitly accepts a bachelor's in CS or a related field and the applicant clears the GPA floor, but the university only says a majority receive support; obtain an actual assistantship and clarify summer and incidental-fee coverage.",PhD in Computer Science,PhD,"Research doctorate with advanced coursework, qualifying milestones, original dissertation, and defense",Department of Electrical Engineering and Computer Science,"Current official degree, department-admissions, assistantship, and FY27 tuition pages checked 2026-09-11",Yes — the Computer Science section accepts a bachelor's in computer science or a related discipline,"Yes, with published English thresholds and international application process",English,TOEFL 80 with reading 23 or IELTS 6.5 is listed; a separate oral-proficiency rule applies to international TAs,3.0 undergraduate GPA,"Applicant GPA 3.35 clears the published floor, subject to official transcript calculation","Algorithms and data structures, theory, operating systems, and programming languages or compilers are expected",Graduate application and Computer Science faculty or committee review,No prior commitment is required for admission; RA support depends on individual faculty grants,March 15 is the current maximum-funding fall deadline; Fall 2027 is not separately labeled,Recurring fall funding-priority deadline checked 2026-09-11; reconfirm for Fall 2027,50,USD,No program-specific waiver verified,Not verified,Not verified,FY27 nonresident graduate block tuition is 10670 per term if unfunded; a full assistantship can waive tuition within credit limits,FY27 listed fees include 986.46 plus a 65 technology fee per term; appointment coverage is governed by assistantship terms,Graduate teaching or research assistantship,"The program says a majority receive stipends covering tuition and living expenses, not that every admit is funded","Doctoral assistantship support is limited to five years after bachelor's entry, subject to appointment and progress","Appointment level, academic progress, duties, available departmental or grant funds, and oral proficiency for TAs",International students may hold appointments subject to language and employment rules,21762 estimated full-time doctoral academic-year stipend in the cited university package,USD,Full-time assistantship package includes tuition within published credit limits,Mandatory fees are included in the university's estimated package; incidental charges may remain student-paid,Full-time package includes calendar-year student health insurance,Not guaranteed by the academic-year stipend description,Graduate assistantship funding,March 15 for maximum fall funding consideration,"Will the applicant receive a full-time renewable assistantship, and what summer or incidental costs remain outside it?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.uwyo.edu/uw/degree-programs/computer-science-ms-phd.html,stage3src:c5a2bd6a3ff0437308be,stage3src:c5a2bd6a3ff0437308be|stage3src:e4f614c36ef38071efa7|stage3src:d811c78f74a96bec5154|stage3src:8a8354d2bb2fe7306047,stage3src:c5a2bd6a3ff0437308be|stage3src:e4f614c36ef38071efa7|stage3src:d811c78f74a96bec5154,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,ca:dli:O19395164223,Trent University,Canada,canada,advance_to_stage_3,conditional,"The applicant's U.S. four-year CS bachelor's, recent GPA above 3.5, and English-medium study align with the published entry route, but the guaranteed research-master's package may not cover international tuition and living costs; obtain a net funding worksheet before deciding.",MSc in Applied Modelling and Quantitative Methods — Thesis Stream,Thesis or research master's,Two-year research master's with supervisor-guided modelling research and thesis,"Graduate Studies, Applied Modelling and Quantitative Methods","Current official program, admissions, international, and funding pages checked 2026-09-11",Yes — a four-year honours degree or equivalent with quantitative and programming preparation is accepted,Yes — international equivalency and funding guidance are published,English,Two or more years of postsecondary study in the United States meets the published English-exemption route,B+ or 77 percent in the last two years,"Applicant reports a recent two-year GPA above 3.5; this appears to clear the published threshold, subject to Trent's official calculation",Quantitative and programming preparation is expected; exact transcript mapping remains program review,Graduate application and program review with an identified thesis supervisor,An identified supervisor is expected for the thesis route; Stage 4 must verify current willingness,February 1 is the general fall close date; Fall 2027 is not separately labeled,Recurring fall close date checked 2026-09-11; reconfirm for Fall 2027,125 per program,CAD,The university says the graduate application fee is non-refundable and cannot be waived,Multiple program applications are possible,Yes — the fee is charged per program,International thesis tuition remains applicant-payable unless an award offsets it; exact 2027–28 amount not published,Not independently verified for 2027–28,Guaranteed eligible research-master's funding package composed of scholarships and possible teaching or research support,"Eligible full-time research master's students are guaranteed a published package range, but international net sufficiency is unresolved",Two years,"Eligible full-time research status, satisfactory progress, and award or appointment terms",International students may receive the package and compete for a limited international scholarship offset,18000 to 23000 per year for eligible master's students in 2026–27,CAD,Not fully guaranteed; limited International Global Citizen Scholarships can offset international tuition,Not verified,Not verified,"Annual package is published, but payment schedule and summer appointment components require confirmation",Graduate funding package and International Global Citizen Scholarship,February 1 general fall close; separate award timing not fully verified,"After international tuition, fees, insurance, and living costs, what guaranteed net amount remains for each of the two years?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.trentu.ca/graduatestudies/program/applied-modelling-quantitative-methods-ma-or-msc/thesis-stream,stage3src:b22e1889700fbaab2f3a,stage3src:b22e1889700fbaab2f3a|stage3src:8549b08abdd3e0064892|stage3src:dbb14be1dd81e291e938|stage3src:fa16b0d52ebea2c777d8,stage3src:fa16b0d52ebea2c777d8,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,ca:dli:O19305471522:program:thesis-or-research-master-s:masc-in-systems-design-engineering,ca:dli:O19305471522:program:thesis-or-research-master-s:masc-in-systems-design-engineering,ca:dli:O19305471522,University of Waterloo,Canada,canada,advance_to_stage_3,monitor,"Admission requires a four-year engineering or equivalent degree plus specified mathematics and a confirmed supervisor, which cannot be established from the applicant profile alone; the CAD 18,000 annual minimum is below current published international tuition and incidental charges before living costs.",Master of Applied Science in Systems Design Engineering,Thesis or research master's,Approximately 24-month research master's requiring original thesis work under a supervisor,Department of Systems Design Engineering,"Current official program, department FAQ, and 2026–27 international tuition page checked 2026-09-11","Unresolved — a four-year honours engineering degree, Honours BASc, or equivalent is required; equivalency of the applicant's CS degree needs written confirmation","Yes, subject to degree equivalency, English evidence, and a confirmed supervisor",English,Published English thresholds apply unless Graduate Studies approves an exemption; applicant-specific waiver not verified,75 percent minimum overall standing in the last two years,No unsupported conversion was made from the applicant's U.S. GPA; Waterloo must determine equivalency,"Calculus II, linear algebra or matrices, and probability and statistics or Calculus III are required",Graduate application plus mandatory confirmed research supervisor before an offer,A supervisor is mandatory for admission,February 1 is the current fall deadline; Fall 2027 is not separately labeled,Recurring deadline checked 2026-09-11; reconfirm for Fall 2027,125 per program,CAD,The department FAQ says no application fee waiver,Multiple applications are possible,Yes — CAD 125 for each program application,"Current 2026–27 international research-master's tuition is 7696 per term, normally three terms per year",Current incidental fees are 939.06 per term,"Department-guaranteed minimum MASc support, commonly assembled from supervisor funds and awards","CAD 18000 annually for two years is guaranteed to full-time MASc students, but it does not establish full international tuition and living coverage",Two years,"Full-time status, satisfactory progress, supervisor relationship, and award or appointment components",The published MASc minimum applies to incoming full-time students without an international exclusion,18000 per year minimum,CAD,No separate full tuition waiver is established; current annual tuition alone is about 23088 before fees,Not established; current annual incidental fees total about 2817.18,Not independently verified,"Three-term enrollment and annual support are described, but exact summer cash flow requires confirmation",Systems Design Engineering MASc guaranteed minimum funding,Funding consideration follows the program application and supervisor process,"Is the CS bachelor's formally equivalent to the required engineering preparation, and can a supervisor provide funding above the minimum to cover international tuition and living costs?",pass,resolvable_question,unverified,pass,pass,no,Monitor — Not Faculty-Review Ready,https://uwaterloo.ca/future-graduate-students/programs/by-faculty/engineering/systems-design-engineering-master-applied-science-masc,stage3src:9f80b45a50c93b042a39,stage3src:9f80b45a50c93b042a39|stage3src:ce46b8f261894843adda|stage3src:6011d1ad5ee3c7a887c2,stage3src:ce46b8f261894843adda|stage3src:6011d1ad5ee3c7a887c2,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,ca:dli:O19359011007:program:thesis-or-research-master-s:cybersecurity-engineering-masc,ca:dli:O19359011007:program:thesis-or-research-master-s:cybersecurity-engineering-masc,ca:dli:O19359011007,Concordia University,Canada,canada,advance_to_stage_3,conditional,"The applicant's computer-science bachelor's is explicitly accepted, but the program only says funding is generally available to most thesis students and publishes neither a guaranteed amount nor full international net coverage; obtain an advisor-backed package before deciding.",Cybersecurity Engineering (MASc),Thesis or research master's,"45-credit, approximately two-year research master's with applied cybersecurity research and thesis","Concordia Institute for Information Systems Engineering, Gina Cody School of Engineering and Computer Science","Current official program, application-instructions, and 2026–27 tuition pages checked 2026-09-11","Yes — a bachelor's in computer science, software engineering, computer engineering, electrical engineering, or equivalent is accepted",Yes — an international fall deadline and international thesis tuition are published,English,Concordia graduate English-language rules apply; applicant-specific U.S.-degree waiver must be confirmed,No fixed program-specific GPA floor was verified on the current program page,Applicant's CS bachelor's is an accepted field; academic standing remains committee review,Relevant computing or engineering preparation is required; exact prerequisite deficiencies are determined in review,"Graduate application and program review, with research advisor alignment relevant to thesis funding","A prior advisor commitment is not stated as mandatory, but advisor support may determine research funding",March 1 is the current international fall deadline; Fall 2027 is not separately labeled,Recurring international fall deadline checked 2026-09-11; reconfirm for Fall 2027,100 per program,CAD,The application instructions state no fee waiver,Multiple program applications are possible,Yes — a complete package and fee are required for each program,Current 2026–27 international thesis Engineering and Computer Science rate is 711.62 per credit before other applicable charges,Compulsory fees are separate; exact applicant total not computed,"Advisor research support and graduate funding packages, with no separate awards application for ordinary consideration","Funding packages are described as generally available and offered to most thesis students, not guaranteed to every admit",Not published as a guaranteed duration on the pages checked,"Admission, advisor resources, package terms, academic progress, and possible award or appointment duties",No international exclusion found; international tuition remains material,Not verified,CAD,Not verified; advisor funding may be provided but full tuition coverage is not promised,Not verified,Not verified,Not verified,Program funding package and research-advisor support,Ordinary funding consideration follows admission; no separate current deadline published,"Will a willing advisor provide a two-year package that covers international tuition, compulsory fees, insurance, and living costs?",pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://www.concordia.ca/academics/graduate/cybersecurity-engineering-masc.html,stage3src:bb92cb57eb898f837be6,stage3src:bb92cb57eb898f837be6|stage3src:74b7cc4142af5c67ae47|stage3src:fa1c6e416a3e5b84f9a1,stage3src:bb92cb57eb898f837be6|stage3src:fa1c6e416a3e5b84f9a1,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
2.0,ror:03ad39j10:program:thesis-or-research-master-s:master-s-degree-in-computer-science,ror:03ad39j10:program:thesis-or-research-master-s:master-s-degree-in-computer-science,ror:03ad39j10,University of Pisa,Italy,europe,advance_to_stage_3,conditional,"DSU provides a credible nationality-open full-cost route, but admission requires an exact 72-credit subject mapping that cannot be established from the applicant profile alone; submit the transcript and syllabi for formal eligibility review before advancing.",Master's Degree in Computer Science,Thesis or research master's,Two-year English-taught master's with a Foundations of Software curriculum and final dissertation,Department of Computer Science,"Current official program, international enrollment, fees, and 2026–27 DSU pages checked 2026-09-11",Unresolved — a foreign bachelor's is accepted only after the published subject-credit requirements are verified,Yes — international degree holders have a specific application and pre-enrollment route,English,B2 English is required; whether the applicant's U.S. English-medium bachelor's supplies the accepted evidence must be confirmed,No numeric program GPA floor was verified; curricular-credit eligibility is the published gate,"Applicant GPA 3.35 is reviewable, but no unsupported conversion or admission inference was made","At least 72 relevant credits, including 36 in computer science or computer engineering and 18 in mathematics or physics","International program application, academic evaluation, then Universitaly pre-enrollment and visa process if admitted",No prior supervisor commitment is published for admission,"Fall 2027 deadline not published; for 2026–27 the first deadline was February 5, 2026 and final deadline August 31, 2026",Latest 2026–27 cycle checked 2026-09-11; wait for 2027–28 call,Exact Computer Science application fee not verified,EUR,Not verified,Not verified,Not verified,2026–27 maximum annual tuition is 2900 before country or income reductions; DSU winners receive tuition exemption,Regional tax and stamp or similar charges may apply; exact residual amount under DSU requires the call,Annual DSU Toscana means- and merit-tested scholarship,Credible full-cost scholarship route exists but award is competitive and document-dependent,"One academic year per award, with renewal subject to each annual call and merit conditions","Economic-status evidence, merit, timely application, translated or legalized documents, and annual renewal rules",Open to students of any nationality under the published international route,Cash component varies by economic status and residence classification,EUR,Tuition exemption for DSU recipients,Exact residual charges not verified,Not verified,Benefits follow the annual DSU service period; exact summer dates depend on the call,DSU Toscana scholarship,"September 7, 2026 for the 2026–27 call; 2027–28 deadline not published","Does the transcript satisfy the 72-credit subject distribution, and can the applicant document DSU economic eligibility for 2027–28?",pass,resolvable_question,pass,pass,pass,yes,Outreach Before Decision,https://www.unipi.it/en/education/courses/master-degree/computer-science-wif-lm-en/,stage3src:81cdff5b69ad08ff06a0,stage3src:81cdff5b69ad08ff06a0|stage3src:35b90f3e1e30c890f342|stage3src:79c198887091a4b3d6ac|stage3src:d960b48d3e2ea6300876,stage3src:79c198887091a4b3d6ac|stage3src:d960b48d3e2ea6300876,high,data/processed/pass2/stage_02_reentry_11_candidates.csv|data/processed/pass2/stage_02_reentry_11_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_11.json,2026-09-11
