program_id,institution_id,institution_name,country,program_name,degree_type,department,official_program_url,thesis_dissertation_requirement,research_credit_requirement,research_groups_labs,direct_from_bachelors_eligible,international_student_eligible,language_of_instruction,current_program_status,preliminary_fit,screening_decision,exclusion_reason,minimum_gpa,minimum_gpa_policy,prerequisite_coursework,gre_policy,english_requirement_waiver,fall_2027_deadline,deadline_cycle_status,application_fee,fee_currency,fee_waiver_rules,multiple_applications_allowed,separate_fees_required,admissions_model,faculty_contact_expectation,funding_model,funding_status,stipend_amount,stipend_currency,funding_duration_years,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_funding,funding_conditions,supervisor_dependent_funding,phd_funding,masters_funding,scholarships_fellowships,professor_fit_score,faculty_depth_score,research_fit_score,funding_score,eligibility_score,degree_admissions_score,application_economics_score,overall_score,admission_plausibility,recommendation,final_decision,biggest_risk,unresolved_question,single_professor_dependency,verification_status,notes
us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,United States,Software Engineering PhD,PhD,Software and Societal Systems Department,https://se-phd.isri.cmu.edu/,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Software Engineering Institute ecosystem; program-analysis, software assurance, and AI-for-SE groups",Yes — SCS accepts applicants holding a bachelor's degree or equivalent,Yes — international applicants are explicitly covered by SCS graduate admissions,English,Active program verified on official site 2026-09-09,"Exceptional match for automated repair, testing, software reliability, and AI-assisted development",retained,,No hard program minimum located,Holistic SCS review; no minimum published on reviewed program page,Strong computer science/software engineering preparation and research potential,Not required for SCS PhD applications,SCS English-proficiency rules apply; waiver is fact-specific,2026-12-09,"Fall 2027 final deadline, explicitly labeled; early deadline 2026-11-18 at 3 p.m. ET",0,USD,Software Engineering PhD program page states the application fee is waived,"Yes, subject to SCS application rules",Program-specific application rules apply,Committee-based program admission,Faculty contact is optional; admission is not controlled by a single professor,Departmental RA/TA support,Credible full-support commitment: tuition and living support for admitted SE PhD students in good standing,Not stated in reviewed official source,USD,Normal doctoral duration; exact guarantee term not stated on reviewed SE page,Full tuition covered,Not itemized on reviewed source,Included in SCS doctoral support package; plan details not itemized,"Living support described, but summer mechanics not itemized",Continued satisfactory progress and good standing,No — program describes support for admitted PhD students,Credible full-support commitment: tuition and living support for admitted SE PhD students in good standing,Not reviewed; this audit is limited to the PhD route,University and external fellowships may supplement RA/TA support,30,13,43,25,14,10,5,97,Reach,Likely Apply,,Extremely selective admission,Confirm exact 2027 stipend and health/fee components in an offer,Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,Current Fall 2027 SCS deadline was verified; recruiting remains unknown for the named faculty match.
us:ipeds:145637:program:phd:computer-science-phd,us:ipeds:145637,University of Illinois Urbana-Champaign,United States,Computer Science PhD,PhD,Siebel School of Computing and Data Science,https://catalog.illinois.edu/graduate/engineering/computer-science-phd/,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Programming Languages, Formal Methods, and Software Engineering research area",Yes — admission from a bachelor's degree is permitted,Yes — international application and English requirements are published,English,Active program verified on official site 2026-09-09,"Excellent faculty fit, but the published GPA threshold conflicts with the applicant's verified 3.35 cumulative GPA",retained,,3.0/4.0 over the last two undergraduate years; 3.40 is recommended by the program,"The Graduate College minimum is 3.0 over the last two undergraduate years; 3.40 is a program recommendation, not a hard minimum.",Strong computing preparation; program evaluates breadth and research readiness,Not required,Official English test or qualifying waiver under Graduate College rules,,"Latest official CS page lists December 15, but the reviewed source did not label the Fall 2027 cycle",90,USD,International applicants generally cannot receive the Graduate College fee waiver,Graduate College rules apply,Separate application/fee requirements apply where multiple programs are permitted,Committee-based admission,Faculty contact is optional and does not replace the application,Five-year qualifying assistantship/fellowship model,Catalog describes five years of eligible appointments with stipend and tuition waiver,Not stated in reviewed official source,USD,5,Full tuition waiver with qualifying appointment,Partial fee waiver; remaining fees may be owed,Not confirmed in reviewed CS catalog source,Not guaranteed in reviewed source,Good standing and qualifying appointment,Partly — appointment source can change,Catalog describes five years of eligible appointments with stipend and tuition waiver,Not reviewed; this audit is limited to the PhD route,Competitive university and external fellowships,29,13,42,24,11,10,2,89,Reach,Likely Apply,,"The program recommends a 3.40 cumulative GPA; the applicant's recent-two-year performance clears the formal 3.0 minimum, but the cumulative GPA is below that recommendation.",How will the committee weigh the stronger recent-two-year record against the 3.35 cumulative GPA and 3.40 recommendation?,Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,"Independent exclusion sampling corrected the earlier false hard-GPA exclusion; faculty fit and funding remain strong, with offer-specific terms to confirm."
us:ipeds:139755:program:phd:computer-science-phd,us:ipeds:139755,Georgia Institute of Technology-Main Campus,United States,Computer Science PhD,PhD,College of Computing,https://www.cc.gatech.edu/degree-programs/phd-computer-science,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Software Engineering, program analysis, reliability, and cybersecurity research",Yes — bachelor's degree or equivalent accepted,Yes — international requirements are stated in the current application portal,English,Active program verified on official site 2026-09-09,Strong software testing and program-analysis fit,downgrade,Funding package is not verified as guaranteed for every admitted CS PhD student,3.0/4.0,Current program portal minimum,Bachelor's preparation appropriate to computer science research,Not required in current portal,TOEFL/IELTS requirement and institutional waiver rules apply,2026-12-15,Fall 2027 deadline explicitly labeled in current Georgia Tech program portal,105 international / 95 domestic,USD,Institute waiver rules are limited; no program-wide international waiver verified,Institute graduate application rules apply,Separate fees ordinarily apply,Committee-based admission,Program contact available; faculty outreach optional,RA/TA and fellowship opportunities,"Funding opportunities are linked, but no CS-wide multi-year guarantee was located",Not stated in reviewed official source,USD,Not guaranteed,May be covered by qualifying assistantship,Not verified,Not verified,Not verified,Offer- and appointment-specific,Often yes for RA support,"Funding opportunities are linked, but no CS-wide multi-year guarantee was located",Not reviewed; this audit is limited to the PhD route,Institute and external fellowships,28,12,40,12,14,10,1,77,Reach,Outreach Before Decision,,Potential admission without a sufficiently explicit support package,"Will a Fall 2027 CS PhD offer guarantee tuition, stipend, insurance, and duration?",Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,Deadline is current and exact; funding assessment is intentionally conservative.
us:ipeds:228778:program:phd:computer-science-phd,us:ipeds:228778,The University of Texas at Austin,United States,Computer Science PhD,PhD,Department of Computer Science,https://www.cs.utexas.edu/graduate/degrees-and-programs,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Programming Languages, Verification, Software Engineering, and Systems groups",Yes — bachelor's degree or comparable foreign degree accepted,Yes — Graduate School publishes international requirements,English,Active program verified on official site 2026-09-09,"Exceptional program-analysis, verification, synthesis, and secure-software fit",retained,,3.0/4.0,Minimum on upper-division work; holistic review beyond the minimum,Strong CS background; deficiencies may require preparatory work,Not required by current CS admissions page,International English requirement; waiver depends on official Graduate School criteria,,Current CS page lists December 15 but did not explicitly label Fall 2027 in the reviewed text,90 international / 65 domestic,USD,International application fee waivers are not available under the reviewed Graduate School policy,Graduate School policy applies,Separate program fees apply where multiple submissions are allowed,Committee-based admission,Faculty contact optional; csadmis@cs.utexas.edu handles admissions questions,"Fellowship, GRA, and TA support",Most CS PhD students receive support for the first five years; not stated as an unconditional guarantee for every admit,Not stated in reviewed official source,USD,5 for most students,Qualifying appointments cover tuition,Qualifying appointments cover specified fees,Qualifying appointments include insurance,Varies by fellowship or research appointment,Academic progress and appointment availability,"Partly, especially for GRA support",Most CS PhD students receive support for the first five years; not stated as an unconditional guarantee for every admit,Not reviewed; this audit is limited to the PhD route,"Departmental, university, and external fellowships",30,13,43,21,14,10,1,89,Reach,Likely Apply,,"High selectivity and support wording is 'most,' not every admit",Confirm that any offer contains a five-year minimum-support commitment,Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,"Retained because the published five-year norm is credible, with offer-letter verification required."
us:ipeds:110653:program:phd:software-engineering-phd,us:ipeds:110653,University of California-Irvine,United States,Software Engineering PhD,PhD,Department of Informatics,https://informatics.ics.uci.edu/phd-software-engineering/,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Software Design and Collaboration Laboratory; program analysis, security, and testing groups",Yes — UCI permits PhD entry after a bachelor's degree,Yes — international graduate applicants are explicitly supported,English,Active program verified on official site 2026-09-09,"Very strong dedicated software-engineering route with automated analysis, security, and testing match",retained,,3.0/4.0,Minimum graduate admission GPA; program uses holistic review,Undergraduate preparation in computing and research readiness,Not required by current ICS research-program FAQ,TOEFL/IELTS unless an official UCI waiver applies,December 15 (recurring rule; Fall 2027 not yet cycle-labeled),Official ICS FAQ states a recurring December 15 deadline; no source independently labels it for Fall 2027.,155 international / 135 domestic,USD,International applicants are not eligible for the standard UCI fee waiver,Yes,Yes — each program application requires its own fee,Committee-based with faculty-fit review,Direct faculty contact is encouraged by the program,"TA, GSR, and fellowship support",ICS states it strives to award all admitted PhD students full funding; this is not an unconditional guarantee,Not stated in reviewed official source,USD,Not guaranteed on reviewed page,Normally included in full-funding awards,Not itemized,Not itemized,Not guaranteed,Award and appointment terms; academic progress,Partly for GSR support,ICS states it strives to award all admitted PhD students full funding; this is not an unconditional guarantee,Not reviewed; this audit is limited to the PhD route,UCI and external fellowships,29,12,41,19,14,10,0,84,Plausible to reach,Likely Apply,,High fee and aspirational rather than guaranteed funding language,"Will the admission offer guarantee multi-year tuition, stipend, health, and summer support?",Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,Fall 2027 cycle opening and standing ICS December 15 deadline are both official; ask the program to confirm if the posted date changes.
us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,United States,Computer Science PhD,PhD,Department of Computer Science,https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Software engineering, automated program analysis, testing, security, and trustworthy AI groups",Yes — the program describes a five-year path from the bachelor's degree,Yes — international English and application rules are published,English,Active program verified on official site 2026-09-09,"Excellent fit for LLM-assisted software engineering, testing, build/configuration repair, and security",retained,,3.0/4.0,Published minimum; holistic competitive review,Strong background in computer science or related discipline,Not required,TOEFL 90 or IELTS 6.5 unless an official waiver applies,2026-12-01,Fall 2027 full-consideration deadline explicitly labeled,75,USD,Graduate School waiver categories apply; no broad international waiver verified,Graduate School rules apply,Separate fees generally apply,Committee-based admission,Faculty contact optional before admission,Five-year departmental multi-year offer,"Beginning with the Fall 2026 admission cycle, 100% of admitted PhD students receive a conditional five-year offer, excluding summers; some fees remain the student's responsibility.",Not stated in reviewed official source,USD,5,Included in qualifying assistantship/support offer,Standard assistantship may leave comprehensive/CFE and other mandatory-fee liability.,Check offer; not fully itemized on reviewed page,Excluded from the published five-year offer statement; must be arranged separately.,Satisfactory progress and offer terms,No for academic-year baseline; summer/research supplements may depend on advisor,"Department states 100% of admitted PhD students beginning Fall 2026 receive a five-year offer, excluding summers",Not reviewed; this audit is limited to the PhD route,Competitive fellowships and supplemental awards,29,12,41,23,14,10,3,91,Plausible to reach,Strong Apply,,The policy is effective from Fall 2026 but excludes summers and leaves some mandatory fees to the student.,What summer-support expectation applies after year one?,Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,One of the clearest current Fall 2027 deadlines and funding commitments in this audit.
us:ipeds:232186:program:phd:computer-science-phd,us:ipeds:232186,George Mason University,United States,Computer Science PhD,PhD,Department of Computer Science,https://cs.gmu.edu/academics/graduate-programs,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Software engineering, human-centered software engineering, program repair, and security faculty",Yes — current graduate requirements permit a relevant bachelor's route,Yes — international deadlines and requirements are published,English,Active program verified on official site 2026-09-09,Strong human-centered program-repair and software-engineering faculty match,downgrade,Fall 2027 deadline and a credible full-support commitment were not verified,3.0/4.0 expected,Program and Graduate School review; exact hard-screen behavior not verified,Substantial computer science preparation,Current requirement not conclusively verified,International English requirement; official waiver rules apply,,"Latest program table is Fall 2026: funding 2025-12-01, standard 2026-03-15, international-space 2026-06-01; Fall 2027 not posted",75,USD,Limited Graduate School waivers; availability is not guaranteed,Graduate Admissions rules apply,Separate fees generally apply,Committee-based admission,Faculty outreach is optional and may clarify funding/lab fit,TA/RA and fellowship opportunities,No current department-wide multi-year guarantee located,Not stated in reviewed official source,USD,Not guaranteed,May accompany assistantship; not guaranteed,Not verified,Not verified,Not verified,Offer- and appointment-specific,Often yes for RA support,No current department-wide multi-year guarantee located,Not reviewed; this audit is limited to the PhD route,Competitive awards available,26,9,35,8,14,10,2,69,Plausible,Investigate Further,,Funding and cycle uncertainty,"Will Fall 2027 admission include guaranteed tuition, stipend, health, and duration?",Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,Do not treat the Fall 2026 dates as Fall 2027 dates.
us:ipeds:199193:program:phd:computer-science-phd,us:ipeds:199193,North Carolina State University at Raleigh,United States,Computer Science PhD,PhD,Department of Computer Science,https://csc.ncsu.edu/academics/graduate/phd/,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Software Engineering, Analytics, and automated testing/program-analysis groups",Yes — 72-credit route beyond a bachelor's degree,Yes — international applicants are eligible for fall admission,English,Active program verified on official site 2026-09-09,"Strong automated testing, program analysis, and developer/AI interaction fit",retained,,3.0/4.0 typical Graduate School baseline,B average expected; holistic departmental review,Core computer science and mathematics preparation,Current program policy not conclusively verified,TOEFL/IELTS unless Graduate School waiver applies,,"Current CS page lists December 15 for fall PhD admission, but the reviewed page did not label Fall 2027",95 international / 85 domestic,USD,Graduate School waiver criteria apply,Graduate School rules apply,Separate fees apply where multiple applications are permitted,Hybrid committee/advisor model,Faculty contact is appropriate because RA support is advisor-determined,Four-year comprehensive package for each fall PhD admit who requests aid; later support transitions toward adviser-funded RA work.,"Current official policy promises tuition, individual health insurance, and stipend for four years to every fall PhD admit requesting aid; fees, summers, year five, and adviser transition remain unresolved.",Not stated in reviewed official source,USD,Not guaranteed,May accompany qualifying appointment,Not verified,Not verified,Advisor/project dependent,Assistantship availability and satisfactory progress,"Yes, explicitly for RA funding","Four-year tuition, individual health insurance, and stipend package for fall PhD admits requesting aid; conditions and later adviser funding apply.",Not reviewed; this audit is limited to the PhD route,"Department, Graduate School, and external fellowships",28,11,39,21,14,10,1,85,Plausible to reach,Likely Apply,,"The package excludes student fees and does not settle summer funding, year five, or the transition to adviser-funded RA support.","What are the summer, student-fee, year-five, and adviser-transition terms in a Fall 2027 offer?",Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,Independent exclusion sampling found a newer department-wide four-year package; the program was rescored and restored to the application portfolio.
us:ipeds:214777:program:phd:computer-science-and-engineering-phd,us:ipeds:214777,Pennsylvania State University-Main Campus,United States,Computer Science and Engineering PhD,PhD,Department of Computer Science and Engineering,https://www.eecs.psu.edu/students/graduate/Graduate-Degree-Programs-CSE.aspx,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Programming languages, formal methods, software security, and verification",Yes — a recognized bachelor's degree can satisfy Graduate School entry requirements,Yes — country-specific international requirements are published,English,Active program verified on official site 2026-09-09,"Strong formal methods, program analysis, and software-security match",downgrade,No multi-year funding guarantee; summer and renewal are explicitly uncertain,No hard CSE minimum verified,Competitive holistic review,Strong background in computer science or computer engineering,Current CSE GRE policy not conclusively verified,English test/waiver follows Graduate School country and degree rules,,"Current EECS page lists December 20 for fall, but the reviewed page did not label Fall 2027",85 international / 65 domestic,USD,Applicants may ask about limited waivers,One active Graduate School application at a time,A new fee applies to a new application unless waived,Committee-based admission,Faculty outreach optional; program office handles admissions,Competitive TA/RA appointments,"Appointments can include stipend, tuition, and 80% health premium; renewal and summer support are not guaranteed",Not stated in reviewed official source,USD,Appointment-by-appointment,Covered with qualifying assistantship,Not fully covered/verified,80% premium with qualifying appointment,Not guaranteed; tuition assistance may be possible,Appointment availability and academic performance,Often yes for RA support,"Appointments can include stipend, tuition, and 80% health premium; renewal and summer support are not guaranteed",Not reviewed; this audit is limited to the PhD route,Competitive fellowships and awards,27,10,37,11,14,10,2,74,Plausible to reach,Deprioritize,,Annual funding renewal and uncovered health/fees,Can CSE provide a written multi-year minimum-support commitment for Fall 2027?,Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,Funding page was treated literally; appointment benefits are not a universal admission guarantee.
us:ipeds:209542:program:phd:computer-science-phd,us:ipeds:209542,Oregon State University,United States,Computer Science PhD,PhD,School of Electrical Engineering and Computer Science,https://engineering.oregonstate.edu/academics/programs/computer-science/graduate,Yes — original dissertation and defense required,Sustained doctoral research/dissertation enrollment required; exact credits follow program rules,"Software engineering, program analysis, automated repair, and dependable systems",Yes — bachelor's degree route is explicitly available,Yes — international applicants are eligible,English,Active program verified on official site 2026-09-09,"Excellent automated repair, specifications, analysis, and testing match",downgrade,"Exact Fall 2027 route is active, but full multi-year funding is not verified",3.0/4.0 Graduate School baseline,Program uses holistic competitive review,Substantial computer science preparation,Not required,TOEFL/IELTS/Duolingo unless official waiver applies,2026-12-10,Fall 2027 deadline explicitly labeled,85,USD,Program says it does not grant application-fee waivers; international waiver unavailable,Graduate School rules apply,Separate fees generally apply,Hybrid committee/faculty-fit model,Faculty outreach is appropriate for fit and funding clarification,Assistantship and fellowship opportunities,No CS-wide full-funding guarantee located,Not stated in reviewed official source,USD,Not guaranteed,May accompany qualifying appointment,Not verified,Not verified,Not verified,Offer- and appointment-specific,Often yes for RA support,No CS-wide full-funding guarantee located,Not reviewed; this audit is limited to the PhD route,University and external fellowships,29,10,39,9,14,10,1,73,Plausible,Outreach Before Decision,,Potentially unfunded or partially funded offer,"Is every admitted CS PhD guaranteed tuition, stipend, health, and a minimum duration?",Yes — one strongest current match was verified; broader faculty-depth review remains necessary,Verified against current official program/admissions/funding pages; unresolved items are explicit,Do not transfer the Robotics PhD funding guarantee to this separate CS program.
