schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry01:wisc:program,us:ipeds:240444,Computer Sciences PhD,official_program_or_department_signal,program route,"Computer Sciences, PhD",University of Wisconsin-Madison,https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-phd/,2026-09-10,Official graduate guide identifies the Computer Sciences PhD route.,Fall 2027 cycle details require verification.
2.0,reentry01:wisc:research,us:ipeds:240444,Computer Sciences PhD,official_program_or_department_signal,research fit,Traditional Graduate Program,University of Wisconsin-Madison,https://www.cs.wisc.edu/grad/programs/traditional/,2026-09-10,"Department lists AI, programming languages and compilers, security, and systems among research areas.",Faculty-level fit and availability remain unverified.
2.0,reentry01:wisc:funding,us:ipeds:240444,Computer Sciences PhD,underrepresented_route_search,preliminary funding,Graduate Funding,University of Wisconsin-Madison,https://www.cs.wisc.edu/grad/programs/funding/,2026-09-10,"Department describes multi-year guarantees, tuition remission, and stipend support for many traditional admits.",Not represented as a guarantee for every admit.
2.0,reentry01:umn:program,us:ipeds:174066,Computer Science PhD,official_program_or_department_signal,program and entry route,PhD Admissions,University of Minnesota-Twin Cities,https://cse.umn.edu/cs/phd-admissions,2026-09-10,Official page identifies the PhD route and says a master's degree is not required.,Cycle-specific requirements require Stage 3 verification.
2.0,reentry01:umn:funding,us:ipeds:174066,Computer Science PhD,underrepresented_route_search,preliminary funding,Graduate Admissions Overview,University of Minnesota-Twin Cities,https://cse.umn.edu/cs/graduate-admissions-overview,2026-09-10,"Department describes guaranteed PhD funding including tuition, stipend, and health-insurance support.",Offer-specific terms and summer support require verification.
2.0,reentry01:umn:research,us:ipeds:174066,Computer Science PhD,official_program_or_department_signal,research fit,Computing Foundations Research,University of Minnesota-Twin Cities,https://cse.umn.edu/cs/computing-foundations,2026-09-10,"Official group page includes programming languages, software engineering, formal analysis, verification, testing, and security.",Faculty-level fit remains unverified.
2.0,reentry01:colorado:program,us:ipeds:126614,Computer Science PhD,official_program_or_department_signal,program route,Doctor of Philosophy,University of Colorado Boulder,https://www.colorado.edu/cs/academics/graduate-programs/doctor-philosophy,2026-09-10,Official department page identifies the Computer Science PhD route.,Cycle-specific admissions require verification.
2.0,reentry01:colorado:funding,us:ipeds:126614,Computer Science PhD,underrepresented_route_search,preliminary funding,Funding Opportunities,University of Colorado Boulder,https://www.colorado.edu/cs/admissions/graduate-admissions/funding-opportunities,2026-09-10,Department states all admitted PhD students receive TA or RA support with specified benefits.,Summer support is excluded and offer terms must be verified.
2.0,reentry01:colorado:faq,us:ipeds:126614,Computer Science PhD,official_program_or_department_signal,entry route and research breadth,Graduate Admissions FAQs,University of Colorado Boulder,https://www.colorado.edu/cs/graduate-admissions/faqs,2026-09-10,Official FAQ states a master's is not required and describes the doctoral commitment.,Exact applicant equivalency remains for Stage 3.
2.0,reentry01:arizona:program-funding,us:ipeds:104179,Computer Science PhD,official_program_or_department_signal,program and preliminary funding,Prospective Graduate Students,University of Arizona,https://cs.arizona.edu/graduate/prospective-students,2026-09-10,Official page identifies the doctoral route and describes multi-year doctoral funding.,Entry and offer-specific conditions require verification.
2.0,reentry01:arizona:research,us:ipeds:104179,Computer Science PhD,lab_or_center_signal,research fit,Secure and Reliable Software Systems,University of Arizona,https://www2.cs.arizona.edu/research/secure.html,2026-09-10,"Official research page identifies software testing, debugging, analysis, security, and reliability work.",Current faculty supervision must be checked in Stage 4.
2.0,reentry01:buffalo:program,us:ipeds:196088,Computer Science and Engineering PhD,official_program_or_department_signal,program route,PhD in Computer Science and Engineering,University at Buffalo,https://engineering.buffalo.edu/computer-science-engineering/graduate/degrees-and-programs/phd-in-computer-science-and-engineering.html,2026-09-10,Official school page identifies the CSE PhD.,Cycle-specific admissions require verification.
2.0,reentry01:buffalo:research,us:ipeds:196088,Computer Science and Engineering PhD,official_program_or_department_signal,research fit,Computer Security and Cryptography,University at Buffalo,https://engineering.buffalo.edu/computer-science-engineering/research/research-areas/theory/computer-security-and-cryptography.html,2026-09-10,"Official research page names program analysis, testing, software security, ML security, and trustworthy AI.",Current supervisor availability remains unverified.
2.0,reentry01:buffalo:funding,us:ipeds:196088,Computer Science and Engineering PhD,underrepresented_route_search,preliminary funding,Paid Assistantships,University at Buffalo,https://engineering.buffalo.edu/home/academics/grad/new-students/paid-assistantships.html,2026-09-10,School describes the package received by fully funded PhD students.,Does not prove that all admits receive funding.
2.0,reentry01:utah:program,us:ipeds:230764,Computing PhD,official_program_or_department_signal,program route,MS and PhD Programs,University of Utah,https://www.cs.utah.edu/graduate/academic-programs/ms-and-phd-programs/,2026-09-10,Official School of Computing page identifies the doctoral program route.,Entry and funding details require Stage 3 verification.
