schema_version,evidence_rank,score_band,program_id,institution_id,institution_name,country,region,program_name,degree_type,official_program_url,stage3_verification_status,professor_alignment_score,department_program_depth_score,funding_net_viability_score,eligibility_credential_alignment_score,degree_admissions_alignment_score,application_economics_score,overall_score,component_score_pattern,funding_hard_gate,professor_hard_gate,eligibility_hard_gate,degree_structure_hard_gate,coursework_exception_gate,all_hard_gates_pass,hard_gate_failures,distinct_verified_strong_matches,faculty_depth_points,single_professor_dependency,funding_status,application_fee,fee_currency,admission_plausibility,admission_plausibility_rationale,published_minimum_gpa,applicant_cumulative_gpa,applicant_recent_two_year_gpa,admission_probability,evidence_completeness,score_confidence,unresolved_conflicts,ranking_status,score_evidence_ids,generated_by,scored_at
2.0,1,65-79,us:ipeds:179867:program:phd:computer-science-phd,us:ipeds:179867,Washington University in St Louis,United States,us,Computer Science PhD,PhD,https://admin.aprc.wustl.edu/academics/graduate-admissions/index.html,retained,20,5,20,15,10,5,75,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:15/15|degree_admissions_alignment:10/10|application_economics:5/5,true,true,true,true,true,true,,1,5,true,McKelvey states its PhD students are fully funded with full tuition and health insurance,Not stated on reviewed official admissions page,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No hard CSE minimum verified,3.35,>3.5,,partial,medium,"Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",eligible_for_evidence_ranking,scoreev:201e8ea60591941c|scoreev:62da0a9a76e034d5|scoreev:06012f74cc229b99|scoreev:828f56790b75cfc6|scoreev:8c8ceeda4a1191c0|scoreev:feab2c430f22ef60,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,2,65-79,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,United States,us,Computer Science PhD,PhD,https://cs.arizona.edu/graduate/prospective-students,retained,20,5,25,10,10,3,73,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:25/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,Enrolled doctoral students making satisfactory progress are guaranteed multi-year funding; 100% of current PhD students are reported funded,90,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.00 cumulative Graduate College minimum,3.35,>3.5,,partial,medium,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify? | Single-professor dependency. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:9f7db08d225dfc50|scoreev:24eae0685974af93|scoreev:3cf41507d0d3823d|scoreev:d081a684a09f57de|scoreev:53e9fc6c9d1f64c7|scoreev:6ef1155c8da34d08,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,2,65-79,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,United States,us,Doctor of Philosophy in Computer Science,PhD,https://www.colorado.edu/cs/academics/graduate-programs/doctor-philosophy,retained,20,5,25,10,10,3,73,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:25/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,All admitted PhD students receive a TA or RA offer and the department describes a five-year full-funding commitment,80,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.00 for College of Engineering graduate admission,3.35,>3.5,,partial,medium,What summer support and current 2027-2028 stipend will the individual offer provide? | Single-professor dependency. | Applicable waiver or final Fall 2027 cost is not guaranteed.,eligible_for_evidence_ranking,scoreev:da5e0aa456a9e1ab|scoreev:710571d75f264f42|scoreev:ab00a68a0d8ae87d|scoreev:aebe49df5bc30a06|scoreev:289a64c9957561af|scoreev:8f9873866bc8c297,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,2,65-79,us:ipeds:166629:program:phd:computer-science-phd,us:ipeds:166629,University of Massachusetts-Amherst,United States,us,Computer Science PhD,PhD,https://www.cics.umass.edu/academics/phd-computer-science/how-apply-phd-program,retained,20,5,20,15,10,3,73,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:15/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,"CICS policy guarantees support for the first five years for covered doctoral students, subject to adequate progress and availability of funds",90,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No hard program minimum stated,3.35,>3.5,,partial,medium,"Confirm the Fall 2027 offer's summer and insurance/fee details | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:9b726df861a94f17|scoreev:a076e812383f444e|scoreev:91344ba3c86eb87f|scoreev:5b567db722b9e88b|scoreev:45f90de40c4bdb77|scoreev:00faa69cb1484b3d,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,2,65-79,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,United States,us,PhD in Computer Science,PhD,https://cse.umn.edu/cs/phd-admissions,retained,20,5,25,10,10,3,73,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:25/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,All admitted Computer Science PhD students are guaranteed funding from day one while making satisfactory academic and research progress,95,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No formal minimum; page states demonstrated ability to maintain 3.45 or greater,3.35,>3.5,,partial,medium,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts? | Single-professor dependency. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:faff589cf6316cb2|scoreev:ad359c07b323b8ac|scoreev:00a27b07062a147d|scoreev:e7dd568fbac3446b|scoreev:713c727286b2612e|scoreev:af0bac5c06d7eca9,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,2,65-79,us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,United States,us,Computer Science PhD,PhD,https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,retained,20,5,20,15,10,3,73,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:15/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,"Beginning with the Fall 2026 admission cycle, 100% of admitted PhD students receive a conditional five-year offer, excluding summers; some fees remain the student's responsibility.",75,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.0/4.0,3.35,>3.5,,partial,medium,"What summer-support expectation applies after year one? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:c57c8567189e992a|scoreev:500ea51e867d9b1f|scoreev:10c6b4de19f5ca53|scoreev:44e742e202b08bdf|scoreev:a49cf92e69284a07|scoreev:a8cd9f86c15231ca,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,3,65-79,us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,United States,us,Software Engineering PhD,PhD,https://se-phd.isri.cmu.edu/,retained,20,5,20,10,10,5,70,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:5/5,true,true,true,true,true,true,,1,5,true,Credible full-support commitment: tuition and living support for admitted SE PhD students in good standing,0,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No hard program minimum located,3.35,>3.5,,partial,medium,"Confirm exact 2027 stipend and health/fee components in an offer | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",eligible_for_evidence_ranking,scoreev:e1ea169ff0f60048|scoreev:9a81b502a49d07ae|scoreev:b11bfeab7b91bf8b|scoreev:771ca3419fc562c8|scoreev:3ea54ebe306487e9|scoreev:d7f8653eae228738,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,3,65-79,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,United States,us,Computer Science PhD,PhD,https://cs.duke.edu/graduate/phd,retained,20,5,25,10,10,0,70,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:25/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:0/5,true,true,true,true,true,true,,1,5,true,"PhD students in good standing receive full funding including tuition, fees, insurance, and stipend",105,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No program minimum captured,3.35,>3.5,,partial,low,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions? | Single-professor dependency. | Fee is high or the applicable Fall 2027 amount/waiver remains unverified.",eligible_for_evidence_ranking,scoreev:5b2a282b2675d9ff|scoreev:39bba6386dfe6b57|scoreev:a7baa9e742d3734a|scoreev:ab79d0db05698db8|scoreev:b1652c0a9a133885|scoreev:cc9883903e78a13c,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,3,65-79,us:ipeds:167358:program:phd:computer-science-phd,us:ipeds:167358,Northeastern University,United States,us,Computer Science PhD,PhD,https://www.khoury.northeastern.edu/apply/phd-apply/,retained,20,5,20,15,10,0,70,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:15/15|degree_admissions_alignment:10/10|application_economics:0/5,true,true,true,true,true,true,,1,5,true,Khoury states all admitted CS and Cybersecurity PhD students receive a five-year package,Not stated on reviewed official PhD page,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No hard program minimum verified,3.35,>3.5,,partial,low,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Fee is high or the applicable Fall 2027 amount/waiver remains unverified.",eligible_for_evidence_ranking,scoreev:94e26f6ac0dc4f25|scoreev:955aa251d5e035c5|scoreev:2a759d91d13459fe|scoreev:d425dd5adfc7e3a2|scoreev:8dbc1e70d6a48372|scoreev:78cf42047ea8fcdb,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,3,65-79,us:ipeds:157085:program:phd:doctoral-degree-in-computer-science,us:ipeds:157085,University of Kentucky,United States,us,Doctoral Degree in Computer Science,PhD,https://academics.uky.edu/programs/doctoral/computer-science,conditional,20,5,20,15,10,0,70,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:15/15|degree_admissions_alignment:10/10|application_economics:0/5,true,true,true,true,true,true,,1,5,true,Department states nearly 100 percent of PhD students are fully funded; individual admission support is not guaranteed,Not separately captured in reviewed official evidence,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.0/4.0,3.35,>3.5,,partial,low,"Does a Fall 2027 offer guarantee year-round stipend, tuition, fees, and insurance for the expected duration? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Fee is high or the applicable Fall 2027 amount/waiver remains unverified.",eligible_for_evidence_ranking,scoreev:30267c998a0674a4|scoreev:a6e8dd9dbf61f9fe|scoreev:4ecf3cd8dd04de26|scoreev:80530a5c00858116|scoreev:23cb60e7b0978859|scoreev:8625ea55b847ec91,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
