schema_version,score_evidence_id,program_id,institution_id,institution_name,component,component_score,max_score,rubric_anchor,rubric_anchor_description,supporting_evidence_ids,evidence_completeness,score_confidence,uncertainty_or_conflict,reviewer_or_generating_process,verification_status,calculated_at
2.0,scoreev:201e8ea60591941c,us:ipeds:179867:program:phd:computer-science-phd,us:ipeds:179867,Washington University in St Louis,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:f2e8f4ec253723e3|stage4src:cfd5b5e6c7fea570|stage4src:f806b29bdd2c9e6c,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:62da0a9a76e034d5,us:ipeds:179867:program:phd:computer-science-phd,us:ipeds:179867,Washington University in St Louis,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:f2e8f4ec253723e3|stage4src:cfd5b5e6c7fea570|stage4src:f806b29bdd2c9e6c,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:06012f74cc229b99,us:ipeds:179867:program:phd:computer-science-phd,us:ipeds:179867,Washington University in St Louis,funding_net_viability,20,25,verified_support_with_cost_gaps,"Direct funding hard gate passes, but fees, health, summer, duration, or net amount retains a material gap.",stage3src:1216268966cb16dd5f87,partial,medium,"One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:828f56790b75cfc6,us:ipeds:179867:program:phd:computer-science-phd,us:ipeds:179867,Washington University in St Louis,eligibility_credential_alignment,15,15,verified_alignment,Formal eligibility is verified and no material credential-equivalency question is recorded.,stage3src:98e07953cd3078105123|stage3src:1216268966cb16dd5f87|stage3src:5636251ab9471b4d4092,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:8c8ceeda4a1191c0,us:ipeds:179867:program:phd:computer-science-phd,us:ipeds:179867,Washington University in St Louis,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:98e07953cd3078105123|stage3src:1216268966cb16dd5f87|stage3src:5636251ab9471b4d4092,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:feab2c430f22ef60,us:ipeds:179867:program:phd:computer-science-phd,us:ipeds:179867,Washington University in St Louis,application_economics,5,5,no_fee_or_verified_waiver,No application fee or a clearly applicable waiver is verified.,stage3src:98e07953cd3078105123|stage3src:5636251ab9471b4d4092|stage3src:1216268966cb16dd5f87,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:9f7db08d225dfc50,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:8e1f277f6b6760ae|stage4src:821f27383d3745dd|stage4src:29a0964755d44441|stage4src:80400e1f10004ad1,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:24eae0685974af93,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:8e1f277f6b6760ae|stage4src:821f27383d3745dd|stage4src:29a0964755d44441|stage4src:80400e1f10004ad1,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:3cf41507d0d3823d,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,funding_net_viability,25,25,verified_comprehensive_support,"Direct funding hard gate passes and tuition, living support, duration, and material net-cost coverage are sufficiently documented.",stage3src:7c33818f24d791f05028,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:d081a684a09f57de,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,eligibility_credential_alignment,10,15,verified_with_material_question,"The route appears formally available, but GPA interpretation, credential equivalency, prerequisites, or direct-entry treatment needs confirmation.",stage3src:7c33818f24d791f05028|stage3src:5876d56f7e0057928bd1|stage3src:bcc19b6f254fd40fb775|stage3src:2a7ac9574b2203b3976e,partial,medium,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify?",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:53e9fc6c9d1f64c7,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:7c33818f24d791f05028|stage3src:5876d56f7e0057928bd1|stage3src:bcc19b6f254fd40fb775|stage3src:2a7ac9574b2203b3976e,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:6ef1155c8da34d08,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,application_economics,3,5,moderate_fee_or_possible_waiver,Fee is at most 100 in the stated currency or a plausible but non-guaranteed waiver path exists.,stage3src:7c33818f24d791f05028|stage3src:5876d56f7e0057928bd1|stage3src:bcc19b6f254fd40fb775|stage3src:2a7ac9574b2203b3976e,partial,medium,Applicable waiver or final Fall 2027 cost is not guaranteed.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:da5e0aa456a9e1ab,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:fb70dd2f96a45a49|stage4src:3f80d0f9af176c3d|stage4src:f22dc4db1f8965d8|stage4src:8efd87e87d2e7938,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:710571d75f264f42,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:fb70dd2f96a45a49|stage4src:3f80d0f9af176c3d|stage4src:f22dc4db1f8965d8|stage4src:8efd87e87d2e7938,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:ab00a68a0d8ae87d,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,funding_net_viability,25,25,verified_comprehensive_support,"Direct funding hard gate passes and tuition, living support, duration, and material net-cost coverage are sufficiently documented.",stage3src:422374bdb0bd4a65186b|stage3src:ace729d53fd55f4d0121,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:aebe49df5bc30a06,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,eligibility_credential_alignment,10,15,verified_with_material_question,"The route appears formally available, but GPA interpretation, credential equivalency, prerequisites, or direct-entry treatment needs confirmation.",stage3src:c04db4e060870a0d3a9a|stage3src:c632238359da7c57f44a|stage3src:422374bdb0bd4a65186b|stage3src:ace729d53fd55f4d0121,partial,medium,What summer support and current 2027-2028 stipend will the individual offer provide?,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:289a64c9957561af,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:c04db4e060870a0d3a9a|stage3src:c632238359da7c57f44a|stage3src:422374bdb0bd4a65186b|stage3src:ace729d53fd55f4d0121,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:8f9873866bc8c297,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,application_economics,3,5,moderate_fee_or_possible_waiver,Fee is at most 100 in the stated currency or a plausible but non-guaranteed waiver path exists.,stage3src:c632238359da7c57f44a|stage3src:422374bdb0bd4a65186b|stage3src:ace729d53fd55f4d0121|stage3src:c04db4e060870a0d3a9a,partial,medium,Applicable waiver or final Fall 2027 cost is not guaranteed.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:9b726df861a94f17,us:ipeds:166629:program:phd:computer-science-phd,us:ipeds:166629,University of Massachusetts-Amherst,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:953030967dd62d30|stage4src:7d3c3f8a0718339a|stage4src:8ce20c7df9a37a6b,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:a076e812383f444e,us:ipeds:166629:program:phd:computer-science-phd,us:ipeds:166629,University of Massachusetts-Amherst,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:953030967dd62d30|stage4src:7d3c3f8a0718339a|stage4src:8ce20c7df9a37a6b,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:91344ba3c86eb87f,us:ipeds:166629:program:phd:computer-science-phd,us:ipeds:166629,University of Massachusetts-Amherst,funding_net_viability,20,25,verified_support_with_cost_gaps,"Direct funding hard gate passes, but fees, health, summer, duration, or net amount retains a material gap.",stage3src:6235f681577d33f7948a,partial,medium,"One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:5b567db722b9e88b,us:ipeds:166629:program:phd:computer-science-phd,us:ipeds:166629,University of Massachusetts-Amherst,eligibility_credential_alignment,15,15,verified_alignment,Formal eligibility is verified and no material credential-equivalency question is recorded.,stage3src:86fe851a80c71bd603da|stage3src:6235f681577d33f7948a,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
