source_id,institution_id,institution_name,program_id,program_or_professor,claim_type,exact_claim_supported,source_title,publisher,publication_date,url,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,access_note
src:623c93ee018acac6,ror:013meh722,University of Cambridge,ror:013meh722:program:phd:phd-in-computer-science,PhD in Computer Science,program status and degree structure,Official page identifies PhD in Computer Science as a doctoral research route; classified as PhD for mechanical screening.,PhD in Computer Science | Department of Computer Science and Technology,University of Cambridge,,https://www.cst.cam.ac.uk/admissions/phd,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
src:08eebda70070ece6,ror:02jx3x895,University College London,ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,Computer Science MPhil/PhD,program status and degree structure,Official page identifies Computer Science MPhil/PhD as a doctoral research route; classified as Integrated or structured doctorate for mechanical screening.,Computer Science MPhil/PhD | Study at UCL,University College London,,https://www.ucl.ac.uk/study/prospective-students/graduate/courses/computer-science-mphilphd,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
src:0a8cc7ffe3124de8,ror:041kmwe10,Imperial College London,ror:041kmwe10:program:phd:phd-in-computing,PhD in Computing,program status and degree structure,Official page identifies PhD in Computing as a doctoral research route; classified as PhD for mechanical screening.,PhD | Faculty of Engineering | Imperial College London,Imperial College London,,https://www.imperial.ac.uk/computing/prospective-students/phd/,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
src:9d492cb7a21bd0d4,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,Direct Doctorate in Computer Science,program status and degree structure,Official page identifies Direct Doctorate in Computer Science as a doctoral research route; classified as Direct-entry PhD for mechanical screening.,Direct Doctorate in Computer Science – Department of Computer Science | ETH Zurich,ETH Zurich,,https://inf.ethz.ch/doctorate/direct-doctorate-computer-science.html,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
src:f4c68ec2c4787867,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,Direct Doctorate in Computer Science,language,English completion supported by official doctorate language policy,Doctoral thesis – Student portal | ETH Zurich,ETH Zurich,,https://ethz.ch/students/en/doctorate/doctoral-thesis-examination.html,official policy or admissions page,official,2026-09-09,,High,opened,HTTP 200; SHA-256 captured in program evidence
src:4b68391fcbd6ef26,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,Doctoral Study Programme in Computer Science,program status and degree structure,Official page identifies Doctoral Study Programme in Computer Science as a doctoral research route; classified as PhD requiring a master's for mechanical screening.,Doctoral Study Programme – Department of Computer Science | ETH Zurich,ETH Zurich,,https://inf.ethz.ch/doctorate/doctoral-study-program.html,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
src:f4c68ec2c4787867,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,Doctoral Study Programme in Computer Science,language,English completion supported by official doctorate language policy,Doctoral thesis – Student portal | ETH Zurich,ETH Zurich,,https://ethz.ch/students/en/doctorate/doctoral-thesis-examination.html,official policy or admissions page,official,2026-09-09,,High,opened,HTTP 200; SHA-256 captured in program evidence
src:fcd66b4f07c5eeed,ror:01jdpyv68,Saarland University,ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Saarbrücken Graduate School of Computer Science,program status and degree structure,Official page identifies Saarbrücken Graduate School of Computer Science as a doctoral research route; classified as Integrated or structured doctorate for mechanical screening.,Code your own future: Studying Computer Science at Saarland University | Universität des Saarlandes,Saarland University,,https://www.uni-saarland.de/en/future/computerscience.html,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
src:fed10149b56b234b,ror:05f950310,KU Leuven,ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,Doctoral Programme in Computer Science,program status and degree structure,Official page identifies Doctoral Programme in Computer Science as a doctoral research route; classified as PhD requiring a master's for mechanical screening.,Application instructions for doctoral programmes — Applications,KU Leuven,,https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
src:24d1a55df163e1e5,ror:020hwjq30,Aalto University,ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Doctoral Programme in Science — Computer Science,program status and degree structure,Official page identifies Doctoral Programme in Science — Computer Science as a doctoral research route; classified as PhD requiring a master's for mechanical screening.,Aalto Doctoral Programme in Science | Aalto University,Aalto University,,https://www.aalto.fi/en/study-options/aalto-doctoral-programme-in-science-0,official program page,official,2026-09-09,Current page at 2026-09-09; Fall 2027 details not assumed,High for existence; preliminary for eligibility/funding,opened,HTTP 200; SHA-256 captured in program evidence
