source_id,institution_id,institution_name,program_id,program_or_professor,claim_type,exact_claim_supported,source_title,publisher,publication_date,url,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,access_note
src:7d3e3a36114d812d,ca:dli:O18760756062,Alberta University of the Arts,,,graduate authority and international-student eligibility,IRCC lists this DLI as a public institution offering PAL/TAL-exempt graduate degree programs at the master's or doctorate level.,Designated learning institutions list,"Immigration, Refugees and Citizenship Canada",2026-09-01,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,federal live directory,official,2026-09-09,Current status; not a Fall 2027 program-admission guarantee,High,opened and parsed,DLI O18760756062; 1 campus rows collapsed; page SHA-256 in manifest
src:7d964f950a482cff,ca:dli:O18760756062,Alberta University of the Arts,,,recognition,CICIC Recognized (Public university),CICIC institution record — Alberta University of the Arts,Canadian Information Centre for International Credentials,,https://www.cicic.ca/873/Alberta_University_of_the_Arts.canada?id=3717,national authoritative directory,official/system authority,2026-09-09,,High,matched,CICIC normalized-name score 1.000
src:fce0f40b98f52ac0,ca:dli:O18760756062,Alberta University of the Arts,,,mechanical exclusion,Official institutional scope is art and design; no computing research graduate degree identified.,Official institutional website / program inventory,Alberta University of the Arts,,https://www.auarts.ca,official institutional website,official,2026-09-09,,Medium,negative mechanical screen; manual audit required,Absence is not treated as conclusive beyond this screening phase.
src:7d3e3a36114d812d,ca:dli:O19092373272,Athabasca University,,,graduate authority and international-student eligibility,IRCC lists this DLI as a public institution offering PAL/TAL-exempt graduate degree programs at the master's or doctorate level.,Designated learning institutions list,"Immigration, Refugees and Citizenship Canada",2026-09-01,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,federal live directory,official,2026-09-09,Current status; not a Fall 2027 program-admission guarantee,High,opened and parsed,DLI O19092373272; 2 campus rows collapsed; page SHA-256 in manifest
src:9c0651203b0aa795,ca:dli:O19092373272,Athabasca University,,,recognition,CICIC Recognized (Public university),CICIC institution record — Athabasca University,Canadian Information Centre for International Credentials,,https://www.cicic.ca/873/Athabasca_University.canada?id=4030,national authoritative directory,official/system authority,2026-09-09,,High,matched,CICIC normalized-name score 1.000
src:7d3e3a36114d812d,ca:dli:O19073475522,Concordia University of Edmonton,,,graduate authority and international-student eligibility,IRCC lists this DLI as a public institution offering PAL/TAL-exempt graduate degree programs at the master's or doctorate level.,Designated learning institutions list,"Immigration, Refugees and Citizenship Canada",2026-09-01,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,federal live directory,official,2026-09-09,Current status; not a Fall 2027 program-admission guarantee,High,opened and parsed,DLI O19073475522; 1 campus rows collapsed; page SHA-256 in manifest
src:a3ba3b47ebabde1e,ca:dli:O19073475522,Concordia University of Edmonton,,,recognition,CICIC Authorized (Non-profit university),"CICIC institution record — Concordia University of Edmonton, Alberta",Canadian Information Centre for International Credentials,,"https://www.cicic.ca/873/Concordia_University_of_Edmonton,_Alberta.canada?id=1481",national authoritative directory,official/system authority,2026-09-09,,High,matched,CICIC normalized-name score 0.889
src:7d3e3a36114d812d,ca:dli:O18713227822,Olds College,,,graduate authority and international-student eligibility,IRCC lists this DLI as a public institution offering PAL/TAL-exempt graduate degree programs at the master's or doctorate level.,Designated learning institutions list,"Immigration, Refugees and Citizenship Canada",2026-09-01,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,federal live directory,official,2026-09-09,Current status; not a Fall 2027 program-admission guarantee,High,opened and parsed,DLI O18713227822; 3 campus rows collapsed; page SHA-256 in manifest
src:7d3e3a36114d812d,ca:dli:O18713227822,Olds College,,,recognition,Exact CICIC directory-name match remains unresolved; no blanket recognition claim made.,CICIC current-directory scope and IRCC DLI record,Canadian Information Centre for International Credentials,,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,national authoritative directory,official/system authority,2026-09-09,,Medium,manual match required,CICIC normalized-name score 0.643
src:7d3e3a36114d812d,ca:dli:O19257171832,University of Alberta,,,graduate authority and international-student eligibility,IRCC lists this DLI as a public institution offering PAL/TAL-exempt graduate degree programs at the master's or doctorate level.,Designated learning institutions list,"Immigration, Refugees and Citizenship Canada",2026-09-01,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,federal live directory,official,2026-09-09,Current status; not a Fall 2027 program-admission guarantee,High,opened and parsed,DLI O19257171832; 2 campus rows collapsed; page SHA-256 in manifest
