schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:0ed5c20939753e7ac6ed,ca:dli:O19359010995:program:thesis-or-research-master-s:m-sc-in-computer-science-thesis-option,ca:dli:O19359010995,Bishop's University,program|research|eligibility|admissions|language,"Current thesis MSc, relevant bachelor's and academic-standing expectations, compulsory pre-application, and willing-supervisor condition.",Graduate Admission - Computer Science Master's Degree Program,Bishop's University,https://www.ubishops.ca/academics/faculties-and-schools/faculty-of-natural-sciences-and-mathematics/computer-science/masters-degree-program/graduate-admission/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:bishops:program,
2.0,stage3src:71f0e31d1c2e694f9043,ca:dli:O19359010995:program:thesis-or-research-master-s:m-sc-in-computer-science-thesis-option,ca:dli:O19359010995,Bishop's University,program|research|eligibility,"Calendar confirmation of thesis-based structure, related undergraduate preparation, high standing, and English-language framework.",Academic Calendar 2025-2026,Bishop's University,https://www.ubishops.ca/wp-content/uploads/BU-AcCal-2025-2026-REV-Jan-23.pdf,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2025-26 calendar checked 2026-09-11,high,official page checked,stage3re13:bishops:calendar,
2.0,stage3src:af797cfd766fcdbd7695,ca:dli:O19359010995:program:thesis-or-research-master-s:m-sc-in-computer-science-thesis-option,ca:dli:O19359010995,Bishop's University,funding|tuition|fees,"Expected five terms and 20-24 month duration, approximate activity fee, limited TA count, competitive aid, and possible supervisor support.",Financial Matters - Computer Science Master's Degree Program,Bishop's University,https://www.ubishops.ca/academics/faculties-and-schools/faculty-of-natural-sciences-and-mathematics/computer-science/masters-degree-program/financial-matters/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:bishops:funding,
2.0,stage3src:1f7883db382450cadbaa,ca:dli:O19359011134:program:thesis-or-research-master-s:ma-trise-en-informatique-profil-avec-m-moire,ca:dli:O19359011134,Université du Québec à Montréal,program|research|eligibility|admissions|language|funding,"Current research profile, GPA thresholds, French requirement, supervisor timing, and program-level research-work and scholarship possibilities.",Maîtrise en informatique,Université du Québec à Montréal,https://info.uqam.ca/ma%C3%AEtrise_en_informatique/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:uqam:program,
2.0,stage3src:2f6b5ccfb1ce04a1896c,ca:dli:O19359011134:program:thesis-or-research-master-s:ma-trise-en-informatique-profil-avec-m-moire,ca:dli:O19359011134,Université du Québec à Montréal,funding|tuition|deadline,"International PBEEE research-master award amount, maximum duration, internal preselection, and current deadline.",Programme de bourses d'excellence pour étudiants étrangers (PBEEE),Université du Québec à Montréal,https://bourses.uqam.ca/pbeee/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026 competition checked 2026-09-11,high,official page checked,stage3re13:uqam:pbeee,
2.0,stage3src:e38b1a1a31040fa7bf84,ca:dli:O19359011134:program:thesis-or-research-master-s:ma-trise-en-informatique-profil-avec-m-moire,ca:dli:O19359011134,Université du Québec à Montréal,funding|tuition|fees,Faculty graduate funding inventory and competitive international differential-tuition exemptions assessed around admission.,Bourses pour les cycles supérieurs,UQAM Faculté des sciences,https://sciences.uqam.ca/soutien-financier/bourses-pour-les-cycles-superieurs/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:uqam:science-funding,
2.0,stage3src:30814162676bcc6f02e1,ca:dli:O19391556532:program:thesis-or-research-master-s:ma-trise-s-sciences-informatique,ca:dli:O19391556532,Université de Moncton,program|research|eligibility|admissions|language,"Current two-year MSc, 45-credit and 33-credit-thesis structure, bachelor's preparation, functional English, and supervisor timing.",Maîtrise ès sciences (informatique),Université de Moncton Faculté des études supérieures et de la recherche,https://www.umcs.umoncton.ca/fesr/programmes?programme_id=222&programme_select=222,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Program record updated 2026-08-05; checked 2026-09-11,high,official page checked,stage3re13:moncton:program,
2.0,stage3src:cba52c12838a711722a1,ca:dli:O19391556532:program:thesis-or-research-master-s:ma-trise-s-sciences-informatique,ca:dli:O19391556532,Université de Moncton,tuition|fees|funding,Official location of current financial conditions and enrollment charges; Fall 2027 amounts are not yet established.,Conditions financières,Université de Moncton,https://www.umoncton.ca/repertoire/conditions-financieres,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:moncton:costs,
2.0,stage3src:dba1fae46224e4560ca1,ca:dli:O19391556532:program:thesis-or-research-master-s:ma-trise-s-sciences-informatique,ca:dli:O19391556532,Université de Moncton,program|research|admissions|funding,"Research and thesis expectations, supervisor role, and competitive scholarship or supervisor-project funding mechanisms.",Guide pratique de la maîtrise ès sciences (informatique),Université de Moncton Département d'informatique,https://www.umoncton.ca/umcm-sciences-informatique/sites/umcm-sciences-informatique.prod.umoncton.ca/files/wf/mscinf_infopratique092024.pdf,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,September 2024 guide checked 2026-09-11,high,official page checked,stage3re13:moncton:guide,
2.0,stage3src:6d271c80d7804de62105,ror:029pk6x14:program:thesis-or-research-master-s:master-s-degree-programme-in-information-technology-computer-science,ror:029pk6x14,Åbo Akademi University,funding|tuition|fees,"Current EUR 12,000 annual tuition, EUR 4,000 annual tuition reduction, remaining tuition, progress conditions, and absence of living support.",Scholarship Programme for Master's Students,Åbo Akademi University,https://www.abo.fi/en/study/apply/international-master-programmes/scholarship-programme-for-master-students/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026 entrant terms checked 2026-09-11,high,official page checked,stage3re13:abo:funding,
2.0,stage3src:a01d8a9aa5424e301422,ror:029pk6x14:program:thesis-or-research-master-s:master-s-degree-programme-in-information-technology-computer-science,ror:029pk6x14,Åbo Akademi University,program|research|eligibility|language,"Current English 120-ECTS Information Technology master's, Computer Science route, subject focus, and thesis.",Master's Degree Programme in Information Technology,Åbo Akademi University,https://www.abo.fi/en/study-programme/masters-degree-programme-in-information-technology/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:abo:program,
2.0,stage3src:b2041e5dea5f4d947696,ror:029pk6x14:program:thesis-or-research-master-s:master-s-degree-programme-in-information-technology-computer-science,ror:029pk6x14,Åbo Akademi University,eligibility|admissions|deadline|fees,"Relevant bachelor's and prerequisite areas, competitive selection, official Fall 2027 application dates, non-EU/EEA fee framework, and one-study-place rule.",Admission to Master's Degree Programme in Information Technology,Åbo Akademi University,https://www.abo.fi/en/study/apply/international-master-programmes/academic-requirements/admission-to-masters-degree-programme-in-information-technology/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2027 intake framework checked 2026-09-11,high,official page checked,stage3re13:abo:admissions,
2.0,stage3src:0b2158e6dbdb509914a6,ror:033003e23:program:thesis-or-research-master-s:master-s-programme-in-ai-native-software,ror:033003e23,Tampere University,funding|tuition|fees,"EUR 12,000 current annual tuition, limited 50% tuition scholarship, early-bird reduction, and exclusion of living costs.",Tuition Fees and Scholarships,Tampere University,https://www.tuni.fi/en/tau/financial-matters/tuition-fees-and-scholarships,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026 terms checked 2026-09-11,high,official page checked,stage3re13:tampere:funding,
2.0,stage3src:602e8f642c9591984163,ror:033003e23:program:thesis-or-research-master-s:master-s-programme-in-ai-native-software,ror:033003e23,Tampere University,admissions|deadline|fees,"Official Fall 2027 application and attachment dates, two-programme limit, and completion-document timing framework.",Applying to Tampere University Master's Programmes,Tampere University,https://www.tuni.fi/en/tau/masters-programmes/applying,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2027 intake dates checked 2026-09-11,high,official page checked,stage3re13:tampere:admissions,
2.0,stage3src:7d5551e4afcddf39e920,ror:033003e23:program:thesis-or-research-master-s:master-s-programme-in-ai-native-software,ror:033003e23,Tampere University,program|research|eligibility|language|tuition,"Current English 120-ECTS two-year AI-Native Software master's, thesis component, current tuition, and pending 2027 criteria.",Master's Programme in AI-Native Software,Tampere University,https://www.tuni.fi/en/tau/masters-programmes/ai-native-software-computing-sciences-and-electrical-engineering,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:tampere:program,
2.0,stage3src:f8be2164e1ccb4fb0386,ror:058kzsd48:program:thesis-or-research-master-s:m-sc-computer-science,ror:058kzsd48,Paderborn University,eligibility|admissions|language|deadline,"Detailed credit buckets, German-grade threshold, GRE or dMat framework, English minima, and international deadlines.",Information for International Students,Paderborn University Department of Computer Science,https://cs.uni-paderborn.de/en/studies/getting-started/information-for-international-students,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:paderborn:admissions,
