University,Program,Decision Category,Research Degree Claim,Funding Claim,Academic Eligibility Claim,International Eligibility Claim,Program Fit Claim,Source URL,Source Type,Information Cycle,Access Date,Verification Status,Uncertainty,Official Program URL,Official Funding URL,Admissions URL,Fit URL
Lehigh University,PhD in Computer Science,Recommended,"Doctoral coursework, qualifying examination, and dissertation research",All Rossin College PhD students are fully funded through an assistantship or fellowship that generally includes tuition and a stipend.,Bachelor's degree in computer science or a related field is accepted Minimum: 2.75/4.0 required; 3.5/4.0 major GPA preferred,"Yes, with English proficiency and immigration requirements","Strong Evidex overlap through explicit evaluation of safety, privacy, and security in generative AI and LLM systems; the work also supports security-oriented evaluation of AI-assisted infrastructure tooling.",https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,Official university/department page,Fall 2027 financial-aid deadline,2026-09-11,Claim text manually compared with current official source,"Offer-level summer, insurance, mandatory-fee, and duration terms remain to be checked after admission.",https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,https://engineering.lehigh.edu/faculty/lichao-sun
Old Dominion University,Computer Science (Ph.D.),Recommended,"Research doctorate requiring advanced study, candidacy milestones, dissertation research, and defense","Newly admitted PhD students are guaranteed an RA, TA, or combined appointment; the page states a first-year $20,000 stipend and full tuition waiver, with summer RA funding expected.",Yes — applicants may enter with a bachelor's or master's degree in Computer Science or a related field Minimum: No separate numeric department floor was verified on the current PhD admission page,"Yes, with published international deadlines and English requirements","Strong TerraProbe overlap through LLM-powered UI exploration, hybrid analysis of application transition graphs, and Internet-scale security measurement; Evidex overlaps through empirical detection evidence, security evaluation, and privacy testing of LLMs.",https://www.odu.edu/academics/programs/doctoral/computer-science,Official university/department page,Recurring international fall deadline; Fall 2027 label not yet explicit,2026-09-11,Claim text manually compared with current official source,"Confirm the written renewal, fee, insurance, and summer terms if admitted.",https://www.odu.edu/academics/programs/doctoral/computer-science,https://www.odu.edu/academics/programs/doctoral/computer-science,https://www.odu.edu/computer-science/academics/graduate/phd/admissions,https://www.odu.edu/directory/shuai-hao
Temple University,Computer and Information Science PhD,Recommended,"Research doctorate requiring advanced coursework, preliminary and candidacy milestones, original dissertation research, and defense","Admitted PhD students receive an RA or TA with tuition and stipend, and the department says it typically admits only when funding is available.",Yes — a master's is not required; applicants need sufficient Computer Science preparation Minimum: 3.0 general graduate minimum; 3.25 is published for assistantship consideration and continuation,"Yes, subject to degree equivalency, English evidence, and international documentation","Strong Evidex overlap through empirical evaluation of LLM-generated code explanations, logic-error detection, and responsible AI-supported programming; TerraProbe overlaps through tool-building and experiments around LLM-assisted software creation.",https://cis.temple.edu/academics/graduate/phd_faq/,Official university/department page,"Current recurring Fall deadline; 2027 applications open July 15, 2026",2026-09-11,Claim text manually compared with current official source,"Confirm multi-year, summer, health, and residual-fee terms in the offer.",https://bulletin.temple.edu/graduate/scd/cst/computer-information-science-phd/,https://cis.temple.edu/academics/graduate/phd_faq/,https://www.temple.edu/academics/degree-programs/computer-information-science-phd-st-cis-phd/admissions,https://cis.temple.edu/people/faculty/?s=cs
The University of Texas at San Antonio,Ph.D. in Computer Science,Recommended,Research doctorate with advanced computer-science study and dissertation research,"The program states that full-time admitted Computer Science PhD students receive GTA or GRA support with stipend, tuition and fee coverage, and insurance.",Yes — a bachelor's degree or foreign equivalent is accepted Minimum: No higher CS-specific numeric minimum captured on the program page,Yes — foreign-equivalent credentials are explicitly accepted,"Strong TerraProbe overlap through build-failure diagnosis, cross-environment inconsistency detection, program analysis, bug localization, and software-security validation.",https://future.utsa.edu/programs/doctoral/computer-science/,Official university/department page,Fall 2027,2026-09-11,Claim text manually compared with current official source,Verify renewal duration and summer support in the written offer.,https://future.utsa.edu/programs/doctoral/computer-science/,https://future.utsa.edu/programs/doctoral/computer-science/,https://future.utsa.edu/graduate/admissions/,https://sciences.utsa.edu/faculty/profiles/wang-xiaoyin.html
Baylor University,Doctor of Philosophy in Computer Science,Recommended,"Research doctorate with graduate coursework, qualifying milestones, original dissertation research, and a defended dissertation","Current official material says nearly all incoming PhD students receive full tuition remission, health coverage, and a multi-year research or teaching assistantship.",Yes — the program explicitly accepts a bachelor's degree in computer science or a closely related field Minimum: No program-specific numeric minimum was published on the official Computer Science pages checked,Yes — the application requirements publish an international English-proficiency route,"Strong TerraProbe and Evidex overlap through fuzzing, compiler and binary analysis, protocol testing, and evidence-driven assessment of software correctness and robustness.",https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/phd-cs,Official university/department page,Recurring Fall financial-aid deadline; cycle year not separately labeled,2026-09-11,Claim text manually compared with current official source,"Confirm the exact duration, summer, and mandatory-fee terms in any offer.",https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/phd-cs,https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/phd-cs,https://www.ecs.baylor.edu/departments/computer-science/graduate-application-requirements,https://www.ecs.baylor.edu/person/mengfei-ren-phd
New Jersey Institute of Technology,Ph.D. Computer Science,Recommended,"Research-oriented qualifying examination, dissertation committee and proposal, sustained original research, and defense","Nearly all enrolled Computer Science PhD students are fully supported as RAs or TAs, but the department explicitly says support is competitive and not every admitted student receives it.",Yes — a relevant accredited bachelor's degree is a published entry route Minimum: No separate numeric program floor was published on the pages checked,"Yes, subject to credential and English requirements","Exceptionally strong TerraProbe overlap through practical program verification, static analysis, specification inference, testing, and repair of software-resource bugs; Evidex overlaps through checkable evidence for correctness and security claims.",https://cs.njit.edu/admission-requirements-and-financial-support-phd-computer-science-program,Official university/department page,Recurring Fall funding-consideration deadline,2026-09-11,Claim text manually compared with current official source,Apply only on the understanding that an unfunded offer will be declined.,https://www.njit.edu/academics/degree/phd-computer-science,https://cs.njit.edu/admission-requirements-and-financial-support-phd-computer-science-program,https://www.njit.edu/academics/degree/phd-computer-science,https://people.njit.edu/profile/mjk76
Virginia Polytechnic Institute and State University,Computer Science PhD,Recommended,Yes — original dissertation and defense required,"Beginning with Fall 2026, every admitted PhD student receives a five-year offer covering fall and spring; summers are excluded and some fees remain the student's responsibility.",Yes — the program describes a five-year path from the bachelor's degree Minimum: 3.0/4.0,Yes — international English and application rules are published,"Near-direct fit to build/configuration repair, LLM-assisted maintenance, and rigorous evaluation.",https://students.cs.vt.edu/Graduate/Funding.html,Official university/department page,Fall 2027,2026-09-11,Claim text manually compared with current official source,"Plan for summer RA, internship, or savings rather than assuming summer coverage.",https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,https://students.cs.vt.edu/Graduate/Funding.html,https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,https://website.cs.vt.edu/people/faculty/na-ming.html
University of Rochester,PhD Program in Computer Science,Recommended,Doctoral coursework and original computer-science research culminating in a dissertation,"PhD students in good academic standing receive tuition, health insurance, and a stipend; the typical completion time is four to six years.",Yes — applicants may enter with a bachelor's or master's degree Minimum: No numeric CS PhD minimum published on the reviewed pages,Yes — international applicants and English requirements are addressed,"Strong TerraProbe and Evidex overlap through compiler-enforced security, program transformation, memory-safety validation, and evidence-backed analysis of low-level software behavior.",https://www.cs.rochester.edu/graduate/phd-program.html,Official university/department page,Fall 2027 PhD deadline,2026-09-11,Claim text manually compared with current official source,Confirm maximum duration and summer treatment in the offer.,https://www.cs.rochester.edu/graduate/phd-program.html,https://www.cs.rochester.edu/graduate/phd-program.html,https://www.cs.rochester.edu/graduate/how-to-apply.html,https://cs.rochester.edu/people/faculty/criswell_john/index.html
Drexel University,PhD in Computer Science,Recommended,"Course qualifying, candidacy exam, thesis proposal, original dissertation, and thesis defense","The doctoral admissions page states that all Computer Science and Information Science PhD students are fully supported with an RA, TA, or combined assistantship carrying tuition remission and a stipend.","Yes; 90 credits are required without a prior related master's, compared with 45 post-master's credits Minimum: No numeric doctoral minimum published on the official SCIS pages checked","Yes, subject to transcript and English requirements","Strong TerraProbe overlap through formal analysis of software architecture, architectural degradation, and current work on improving LLM-assisted code generation with architectural documents and implementation plans.",https://drexel.edu/cci/admissions/doctoral/,Official university/department page,Latest published doctoral cycle; Fall 2027 label not explicit,2026-09-11,Claim text manually compared with current official source,Confirm package duration and residual costs in the offer.,https://drexel.edu/cci/academics/doctoral-programs/phd-computer-science/,https://drexel.edu/cci/admissions/doctoral/,https://drexel.edu/cci/admissions/doctoral/,https://drexel.edu/cci/about/directory/C/Cai-Yuanfang/
University of Arizona,Computer Science PhD,Recommended,Research doctoral program culminating in a dissertation,The current prospective-student page says doctoral students making satisfactory progress receive multi-year assistantship funding with tuition waivers and health insurance; another department page describes only the first year as guaranteed.,Yes — Graduate College degree admission requires a completed U.S. bachelor's or comparable international degree; no master's prerequisite is published for this PhD Minimum: 3.00 cumulative Graduate College minimum,Yes — international applicant route and degree-country requirements are published,"Strong overlap with Evidex's evidence discipline and TerraProbe's repair validation through abstract interpretation, program analysis, verification, and reasoning about transformation correctness.",https://cs.arizona.edu/graduate/prospective-students,Official university/department page,Recurring Fall deadline; cycle year not separately labeled,2026-09-11,Claim text manually compared with current official source,Require the written offer to state duration before accepting.,https://cs.arizona.edu/graduate/prospective-students,https://cs.arizona.edu/graduate/prospective-students,https://cs.arizona.edu/graduate/prospective-students,https://www2.cs.arizona.edu/people/giacobazzi/
