schema_version,program_id,institution_id,institution_name,country,region,regional_admissions_model,program_name,degree_type,relevant_degree_route,discovery_paths,research_topic_clusters,exact_research_fit_signal,preliminary_international_eligibility,preliminary_funding_signal,official_program_url,official_institution_url,evidence_confidence,affiliation_normalization_status,seed_adjacency,funnel_status,proposed_next_action,exclusion_reason,unresolved_fields,source_record_paths,source_ids,reentry_id
2.0,us:ipeds:139658:program:phd:phd-in-computer-science-and-informatics,us:ipeds:139658,Emory University,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science and Informatics,PhD,"Research doctorate with rotations, qualifying examination, original faculty-advised research, thesis proposal, and defense",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,systems_security|ai_for_se|distributed_systems,"The program explicitly includes large-scale data systems, information retrieval, privacy and security, machine learning, natural-language processing, HCI, and high-performance computing.","The program accepts doctoral applications through the Laney Graduate School; degree equivalency, English evidence, prerequisites, and the Fall 2027 cycle require Stage 3 review.","The current applicant page states that admitted CSI PhD students receive full tuition and a competitive stipend, with possible additional summer support and teaching assistantships; duration, fees, benefits, and Fall 2027 terms remain unverified.",https://computerscience.emory.edu/graduate-phd/index.html,https://www.emory.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree and prerequisite equivalency|English evidence|support duration and renewal|fees and benefits|current supervisor capacity,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:emory-csi:program|reentry09:emory-csi:admissions-funding,stage_02_reentry_09
2.0,us:ipeds:147767:program:phd:phd-in-computer-science,us:ipeds:147767,Northwestern University,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Full-time computer science research doctorate organized around faculty mentorship, original research, milestones, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|current_faculty_topic_signal,software_quality|distributed_systems|ai_for_se,"The department's doctoral route spans systems and networking, software engineering, programming languages, security and privacy, machine learning, and human-computer interaction.","International applicants can apply to the full-time PhD, but degree equivalency, preparation, English evidence, and Fall 2027 requirements remain for Stage 3.","The department currently describes guaranteed support through the fifth year using first-year fellowship, research assistantship, teaching assistantship, or external support; good-standing, summer, fee, and renewal details require verification.",https://www.mccormick.northwestern.edu/computer-science/academics/graduate/phd/,https://www.northwestern.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|academic preparation and English evidence|five-year guarantee conditions|summer and fee coverage|advisor matching|current supervisor capacity,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:northwestern-cs:program|reentry09:northwestern-cs:funding,stage_02_reentry_09
2.0,us:ipeds:215293:program:phd:phd-in-computer-science,us:ipeds:215293,University of Pittsburgh-Pittsburgh Campus,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Computer science research doctorate with advanced coursework, research milestones, faculty supervision, and dissertation",official_program_or_department_signal|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems,"The department supports research across software systems, security, distributed and networked systems, data, artificial intelligence, and related computer-science areas.","The School of Computing and Information accepts international graduate applicants, but degree preparation, English evidence, program prerequisites, and Fall 2027 terms require Stage 3 review.","Official department and catalog material states that sponsored research supports many graduate students and that PhD admits receive support typically for the first two years, with later support usually advisor-based; this is not a universal full-duration guarantee.",https://intranet.cs.pitt.edu/grad/,https://www.pitt.edu,medium,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree preparation and English evidence|first-two-year support terms|later advisor funding|fees and insurance|current supervisor capacity,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:pitt-cs:graduate|reentry09:pitt-cs:admissions,stage_02_reentry_09
2.0,us:ipeds:165015:program:phd:computer-science-phd,us:ipeds:165015,Brandeis University,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,"Research doctorate requiring close faculty advising, original computer-science research, and dissertation work",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|current_faculty_topic_signal,ai_for_se|software_quality|formal_verification,"The doctoral handbook establishes individualized faculty-advised research, with departmental strengths that include artificial intelligence, language and information, and foundational computer science.","The university lists an in-person Computer Science PhD and considers international students for doctoral aid; degree equivalency, prerequisites, English evidence, and Fall 2027 terms remain unresolved.","Brandeis states that most doctoral students are funded for five years with fellowship, full tuition, and health-insurance benefits, while the CS handbook describes named fellowships and advisor matching; program-specific package and continuation conditions require verification.",https://www.brandeis.edu/computer-science/_pdfs/computer-science-phd-handbook.pdf,https://www.brandeis.edu,medium,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree and prerequisite equivalency|English evidence|program-specific five-year package|advisor consent and continuation|fees and net cost,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:brandeis-cs:handbook|reentry09:brandeis-cs:funding,stage_02_reentry_09
2.0,us:ipeds:171100:program:phd:computer-science-phd,us:ipeds:171100,Michigan State University,United States,us,US program or committee admission; faculty role requires program-specific verification,Computer Science PhD,PhD,"Doctoral route in computer science and engineering with advanced study, independent research, and dissertation",official_program_or_department_signal|lab_or_center_signal|recognized_institution_record,software_quality|formal_verification|distributed_systems,"The program names component-based software engineering, formal methods, high-assurance software, model-based development, adaptive middleware, distributed systems, security, and machine learning.","International applicants may apply and must document English proficiency unless waived; background courses, degree equivalency, and the Fall 2027 cycle require transcript-level review.","Outstanding applicants are automatically considered for teaching and research assistantships and fellowships, and offers with support are issued separately; no universal award is published.",https://engineering.msu.edu/academics/majors-degrees/computer-science-phd,https://www.msu.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|background-course mapping|English waiver or evidence|assistantship selection|tuition, fees, and insurance|current supervisor capacity",data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:msu-cs:program|reentry09:msu-cs:research,stage_02_reentry_09
2.0,us:ipeds:196413:program:phd:doctor-of-philosophy-in-computer-information-science-and-engineering,us:ipeds:196413,Syracuse University,United States,us,US program or committee admission; faculty role requires program-specific verification,Doctor of Philosophy in Computer/Information Science and Engineering,PhD,Research doctorate in computer and information science and engineering requiring advanced study and original dissertation research,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,distributed_systems|systems_security|ai_for_se,"The program is research-oriented and sits within a department covering software, systems, cybersecurity, artificial intelligence, data, networking, and next-generation computing.","International applicants may use the doctoral application route, but degree preparation, English evidence, faculty alignment, and Fall 2027 deadlines require Stage 3 verification.","The program flags an early deadline for fellowship consideration and the Graduate School describes fellowships and graduate, teaching, or research assistantships as department-controlled possibilities; no universal package was found.",https://ecs.syracuse.edu/academics/electrical-engineering-and-computer-science/programs/computer-information-science-engineering-doctoral-program,https://www.syracuse.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree and prerequisite equivalency|English evidence|fellowship or assistantship selection|tuition and fee coverage|current supervisor capacity,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:syracuse-cise:program|reentry09:syracuse-cise:funding,stage_02_reentry_09
2.0,us:ipeds:162928:program:phd:phd-in-computer-science,us:ipeds:162928,Johns Hopkins University,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Full-time computer science doctorate centered on faculty matching, independent research, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|current_faculty_topic_signal,systems_security|distributed_systems|ai_for_se,"The department publishes research areas in systems and networking, information security, programming languages, natural-language processing, machine learning, data science, and HCI.","The department accepts Fall-only PhD applications; degree preparation, English evidence, document equivalency, and the Fall 2027 cycle remain for Stage 3.","The department states that all students receive support including an annual stipend through fellowships or assistantships, while Whiting says most full-time PhD programs fund at least five years; exact duration, standing, and package terms require reconciliation.",https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/,https://www.jhu.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree preparation and English evidence|support duration|good-standing and advisor conditions|fees and insurance|current supervisor capacity,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:jhu-cs:program|reentry09:jhu-cs:funding,stage_02_reentry_09
2.0,ca:dli:O19391556899:program:thesis-or-research-master-s:master-of-science-in-computer-science,ca:dli:O19391556899,St. Francis Xavier University,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,Master of Science in Computer Science,Thesis or research master's,"Thesis-based computer science master's requiring a supervisor, graduate coursework, original research, and thesis defense",official_program_or_department_signal|lab_or_center_signal|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|ai_for_se,"The department supports thesis research across software engineering, data and artificial intelligence, security, networks, systems, and related computing areas.","Applicants need relevant preparation and must identify a willing supervisor; international degree equivalency, English evidence, supervisor acceptance, and the Fall 2027 cycle require Stage 3 review.","The program says most accepted MSc students receive a package covering tuition and some living expenses, but the amount, international applicability, duration, fees, and remaining shortfall are not established.",https://www.stfx.ca/programs-courses/programs/master-science-computer-science,https://www.stfx.ca,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle|degree and course equivalency|English evidence|willing supervisor|international funding package|fees and living-cost shortfall,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:stfx-cs:program|reentry09:stfx-cs:department,stage_02_reentry_09
2.0,ror:026vcq606:program:thesis-or-research-master-s:msc-computer-science,ror:026vcq606,KTH Royal Institute of Technology,Sweden,europe,"European program, supervisor, studentship, or employed-position model; verify by country",MSc Computer Science,Thesis or research master's,"English two-year 120-ECTS computer science master's with research methodology, research-connected specializations, and a master's degree project",official_program_or_department_signal|underrepresented_route_search|research_masters_or_scholarship_search|recognized_institution_record,software_quality|formal_verification|systems_security,"The Software Technology specialization covers software engineering, automated testing, compilers, programming languages, and reliable and secure large-scale software; the theoretical track includes formal methods.",A recognized bachelor's plus specified mathematics and computer-science credits and English proficiency are required; exact transcript mapping and selection remain for Stage 3.,The competitive KTH Scholarship can cover full tuition for fee-paying master's students but excludes living costs; the published 2025 award rate was eight percent of scholarship applicants.,https://www.kth.se/en/studies/master/computer-science,https://www.kth.se,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,transcript-to-ECTS prerequisite mapping|English evidence|2027 selection|scholarship rank and award|tuition liability|living-cost funding,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:kth-cs:program|reentry09:kth-cs:admission|reentry09:kth-cs:scholarship,stage_02_reentry_09
2.0,ror:040af2s02:program:thesis-or-research-master-s:master-s-programme-in-computer-science,ror:040af2s02,University of Helsinki,Finland,europe,"European program, supervisor, studentship, or employed-position model; verify by country",Master's Programme in Computer Science,Thesis or research master's,"English two-year 120-ECTS computer science master's with advanced study, research-group contact, and master's thesis",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record,software_quality|distributed_systems|ai_for_se,"The program covers software, algorithms, networking, distributed systems, data, and artificial intelligence and is embedded in an active research department.","Applicants need an applicable bachelor's degree and sufficient relevant studies; degree and course equivalency, English proof, and the 2027 application call require Stage 3 review.",The university offers a very limited number of 50- or 100-percent tuition waivers to fee-liable students; most awards are 50 percent and students must fund living costs independently.,https://www.helsinki.fi/en/degree-programmes/computer-science-masters-programme,https://www.helsinki.fi/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,2027 application call|degree and subject equivalency|English evidence|tuition-waiver selection|remaining tuition|living-cost funding,data/processed/pass2/stage_02_reentry_09_candidates.csv|data/processed/pass2/stage_02_reentry_09_sources.csv,reentry09:helsinki-cs:program|reentry09:helsinki-cs:scholarship,stage_02_reentry_09
