program_id,institution_id,institution_name,country,program_name,degree_type,department,official_program_url,thesis_dissertation_requirement,research_credit_requirement,research_groups_labs,direct_from_bachelors_eligible,international_student_eligible,language_of_instruction,current_program_status,preliminary_fit,screening_decision,exclusion_reason,minimum_gpa,minimum_gpa_policy,prerequisite_coursework,gre_policy,english_requirement_waiver,fall_2027_deadline,deadline_cycle_status,application_fee,fee_currency,fee_waiver_rules,multiple_applications_allowed,separate_fees_required,admissions_model,faculty_contact_expectation,funding_model,funding_status,stipend_amount,stipend_currency,funding_duration_years,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_funding,funding_conditions,supervisor_dependent_funding,phd_funding,masters_funding,scholarships_fellowships,professor_fit_score,faculty_depth_score,research_fit_score,funding_score,eligibility_score,degree_admissions_score,application_economics_score,overall_score,admission_plausibility,recommendation,biggest_risk,unresolved_question,single_professor_dependency,verification_status,notes
ca:dli:O18886830282:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O18886830282,University of Calgary,Canada,MSc in Computer Science (thesis),Thesis or research master's,Department of Computer Science,https://science.ucalgary.ca/computer-science/future-students/graduate/thesis-programs,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O18776949622:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O18776949622,University of Lethbridge,Canada,MSc in Computer Science,Thesis or research master's,Department of Mathematics and Computer Science,https://www.ulethbridge.ca/future-student/graduate-studies/master-science/computer-science,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19330231062:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19330231062,University of British Columbia,Canada,MSc in Computer Science,Thesis or research master's,Department of Computer Science,https://www.cs.ubc.ca/students/grad/admissions,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19280533442:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19280533442,University of Victoria,Canada,MSc in Computer Science,Thesis or research master's,Department of Computer Science,https://www.uvic.ca/ecs/computerscience/programs/msc/index.php,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19091528512:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19091528512,University of Manitoba,Canada,MSc in Computer Science,Thesis or research master's,Department of Computer Science,https://umanitoba.ca/graduate-studies/admissions/programs-of-study/computer-science-msc,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19348802512:program:thesis-or-research-master-s:mcs-in-computer-science-thesis,ca:dli:O19348802512,University of New Brunswick,Canada,MCS in Computer Science (thesis),Thesis or research master's,Faculty of Computer Science,https://www.unb.ca/gradstudies/programs/computer-science.html,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19440995346:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O19440995346,Memorial University of Newfoundland,Canada,MSc in Computer Science (thesis),Thesis or research master's,Department of Computer Science,https://www.mun.ca/become/graduate/programs-and-courses/computer-science/,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19391556792:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O19391556792,Acadia University,Canada,MSc in Computer Science (thesis),Thesis or research master's,Jodrey School of Computer Science,https://www2.acadiau.ca/academics/graduate/computer-science.html,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19209939282:program:thesis-or-research-master-s:phd-in-computer-science,ca:dli:O19209939282,Dalhousie University,Canada,PhD in Computer Science,PhD,Faculty of Computer Science,https://www.dal.ca/study/programs/graduate-professional/computer-science-phd.html,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,No determination — master's expectation must be checked in the deep-review phase,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19394569014:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19394569014,Brock University,Canada,MSc in Computer Science,Thesis or research master's,Department of Computer Science,https://brocku.ca/programs/graduate/msc-cosc/,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
