institution_id,institution_name,country,program_id,program_name,stage_of_exclusion,primary_exclusion_reason,supporting_evidence,source_url,confidence,manual_verification,date_checked
ror:013meh722,University of Cambridge,United Kingdom,ror:013meh722:program:phd:phd-in-computer-science,PhD in Computer Science,deep review downgrade/hold,Very high selectivity and no verified award,Not confirmed for applicant; reversible question: Which 2027 studentship covers full overseas fees plus stipend?,https://www.cst.cam.ac.uk/admissions/phd,medium,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:02jx3x895,University College London,United Kingdom,ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,Computer Science MPhil/PhD,deep review downgrade/hold,Published 2027 tuition and a full award are both absent,Not confirmed for applicant; reversible question: Is there an overseas-fee-covering studentship tied to software engineering/LLM reliability?,https://www.ucl.ac.uk/study/prospective-students/graduate/courses/computer-science-mphilphd,medium,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:041kmwe10,Imperial College London,United Kingdom,ror:041kmwe10:program:phd:phd-in-computing,PhD in Computing,deep review downgrade/hold,Funding is competitive rather than guaranteed,"Program-level availability stated, applicant award not confirmed; reversible question: Which 2027 studentship/research group would nominate this applicant?",https://www.imperial.ac.uk/computing/prospective-students/phd/,medium,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:05a28rw58,ETH Zurich,Switzerland,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,Direct Doctorate in Computer Science,deep review downgrade/hold,Exceptional-entry threshold and no individual offer,No Fall 2027 offer confirmed; reversible question: Will the direct-doctorate admission include an employment contract covering the whole route?,https://inf.ethz.ch/doctorate/direct-doctorate-computer-science.html,medium,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:05a28rw58,ETH Zurich,Switzerland,ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,Doctoral Study Programme in Computer Science,deep exclusion,Master's requirement is not met for Fall 2027,No Fall 2027 position and applicant lacks required master's; reversible question: Revisit after a qualifying research master's,https://inf.ethz.ch/doctorate.html,high,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:01jdpyv68,Saarland University,Germany,ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Saarbrücken Graduate School of Computer Science,deep review downgrade/hold,EUR 800/month alone is not a credible full-cost package,"Insufficiently precise for full international cost coverage; reversible question: What additional stipend, insurance, and fee coverage is guaranteed for 2027?",https://www.uni-saarland.de/en/future/computerscience.html,medium,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:05f950310,KU Leuven,Belgium,ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,Doctoral Programme in Computer Science,deep exclusion,Master's required and no funded vacancy identified,No position; applicant lacks master's; reversible question: Revisit funded vacancies after master's completion,https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,high,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:020hwjq30,Aalto University,Finland,ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Aalto Doctoral Programme in Science — Computer Science,deep exclusion,Admission does not fund the degree and master's is required,No Fall 2027 funding and applicant lacks master's; reversible question: Revisit salaried doctoral vacancies after master's,https://www.aalto.fi/en/study-options/aalto-doctoral-programme-in-science,high,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:040af2s02,University of Helsinki,Finland,ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Doctoral Programme in Science — Computer Science,deep exclusion,Master's required and study right is unfunded,No Fall 2027 salary and applicant lacks master's; reversible question: Revisit salaried calls after master's,https://www.helsinki.fi/en/admissions-and-education/apply-doctoral-programmes,high,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
ror:026vcq606,KTH Royal Institute of Technology,Sweden,ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,Doctoral Programme in Computer Science,deep review downgrade/hold,No qualifying master's and no 2027 vacancy,No Fall 2027 vacancy and applicant lacks second-cycle qualification; reversible question: Monitor only after satisfying second-cycle eligibility,https://www.kth.se/en/studies/phd,medium,yes; official page reviewed and cycle uncertainty preserved,2026-09-09
