institution_id,institution_name,country,program_id,program_name,stage_of_exclusion,primary_exclusion_reason,supporting_evidence,source_url,confidence,manual_verification,date_checked
ca:dli:O18760756062,Alberta University of the Arts,Canada,,,mechanical program screening,Official institutional scope is art and design; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.auarts.ca,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19361259712,Emily Carr University of Art and Design,Canada,,,mechanical program screening,Official institutional scope is art and design; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.cicic.ca/873/Emily_Carr_University_of_Art_and_Design.canada?id=1465,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19391556837,Atlantic School of Theology,Canada,,,mechanical program screening,Official institutional scope is theology; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,http://www.astheology.ns.ca/home/welcome.html,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19994256968,Canadian Forces College,Canada,,,mechanical program screening,Official institutional scope is professional military education; no open computing research graduate route identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,http://www.cfc.forces.gc.ca/221-eng.html,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19332928222,OCAD University,Canada,,,mechanical program screening,Official institutional scope is art and design; no computing research graduate degree identified in the mechanical title screen.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,http://nscad.ca/en/home/default.aspx,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19395677373,The Michener Institute for Applied Health Sciences,Canada,,,mechanical program screening,Official institutional scope is applied health sciences; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,http://michener.ca/,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19395677925,Université de Hearst,Canada,,,mechanical program screening,No computing research graduate degree identified in the institution's official program inventory.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,http://www.uhearst.ca/english,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O293775204142,Conservatoire d'art dramatique de Québec,Canada,,,mechanical program screening,Official institutional scope is dramatic arts; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,http://www.conservatoire.gouv.qc.ca/,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19359010871,Conservatoire de musique de Gatineau,Canada,,,mechanical program screening,Official institutional scope is music; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/prepare/designated-learning-institutions-list.html,Medium,Required before treating this negative screen as final,2026-09-09
ca:dli:O19359010884,Conservatoire de musique de Montréal,Canada,,,mechanical program screening,Official institutional scope is music; no computing research graduate degree identified.,Institutional specialty and official web/catalog title screen produced no relevant research graduate degree; negative finding remains marked for manual verification.,https://www.cicic.ca/873/Conservatoire_d_art_dramatique_de_Montreal.canada?id=9474,Medium,Required before treating this negative screen as final,2026-09-09
