schema_version,program_id,institution_id,institution_name,country,region,regional_admissions_model,program_name,degree_type,relevant_degree_route,discovery_paths,research_topic_clusters,exact_research_fit_signal,preliminary_international_eligibility,preliminary_funding_signal,official_program_url,official_institution_url,evidence_confidence,affiliation_normalization_status,seed_adjacency,funnel_status,proposed_next_action,exclusion_reason,unresolved_fields,source_record_paths,source_ids,reentry_id
2.0,us:ipeds:212054:program:phd:phd-in-computer-science,us:ipeds:212054,Drexel University,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Full-time computer science research doctorate with qualifying milestones, candidacy, thesis proposal, and dissertation defense",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems|ai_for_se,"Drexel's doctoral program identifies software engineering, information assurance and security, networks, and artificial intelligence as research areas and requires original doctoral research.","The on-campus Computer Science PhD admits a fall cohort and does not require a master's degree; exact credential equivalency, prerequisites, English evidence, and Fall 2027 requirements remain for Stage 3.","Drexel states that all students in its Computer Science and Information Science PhD programs are fully supported by research, teaching, or combined assistantships carrying a stipend and tuition remission.",https://drexel.edu/cci/academics/doctoral-programs/,https://drexel.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|credential and prerequisite equivalency|English evidence|advisor capacity|assistantship duration and renewal|summer support|fees, insurance, and net funding",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:drexel-cs:program|reentry17:drexel-cs:funding,stage_02_reentry_17
2.0,us:ipeds:213543:program:phd:phd-in-computer-science,us:ipeds:213543,Lehigh University,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Computer science research doctorate with core training, qualifying milestones, supervised original research, and dissertation",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|distributed_systems|systems_security|ai_for_se,"Lehigh's doctoral route combines advanced programming and software engineering with systems, algorithms, cyber-physical systems, machine learning, and original dissertation research.","The program publishes a Computer Science PhD application route; exact bachelor's preparation, transcript equivalency, English evidence, and Fall 2027 rules remain for Stage 3.","Lehigh states that Rossin College PhDs are fully funded and that support generally includes a monthly stipend and tuition through research assistantships, teaching assistantships, or fellowships.",https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,https://www.lehigh.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|degree and prerequisite equivalency|English evidence|advisor and research-group capacity|funding term and renewal|summer support|fees, insurance, and net funding",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:lehigh-cs:program|reentry17:lehigh-cs:funding,stage_02_reentry_17
2.0,us:ipeds:131469:program:phd:phd-in-computer-science,us:ipeds:131469,George Washington University,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Advisor-supervised computer science research doctorate with coursework, teaching, dissertation research, and defense",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems|ai_for_se,"GW explicitly lists software engineering and systems, operating and distributed systems, computer security, privacy, cryptography, and AI among its doctoral research areas.","The PhD page provides an international graduate application route and allows advisor-supervised research; exact degree preparation, English thresholds, prerequisites, and Fall 2027 cycle remain for Stage 3.",GW engineering funds selected doctoral students through research or teaching assistantships covering 18 credits per academic year plus a monthly living stipend; all doctoral applicants are generally considered.,https://graduate.engineering.gwu.edu/phd-computer-science,https://www.gwu.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|degree and prerequisite equivalency|English funding threshold|advisor capacity|assistantship selection and renewal|remaining tuition, summer support, and fees|insurance and net funding",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:gwu-cs:program|reentry17:gwu-cs:funding,stage_02_reentry_17
2.0,us:ipeds:196060:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:196060,University at Albany,United States,us,US program or committee admission; faculty role requires program-specific verification,Doctor of Philosophy in Computer Science,PhD,"Full-time computer science doctorate with advanced coursework, qualifying examination, original research, and dissertation",official_program_or_department_signal|lab_or_center_signal|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems|ai_for_se,"UAlbany names software engineering, cybersecurity, computer networks, intelligent systems, and data systems in its doctoral research environment and requires an original dissertation.","The official program includes international applicants and a departmental-assistantship consideration deadline; exact credential equivalency, prerequisites, English evidence, and Fall 2027 dates remain for Stage 3.","The program publishes a separate deadline for departmental assistantship consideration, establishing a potential support route but not its value, coverage, availability, or guarantee.",https://www.albany.edu/computer-science/programs/phd-computer-science,https://www.albany.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|credential and course equivalency|English evidence|advisor capacity|assistantship availability and award value|tuition waiver and renewal|summer support, fees, and insurance",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:ualbany-cs:program|reentry17:ualbany-cs:research,stage_02_reentry_17
2.0,us:ipeds:168421:program:phd:phd-in-computer-science,us:ipeds:168421,Worcester Polytechnic Institute,United States,us,US program or committee admission; faculty role requires program-specific verification,PhD in Computer Science,PhD,"Computer science research doctorate with advanced study, research-group participation, original dissertation, and defense",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems|ai_for_se,"WPI's PhD page names software engineering, computer security, distributed-systems performance, AI, databases, and related research groups as doctoral opportunities.","The official PhD route is open through graduate admission; exact bachelor's-entry status, degree equivalency, prerequisites, English evidence, and Fall 2027 deadlines remain for Stage 3.","WPI documents research and teaching assistantships and current research-assistant rates, while program-specific selection, tuition coverage, duration, and international availability remain unresolved.",https://www.wpi.edu/academics/study/computer-science-phd,https://www.wpi.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|bachelor's-entry and prerequisite mapping|English evidence|advisor capacity|assistantship selection and tuition coverage|renewal and summer support|fees, insurance, and net funding",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:wpi-cs:program|reentry17:wpi-cs:funding,stage_02_reentry_17
2.0,us:ipeds:171571:program:phd:doctor-of-philosophy-in-computer-science-and-informatics,us:ipeds:171571,Oakland University,United States,us,US program or committee admission; faculty role requires program-specific verification,Doctor of Philosophy in Computer Science and Informatics,PhD,Computer science and informatics research doctorate with a computer science or software and information technology specialization and dissertation,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|formal_verification|systems_security|ai_for_se,"Oakland's doctorate includes formal methods, programming languages, networking, embedded and parallel systems, plus a software and information technology specialization; the department currently advertises a funded software engineering, programming languages, or formal methods PhD position.","The doctoral program accepts computing and related engineering backgrounds; exact degree equivalency, master's expectation, prerequisites, English evidence, and Fall 2027 availability remain for Stage 3.","The School of Engineering and Computer Science currently lists a funded full-time PhD position in software engineering, programming languages, or formal methods, but the relevant intake, applicant fit, duration, tuition coverage, and continued availability are unverified.",https://www.oakland.edu/secs/doctoral-programs/,https://www.oakland.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,Fall 2027 cycle and position availability|degree and master's equivalency|English evidence|supervisor capacity and recruiting status|stipend and tuition coverage|renewal and summer support|fees and insurance,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:oakland-csi:program|reentry17:oakland-csi:funding,stage_02_reentry_17
2.0,ca:dli:O19330231062:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19330231062,University of British Columbia,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,Master of Applied Science in Electrical and Computer Engineering,Thesis or research master's,"Approximately two-year electrical and computer engineering research master's requiring coursework, supervised research, public examination, and thesis",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems|ai_for_se,"UBC ECE's MASc explicitly includes Computer and Software Systems, while current faculty and labs cover trustworthy software, secure software engineering, dependable systems, privacy, distributed systems, and cloud computing.","The MASc publishes a September 2027 intake and an international graduate route; exact four-year degree equivalency, subject prerequisites, English evidence, and supervisor match remain for Stage 3.",UBC Engineering states that most MASc and PhD students without major scholarships are offered supervisor-funded research assistantships and that all students may receive Graduate Support Initiative awards; amount and net coverage are unresolved.,https://ece.ubc.ca/graduate/programs/master-applied-science/,https://www.ubc.ca/,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 application details|degree and subject equivalency|English evidence|supervisor capacity|RA or scholarship award|international tuition and fees|living costs, insurance, and net support",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:ubc-ece:program|reentry17:ubc-ece:funding,stage_02_reentry_17
2.0,ca:dli:O19332746152:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19332746152,University of Toronto,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,Master of Applied Science in Electrical and Computer Engineering,Thesis or research master's,"Two-year funded electrical and computer engineering research master's with advanced coursework, supervised thesis proposal, research, oral examination, and thesis",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems|ai_for_se,"Toronto ECE's research MASc provides a supervised thesis platform in a department spanning computer engineering, software, communications, systems, AI, and security-adjacent research.","The research MASc is open through graduate admission; exact degree and course equivalency, English evidence, supervisor selection, and Fall 2027 rules remain for Stage 3.","Toronto ECE guarantees good-standing MASc students a two-year package, with amounts adjusted for domestic or international tuition and composed of supervisor research fellowship, teaching income, and department fellowship.",https://www.ece.utoronto.ca/graduates/degree-programs/masc/,https://www.utoronto.ca,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 cycle|degree and prerequisite equivalency|English evidence|supervisor capacity|2027-28 funding amount|international tuition and ancillary fees|insurance, living costs, and net support",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:utoronto-ece:program|reentry17:utoronto-ece:funding,stage_02_reentry_17
2.0,ca:dli:O19359011033:program:thesis-or-research-master-s:electrical-engineering-thesis-m-sc,ca:dli:O19359011033,McGill University,Canada,canada,Canadian program admission with potentially supervisor-dependent research route,Electrical Engineering (Thesis) (M.Sc.),Thesis or research master's,Full-time 45-credit electrical and computer engineering research master's with supervised research and a 27-credit thesis,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,software_quality|systems_security|distributed_systems|ai_for_se,"McGill's research-intensive ECE MSc names software engineering, intelligent systems, systems and control, and telecommunications as departmental research areas and requires an intensive supervised thesis project.",The official graduate page accepts an eligible bachelor's degree with a published minimum GPA and English evidence and lists fall and winter international deadlines; exact degree mapping and Fall 2027 dates remain for Stage 3.,"McGill ECE awards many competitive graduate assistantships from faculty research grants and considers applicants who indicate funding need; thesis-master's students may also receive competitive faculty awards, but full international net coverage is not guaranteed.",https://www.mcgill.ca/gradapplicants/program/electrical-engineering-msc,https://www.mcgill.ca,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,"Fall 2027 deadline|degree and subject equivalency|English evidence|supervisor capacity|assistantship or award selection|international tuition and fees|living costs, insurance, and net funding",data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:mcgill-ece:program|reentry17:mcgill-ece:funding,stage_02_reentry_17
2.0,ror:05xg72x27:program:thesis-or-research-master-s:erasmus-mundus-joint-master-in-cybersecurity-and-assurance-cybersure,ror:05xg72x27,Norwegian University of Science and Technology,Norway,europe,"European program, supervisor, studentship, or employed-position model; verify by country",Erasmus Mundus Joint Master in Cybersecurity and Assurance (CYBERSURE),Thesis or research master's,"Two-year, 120-ECTS multi-university cybersecurity master's ending in a jointly supervised 30-ECTS research thesis",official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,systems_security|distributed_systems|software_quality|formal_verification,"NTNU coordinates a thesis-bearing joint master's with second-year specializations in distributed-systems security, advanced cybersecurity and software assurance, networks and systems security, security engineering, and big-data security.","The published Fall 2027 intake welcomes all nationalities with a bachelor's in computing, IT, information systems, mathematics, computer engineering, or a closely related field; exact course mapping and English evidence remain for Stage 3.","The official 2027 admission page offers competitive full and partial Erasmus Mundus scholarships; full awards cover tuition, travel, and a monthly living allowance.",https://www.ntnu.edu/studies/mscybsure,https://www.ntnu.edu,high,canonical institution registry match,TerraProbe-adjacent|Evidex-adjacent,advance_to_stage_3,"verify current program, applicant eligibility, funding, faculty fit, and Fall 2027 cycle",,exact bachelor's-course eligibility|English test and document timing|scholarship selection|full versus partial award|mobility and visa costs|insurance and net funding|thesis supervisor and topic allocation,data/processed/pass2/stage_02_reentry_17_candidates.csv|data/processed/pass2/stage_02_reentry_17_sources.csv,reentry17:cybersure:program|reentry17:cybersure:scholarship,stage_02_reentry_17
