schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:5aa2f1cb7e2e78392b5c,ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,ca:dli:O18781994282,Simon Fraser University,program|funding|fees,"Research-intensive thesis MSc, thesis requirements, supervisor committee, per-term tuition model, and 24,000 CAD annual two-year minimum funding.",Master of Science in Computing Science,Simon Fraser University School of Computing Science,https://www.sfu.ca/fas/study/future-graduates/programs/master-science-thesis.html,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re01:sfu:program-funding,
2.0,stage3src:671096c0d8c7da0f2c63,ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,ca:dli:O18781994282,Simon Fraser University,admissions|eligibility|language|deadline,"Bachelor's-entry route, 3.00/4.33 minimum, English rules, and Fall 2027 opening with deadline TBD.",Computing Science Graduate Admissions,Simon Fraser University School of Computing Science,https://www.sfu.ca/content/sfu/fas/study/future-graduates/apply/computing-science.html,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Fall 2027,high,official page checked,stage3re01:sfu:admissions,
2.0,stage3src:9cd77e48e5eb5b6fb823,ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,ca:dli:O18781994282,Simon Fraser University,fees|funding,"Fall 2026 graduate tuition and ancillary fee schedule, including international medical charges.",Graduate Tuition Fees — Fall 2026 Calendar,Simon Fraser University,https://www.sfu.ca/students/calendar/2026/fall/fees-and-regulations/tuition-fees/graduate/,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Fall 2026 latest published fee schedule,high,official page checked,stage3re01:sfu:tuition,
2.0,stage3src:cfe7cab3c63e64cf54ec,ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,ca:dli:O18781994282,Simon Fraser University,admissions|fees,Application fee is CAD 160 for applicants with international transcripts and the application is program-specific.,Applying to Graduate Studies,Simon Fraser University Faculty of Graduate Studies,https://www.sfu.ca/gradstudies/apply/applying.html,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re01:sfu:fee,
2.0,stage3src:ec2b24c50c671afeb027,ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,ca:dli:O18781994282,Simon Fraser University,funding|fees,"MSc minimum 24,000 CAD annually for two years, with individual commitment terms in the offer letter.",Financial Support and Scholarships,Simon Fraser University School of Computing Science,https://www.sfu.ca/fas/computing/current-students/graduates/financial-support-scholarships.html,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re01:sfu:funding,
2.0,stage3src:601ae4a18c5cfafae272,ror:040wg7k59:program:thesis-or-research-master-s:computer-science-msc,ror:040wg7k59,Chalmers University of Technology,admissions|eligibility|language|fees|funding,"General bachelor's equivalency, ranked national application, tuition-liable scholarship step, and applicant-document process.",Apply for Master's Programmes,Chalmers University of Technology,https://www.chalmers.se/en/education/application-and-admission/how-to-apply-from-application-to-admission/apply-for-masters-programmes/,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re01:chalmers:apply,
2.0,stage3src:a3ff9ca687d47e2a3927,ror:040wg7k59:program:thesis-or-research-master-s:computer-science-msc,ror:040wg7k59,Chalmers University of Technology,funding|fees,Swedish Institute and university scholarships are competitive; the page does not establish an applicant-specific award or adequate living-cost package.,Scholarships,University Admissions in Sweden,https://www.universityadmissions.se/en/fees-scholarships-residence-permit/scholarships/,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re01:chalmers:scholarships,
2.0,stage3src:ac86cd1906210aece1a4,ror:040wg7k59:program:thesis-or-research-master-s:computer-science-msc,ror:040wg7k59,Chalmers University of Technology,admissions|fees,Non-EU/EEA applicants generally pay a 900 SEK application fee once per semester application.,Terms and Conditions for Application Fee Payments,University Admissions in Sweden / Swedish Council for Higher Education,https://www.universityadmissions.se/en/fees-scholarships-residence-permit/terms-and-conditions/,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re01:chalmers:fee,
2.0,stage3src:ec4ea4c612263c9d4799,ror:040wg7k59:program:thesis-or-research-master-s:computer-science-msc,ror:040wg7k59,Chalmers University of Technology,program|admissions|eligibility|language|deadline|fees,"Current English two-year MSc, research orientation, detailed course prerequisites, and October 16, 2026 to January 15, 2027 application window.","Computer Science, MSc",Chalmers University of Technology,https://www.chalmers.se/en/education/find-masters-programme/computer-science-msc/,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Fall 2027,high,official page checked,stage3re01:chalmers:program,
2.0,stage3src:2a7ac9574b2203b3976e,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,admissions|fees,Degree-seeking graduate application fee is USD 90 and a separate fee is required for each program.,Application Fees,University of Arizona Graduate College,https://grad.arizona.edu/admissions/procedures/application-fees,data/raw/pass2/stage_03_reentry_01.json,official web page,official,2026-09-10,Current page checked 2026-09-10,high,official page checked,stage3re01:arizona:fee,
