Overall Rank,University,Country,Exact Program,Degree Type,Recommendation Tier,Funding Classification,Funding Summary,International Funding Eligible,Academic Eligibility Verified,Relative Admission Position,Admission Rationale,Program Research Fit,Fit Evidence,Example Faculty or Lab,Application Fee,Fee Waiver,Fall 2027 Deadline,Deadline Cycle,Biggest Positive,Biggest Risk,Unresolved Question,Recommended Decision,Official Program URL,Official Funding URL,Admissions Evidence URL,Notes
1,Lehigh University,United States,PhD in Computer Science,PhD,Strongest Realistic Options,Guaranteed full funding,All Rossin College PhD students are fully funded through an assistantship or fellowship that generally includes tuition and a stipend.,Yes,Yes,Strongest Realistic Option,"The 2.75 minimum is cleared; the 3.5 major-GPA preference makes the 3.35 cumulative record imperfect, but the above-3.5 recent record, accepted research paper, and exact trustworthy-AI fit materially strengthen the file.",Strong,"Strong Evidex overlap through explicit evaluation of safety, privacy, and security in generative AI and LLM systems; the work also supports security-oriented evaluation of AI-assisted infrastructure tooling.",Lichao Sun — https://engineering.lehigh.edu/faculty/lichao-sun,50,No general waiver confirmed.,2026-12-15,Fall 2027 financial-aid deadline,"Full funding, a $50 fee, and direct trustworthy-generative-AI and security alignment.",The preferred 3.5 major GPA and a small funded cohort keep admission competitive.,"Offer-level summer, insurance, mandatory-fee, and duration terms remain to be checked after admission.",Apply,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
2,Old Dominion University,United States,Computer Science (Ph.D.),PhD,Strongest Realistic Options,Standard full funding,"Newly admitted PhD students are guaranteed an RA, TA, or combined appointment; the page states a first-year $20,000 stipend and full tuition waiver, with summer RA funding expected.",Yes,Yes,Strongest Realistic Option,"Direct bachelor entry, no separate numeric department floor, a CS degree, and a strong research-to-security match make this one of the least structurally adverse funded options.",Strong,"Strong TerraProbe overlap through LLM-powered UI exploration, hybrid analysis of application transition graphs, and Internet-scale security measurement; Evidex overlaps through empirical detection evidence, security evaluation, and privacy testing of LLMs.",Shuai Hao — https://www.odu.edu/directory/shuai-hao,50,No applicable waiver confirmed.,"April 15, 2027",Recurring international fall deadline; Fall 2027 label not yet explicit,Guaranteed entering funding and strong software-security and LLM-evaluation overlap.,"The published dollar amount is modest and renewal, fees, insurance, and summer terms are not fully specified.","Confirm the written renewal, fee, insurance, and summer terms if admitted.",Apply,https://www.odu.edu/academics/programs/doctoral/computer-science,https://www.odu.edu/academics/programs/doctoral/computer-science,https://www.odu.edu/computer-science/academics/graduate/phd/admissions,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
3,Temple University,United States,Computer and Information Science PhD,PhD,Strongest Realistic Options,Standard full funding,"Admitted PhD students receive an RA or TA with tuition and stipend, and the department says it typically admits only when funding is available.",Yes,Yes,Strongest Realistic Option,The 3.0 graduate floor and 3.25 assistantship benchmark are cleared by a 3.35 cumulative GPA; research experience and direct generative-AI-for-programming fit improve the case beyond minimum eligibility.,Strong,"Strong Evidex overlap through empirical evaluation of LLM-generated code explanations, logic-error detection, and responsible AI-supported programming; TerraProbe overlaps through tool-building and experiments around LLM-assisted software creation.",Stephen MacNeil — https://cis.temple.edu/people/faculty/?s=cs,60,Departmental fee waivers are not offered; limited university waivers do not clearly apply.,"January 15, 2027","Current recurring Fall deadline; 2027 applications open July 15, 2026","Funded-admit norm, a $60 fee, and unusually direct LLM-for-programming evaluation fit.",Admission requires acceptance by faculty in an open track and funding duration beyond the initial appointment is not published.,"Confirm multi-year, summer, health, and residual-fee terms in the offer.",Apply,https://bulletin.temple.edu/graduate/scd/cst/computer-information-science-phd/,https://cis.temple.edu/academics/graduate/phd_faq/,https://www.temple.edu/academics/degree-programs/computer-information-science-phd-st-cis-phd/admissions,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
4,The University of Texas at San Antonio,United States,Ph.D. in Computer Science,PhD,Strongest Realistic Options,Standard full funding,"The program states that full-time admitted Computer Science PhD students receive GTA or GRA support with stipend, tuition and fee coverage, and insurance.",Yes,Yes,Strongest Realistic Option,"The CS bachelor route is explicit, no higher program GPA floor was found, and the accepted paper plus direct software-analysis match support a strong relative position.",Strong,"Strong TerraProbe overlap through build-failure diagnosis, cross-environment inconsistency detection, program analysis, bug localization, and software-security validation.",Xiaoyin Wang — https://sciences.utsa.edu/faculty/profiles/wang-xiaoyin.html,90,No graduate fee waiver; only McNair waivers are recognized.,2027-02-01,Fall 2027,"Explicit Fall 2027 cycle, funded-admit norm, and excellent software-analysis and bug-diagnosis fit.",The $90 international fee cannot normally be waived and renewal duration is not explicit.,Verify renewal duration and summer support in the written offer.,Apply,https://future.utsa.edu/programs/doctoral/computer-science/,https://future.utsa.edu/programs/doctoral/computer-science/,https://future.utsa.edu/graduate/admissions/,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
5,Baylor University,United States,Doctor of Philosophy in Computer Science,PhD,Strongest Realistic Options,Standard full funding,"Current official material says nearly all incoming PhD students receive full tuition remission, health coverage, and a multi-year research or teaching assistantship.",Yes,Yes,Strongest Realistic Option,"The program is research-focused, the file has an accepted paper and improving grades, and the software-testing and secure-analysis fit is specific rather than generic.",Strong,"Strong TerraProbe and Evidex overlap through fuzzing, compiler and binary analysis, protocol testing, and evidence-driven assessment of software correctness and robustness.",Mengfei Ren — https://www.ecs.baylor.edu/person/mengfei-ren-phd,50,The $50 application fee cannot be waived.,"February 15, 2027",Recurring Fall financial-aid deadline; cycle year not separately labeled,"Low $50 fee, multi-year package norm, and evidence-driven software-testing alignment.",The package is described as nearly universal rather than guaranteed to every admit.,"Confirm the exact duration, summer, and mandatory-fee terms in any offer.",Apply,https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/phd-cs,https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/phd-cs,https://www.ecs.baylor.edu/departments/computer-science/graduate-application-requirements,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
6,New Jersey Institute of Technology,United States,Ph.D. Computer Science,PhD,Competitive Options,Highly credible standard funding,"Nearly all enrolled Computer Science PhD students are fully supported as RAs or TAs, but the department explicitly says support is competitive and not every admitted student receives it.",Yes,Yes,Competitive,"Mitch clears formal bachelor-entry eligibility and has an exceptionally close verification and program-analysis fit, but the department expects a superior CS background and funding competition raises the bar.",Exceptional,"Exceptionally strong TerraProbe overlap through practical program verification, static analysis, specification inference, testing, and repair of software-resource bugs; Evidex overlaps through checkable evidence for correctness and security claims.",Martin Kellogg — https://people.njit.edu/profile/mjk76,75,A financial-hardship request may be sent to the CS PhD program; approval is not confirmed.,"December 15, 2026",Recurring Fall funding-consideration deadline,One of the closest program-analysis and software-verification matches in the corpus.,Funding is highly credible but not universal; an admission without full support would be unacceptable.,Apply only on the understanding that an unfunded offer will be declined.,Apply; accept only with full written funding,https://www.njit.edu/academics/degree/phd-computer-science,https://cs.njit.edu/admission-requirements-and-financial-support-phd-computer-science-program,https://www.njit.edu/academics/degree/phd-computer-science,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
7,Virginia Polytechnic Institute and State University,United States,Computer Science PhD,PhD,Competitive Options,Guaranteed full funding,"Beginning with Fall 2026, every admitted PhD student receives a five-year offer covering fall and spring; summers are excluded and some fees remain the student's responsibility.",Yes,Yes,Competitive,"Mitch clears the 3.0 minimum and has near-direct AI-for-build-repair research fit, but the program attracts a strong national pool and funded cohort space is limited.",Exceptional,"Near-direct fit to build/configuration repair, LLM-assisted maintenance, and rigorous evaluation.",Na Meng — https://website.cs.vt.edu/people/faculty/na-ming.html,75,No applicable international waiver confirmed.,2026-12-01,Fall 2027,Five-year funding commitment and near-direct LLM-assisted build-conflict research alignment.,Summers are excluded from the guarantee and some fees remain.,"Plan for summer RA, internship, or savings rather than assuming summer coverage.",Apply,https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,https://students.cs.vt.edu/Graduate/Funding.html,https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
8,University of Rochester,United States,PhD Program in Computer Science,PhD,Competitive Options,Standard full funding,"PhD students in good academic standing receive tuition, health insurance, and a stipend; the typical completion time is four to six years.",Yes,Yes,Competitive,"Bachelor entry is explicit and the systems-security and program-transformation fit is strong, but the department calls admission selective and competitive and gives no GPA-based reason to treat it as safe.",Strong,"Strong TerraProbe and Evidex overlap through compiler-enforced security, program transformation, memory-safety validation, and evidence-backed analysis of low-level software behavior.",John Criswell — https://cs.rochester.edu/people/faculty/criswell_john/index.html,70,A limited number of partial waivers exist; none is confirmed.,2027-01-05,Fall 2027 PhD deadline,"Full support, a $70 fee, and strong secure-software and compiler-transformation overlap.",No maximum funding duration or current stipend is published.,Confirm maximum duration and summer treatment in the offer.,Apply,https://www.cs.rochester.edu/graduate/phd-program.html,https://www.cs.rochester.edu/graduate/phd-program.html,https://www.cs.rochester.edu/graduate/how-to-apply.html,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
9,Drexel University,United States,PhD in Computer Science,PhD,Competitive Options,Standard full funding,"The doctoral admissions page states that all Computer Science and Information Science PhD students are fully supported with an RA, TA, or combined assistantship carrying tuition remission and a stipend.",Yes,Yes,Competitive,"Formal eligibility is clear and the LLM-assisted software architecture fit is direct; absent cohort evidence, a strong research record supports competitiveness but not a realistic-label upgrade.",Strong,"Strong TerraProbe overlap through formal analysis of software architecture, architectural degradation, and current work on improving LLM-assisted code generation with architectural documents and implementation plans.",Yuanfang Cai — https://drexel.edu/cci/about/directory/C/Cai-Yuanfang/,65,No applicable graduate waiver confirmed.,"December 15, 2026 priority; February 15, 2027 final",Latest published doctoral cycle; Fall 2027 label not explicit,All-student support language and current LLM-assisted software-engineering work.,"Duration, insurance, fee coverage, and summer terms are not stated.",Confirm package duration and residual costs in the offer.,Apply,https://drexel.edu/cci/academics/doctoral-programs/phd-computer-science/,https://drexel.edu/cci/admissions/doctoral/,https://drexel.edu/cci/admissions/doctoral/,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
10,University of Arizona,United States,Computer Science PhD,PhD,Competitive Options,Standard full funding,The current prospective-student page says doctoral students making satisfactory progress receive multi-year assistantship funding with tuition waivers and health insurance; another department page describes only the first year as guaranteed.,Yes,Yes,Competitive,"Mitch clears the 3.0 minimum and has specific verification and program-analysis alignment, but the internal funding-language inconsistency and national applicant pool argue against calling it a strongest realistic option.",Strong,"Strong overlap with Evidex's evidence discipline and TerraProbe's repair validation through abstract interpretation, program analysis, verification, and reasoning about transformation correctness.",Roberto Giacobazzi — https://www2.cs.arizona.edu/people/giacobazzi/,90,No applicable waiver confirmed.,"January 15, 2027",Recurring Fall deadline; cycle year not separately labeled,Strong formal-analysis fit and current program-wide multi-year funding language.,Official pages conflict on whether support beyond year one is guaranteed.,Require the written offer to state duration before accepting.,Apply,https://cs.arizona.edu/graduate/prospective-students,https://cs.arizona.edu/graduate/prospective-students,https://cs.arizona.edu/graduate/prospective-students,Program-first review; one faculty example supports program-level fit and is not a recruiting claim.
