program_id,institution_id,institution_name,country,program_name,degree_type,department,official_program_url,thesis_dissertation_requirement,research_credit_requirement,research_groups_labs,direct_from_bachelors_eligible,international_student_eligible,language_of_instruction,current_program_status,preliminary_fit,screening_decision,exclusion_reason,minimum_gpa,minimum_gpa_policy,prerequisite_coursework,gre_policy,english_requirement_waiver,fall_2027_deadline,deadline_cycle_status,application_fee,fee_currency,fee_waiver_rules,multiple_applications_allowed,separate_fees_required,admissions_model,faculty_contact_expectation,funding_model,funding_status,stipend_amount,stipend_currency,funding_duration_years,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_funding,funding_conditions,supervisor_dependent_funding,phd_funding,masters_funding,scholarships_fellowships,professor_fit_score,faculty_depth_score,research_fit_score,funding_score,eligibility_score,degree_admissions_score,application_economics_score,overall_score,admission_plausibility,recommendation,biggest_risk,unresolved_question,single_professor_dependency,verification_status,notes
ror:013meh722:program:phd:phd-in-computer-science,ror:013meh722,University of Cambridge,United Kingdom,PhD in Computer Science,PhD,Department of Computer Science and Technology,https://www.cst.cam.ac.uk/admissions/phd,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,Yes; master's is described as desirable rather than mandatory,Plausible; country-specific eligibility and visa rules pending deep verification,English (primarily English-speaking jurisdiction),Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Program application with proposed supervisor,Pending faculty-level verification,University/department funding competitions; deep verification pending,Preliminary only; no individual award or position verified,,,,,,,,,,University/department funding competitions; deep verification pending,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,ror:02jx3x895,University College London,United Kingdom,Computer Science MPhil/PhD,Integrated or structured doctorate,Department of Computer Science,https://www.ucl.ac.uk/study/prospective-students/graduate/courses/computer-science-mphilphd,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,Potentially; country-specific equivalency requires deep verification,Plausible; country-specific eligibility and visa rules pending deep verification,English (primarily English-speaking jurisdiction),Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Program application; identify proposed supervisor,Pending faculty-level verification,Scholarship and project funding; no universal guarantee verified,Preliminary only; no individual award or position verified,,,,,,,,,,Scholarship and project funding; no universal guarantee verified,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:041kmwe10:program:phd:phd-in-computing,ror:041kmwe10,Imperial College London,United Kingdom,PhD in Computing,PhD,Department of Computing,https://www.imperial.ac.uk/computing/prospective-students/phd/,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,Potentially; detailed credential equivalency requires deep verification,Plausible; country-specific eligibility and visa rules pending deep verification,English (primarily English-speaking jurisdiction),Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Program application,Pending faculty-level verification,Department advertises funded studentships; award not automatic,Preliminary only; no individual award or position verified,,,,,,,,,,Department advertises funded studentships; award not automatic,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,ror:05a28rw58,ETH Zurich,Switzerland,Direct Doctorate in Computer Science,Direct-entry PhD,Department of Computer Science,https://inf.ethz.ch/doctorate/direct-doctorate-computer-science.html,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,Yes; explicitly for applicants with a bachelor's in computer science or related field,Plausible; country-specific eligibility and visa rules pending deep verification,English completion supported by official doctorate language policy,Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Program application,Pending faculty-level verification,Study scholarship followed by salaried doctoral employment; conditions pending deep verification,Preliminary only; no individual award or position verified,,,,,,,,,,Study scholarship followed by salaried doctoral employment; conditions pending deep verification,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,ror:05a28rw58,ETH Zurich,Switzerland,Doctoral Study Programme in Computer Science,PhD requiring a master's,Department of Computer Science,https://inf.ethz.ch/doctorate/doctoral-study-program.html,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,No; official page requires a master's,Plausible; country-specific eligibility and visa rules pending deep verification,English completion supported by official doctorate language policy,Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Supervisor/position dependent,Pending faculty-level verification,Normally salaried research-assistant employment,Preliminary only; no individual award or position verified,,,,,,,,,,Normally salaried research-assistant employment,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,ror:01jdpyv68,Saarland University,Germany,Saarbrücken Graduate School of Computer Science,Integrated or structured doctorate,Department of Computer Science,https://www.uni-saarland.de/en/future/computerscience.html,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,Yes; official page describes a bachelor's-entry route,Plausible; country-specific eligibility and visa rules pending deep verification,English evidence on official program page,Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Graduate-school application,Pending faculty-level verification,Bachelor's-entry scholarship stated; later funding needs deep verification,Preliminary only; no individual award or position verified,,,,,,,,,,Bachelor's-entry scholarship stated; later funding needs deep verification,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,ror:05f950310,KU Leuven,Belgium,Doctoral Programme in Computer Science,PhD requiring a master's,Department of Computer Science,https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,No; official instructions require a relevant master's or equivalent,Plausible; country-specific eligibility and visa rules pending deep verification,English mastery explicitly required,Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Vacancy or supervisor-initiated application,Pending faculty-level verification,Advertised PhD positions are financed; proposal route may require separate funding,Preliminary only; no individual award or position verified,,,,,,,,,,Advertised PhD positions are financed; proposal route may require separate funding,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,ror:020hwjq30,Aalto University,Finland,Doctoral Programme in Science — Computer Science,PhD requiring a master's,School of Science,https://www.aalto.fi/en/study-options/aalto-doctoral-programme-in-science-0,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,No; relevant master's or equivalent required,Plausible; country-specific eligibility and visa rules pending deep verification,English is an official language of instruction and degree completion,Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Program application with supervising professor,Pending faculty-level verification,"Salaried position, project funding, or grant; applicant provides funding plan",Preliminary only; no individual award or position verified,,,,,,,,,,"Salaried position, project funding, or grant; applicant provides funding plan",,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,ror:040af2s02,University of Helsinki,Finland,Doctoral Programme in Science — Computer Science,PhD requiring a master's,Faculty of Science,https://www.helsinki.fi/en/admissions-and-education/apply-doctoral-programmes/doctoral-programmes/doctoral-programme-science/admissions-doctoral-studies,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,No; second-cycle degree required,Plausible; country-specific eligibility and visa rules pending deep verification,All doctoral programmes can be completed in English,Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Program application with coordinating academic,Pending faculty-level verification,Study right does not itself imply funding,Preliminary only; no individual award or position verified,,,,,,,,,,Study right does not itself imply funding,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,ror:026vcq606,KTH Royal Institute of Technology,Sweden,Doctoral Programme in Computer Science,PhD requiring a master's,School of Electrical Engineering and Computer Science,https://intra.kth.se/en/eecs/forskarutbildning/doctoral-programmes/computer-science-1.817607,Doctoral dissertation/thesis indicated; exact rules pending deep verification,See official programme page; exact credit total pending deep verification,Computer science/informatics research signal verified; group-level fit pending,No; second-cycle qualification required,Plausible; country-specific eligibility and visa rules pending deep verification,English is standard in KTH research environments,Official page accessible on freeze date,Yes — broad computer science/software/AI/security research scope,preliminary_fit,,,,,,,,,,,,,,Apply to an advertised doctoral position,Pending faculty-level verification,Position-funded; most doctoral students are employees,Preliminary only; no individual award or position verified,,,,,,,,,,Position-funded; most doctoral students are employees,,,,,,,,,,,Insufficient evidence,Investigate Further,No verified supervisor match or Fall 2027 vacancy/funding decision,Does a matching supervisor or funded position accept Fall 2027 applicants?,Unknown,Official program page checked; deep admissions/faculty/funding review pending,Mechanical regional screen only; not a final retention decision.
