schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry11:binghamton-cs:program,us:ipeds:196079,PhD in Computer Science,official_program_or_department_signal,"exact doctorate, research areas, and preliminary support",Computer Science Graduate Program,Binghamton University,https://www.binghamton.edu/apps/academics/program/gd/computer-science,2026-09-11,"Official program page confirms the Computer Science PhD, research including software engineering, and assistantship and scholarship mechanisms.","Program and support mechanisms do not establish direct-entry eligibility, admission, funding, or advisor capacity."
2.0,reentry11:binghamton-cs:graduate,us:ipeds:196079,PhD in Computer Science,research_masters_or_scholarship_search,departmental research and assistantship volume,Graduate Programs,Binghamton University,https://www.binghamton.edu/computer-science/graduate-programs/,2026-09-11,Official department page describes the CS PhD and a recurring pool of teaching and research assistantships considered during graduate admissions.,"Historical assistantship volume is not a guarantee, and degree-preparation language requires applicant-specific interpretation."
2.0,reentry11:ull-acis:program,us:ipeds:160658,PhD in Applied Computing and Information Sciences,official_program_or_department_signal,"exact doctorate, direct entry, and research fit","Applied Computing and Information Sciences, Ph.D.",University of Louisiana at Lafayette,https://louisiana.edu/graduateschool/majors-minors/applied-computing-and-information-sciences-phd,2026-09-11,"Official Graduate School page confirms the PhD, 66-credit bachelor's-entry route, research areas, and available assistantship and fellowship mechanisms.","The page does not establish applicant admission, an award, or a current supervisor opening."
2.0,reentry11:ull-acis:fellowships,us:ipeds:160658,PhD in Applied Computing and Information Sciences,research_masters_or_scholarship_search,competitive doctoral fellowship benefits,Graduate Fellowships,University of Louisiana at Lafayette,https://louisiana.edu/graduateschool/admissions/tuition-funding/assistantships-fellowships/graduate-fellowships,2026-09-11,"Official Graduate School page describes competitive doctoral fellowships with stipends and tuition and most-fee waivers, including differing durations by entry route.","A fellowship is competitive, not guaranteed, and remaining fees, insurance, and summer support require verification."
2.0,reentry11:montana-cs:program,us:ipeds:180461,Computer Science PhD,official_program_or_department_signal,exact doctorate and milestones,Computer Science PhD Degree,Montana State University,https://www.cs.montana.edu/phd-degree.html,2026-09-11,"Official department page confirms the Computer Science PhD and its coursework, research, milestone, and dissertation structure.","Program existence does not establish applicant eligibility, support, or advisor capacity."
2.0,reentry11:montana-cs:graduate,us:ipeds:180461,Computer Science PhD,research_masters_or_scholarship_search,entry requirements and typical PhD support sequence,Graduate Program,Montana State University,https://www.cs.montana.edu/grad/,2026-09-11,Official department graduate page describes bachelor's- or master's-level preparation and the typical teaching-then-research funding pattern for incoming PhD students.,"Typical support is not a universal offer, and transcript, appointment, duration, and net-cost terms remain unresolved."
2.0,reentry11:tntech-cs:program,us:ipeds:221847,Computer Science PhD,official_program_or_department_signal,"exact doctorate, direct route, and research areas",Ph.D. Program,Tennessee Technological University,https://www.tntech.edu/engineering/programs/csc/ph.d-program.php,2026-09-11,"Official department page confirms the Computer Science PhD, BS-to-PhD route, dissertation, and relevant research areas.",The route page does not establish applicant-specific admissibility or faculty capacity.
2.0,reentry11:tntech-cs:assistantships,us:ipeds:221847,Computer Science PhD,research_masters_or_scholarship_search,assistantship mechanism and summer boundary,Graduate Assistantships,Tennessee Technological University,https://www.tntech.edu/engineering/programs/csc/graduate-assistantships.php,2026-09-11,"Official department page describes competitive teaching and research assistantships, stipend and tuition benefits, and the absence of summer teaching-assistant support.","Assistantships are limited and no appointment, renewal, or complete net-cost package is established."
2.0,reentry11:memphis-cs:program,us:ipeds:220862,PhD in Computer Science,official_program_or_department_signal,exact doctorate and research structure,PhD in Computer Science,University of Memphis,https://www.memphis.edu/cs/programs/phd_computer_science.php,2026-09-11,"Official department page confirms the Computer Science PhD and its advanced study, research, and dissertation requirements.","Program existence does not establish admission, funding, or advisor availability."
2.0,reentry11:memphis-cs:graduate,us:ipeds:220862,PhD in Computer Science,current_faculty_topic_signal,"research fit, degree preparation, and preliminary funding prevalence",Graduate Applicants,University of Memphis,https://www.memphis.edu/cs/future_students/graduate.php,2026-09-11,"Official department page describes research including systems testing, security, and AI, degree and GPA preparation, international applications, and funding for most doctoral students.","Most is not all; applicant eligibility, package details, cycle currency, and supervisor capacity require separate verification."
