institution_id,institution_name,program_id,program_name,contact_type,contact_name,contact_role,official_email,official_url,contact_guidance,question_to_resolve,verification_status,date_accessed
us:ipeds:211440,Carnegie Mellon University,us:ipeds:211440:program:phd:software-engineering-phd,Software Engineering PhD,Graduate Admissions,SCS Graduate Admissions,Admissions office,,https://www.cs.cmu.edu/education/graduate-admissions,Faculty contact is optional; admission is not controlled by a single professor,Confirm exact 2027 stipend and health/fee components in an offer,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:145637,University of Illinois Urbana-Champaign,us:ipeds:145637:program:phd:computer-science-phd,Computer Science PhD,Graduate Admissions,Siebel Graduate Admissions,Program admissions,grad-admissions@siebelschool.illinois.edu,https://siebelschool.illinois.edu/academics/graduate/admissions,Faculty contact is optional and does not replace the application,Whether the school would authorize a rare GPA exception based on recent-two-year performance,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:139755,Georgia Institute of Technology-Main Campus,us:ipeds:139755:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,Theresa Nash,Academic program contact,ic-academics@cc.gatech.edu,https://gradapp.gatech.edu/portal/program-info?cmd=view-program&program=169bcfc7-d134-ed0b-40e7-12bc93147f9a,Program contact available; faculty outreach optional,"Will a Fall 2027 CS PhD offer guarantee tuition, stipend, insurance, and duration?",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:228778,The University of Texas at Austin,us:ipeds:228778:program:phd:computer-science-phd,Computer Science PhD,Graduate Admissions,CS Graduate Admissions,Program admissions,csadmis@cs.utexas.edu,https://www.cs.utexas.edu/graduate/apply,Faculty contact optional; csadmis@cs.utexas.edu handles admissions questions,Confirm that any offer contains a five-year minimum-support commitment,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:110653,University of California-Irvine,us:ipeds:110653:program:phd:software-engineering-phd,Software Engineering PhD,Graduate Program,ICS Graduate Counselors,Program advising,gcounsel@ics.uci.edu,https://ics.uci.edu/admissions-information-and-computer-science/graduate-admissions/,Direct faculty contact is encouraged by the program,"Will the admission offer guarantee multi-year tuition, stipend, health, and summer support?",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:233921,Virginia Polytechnic Institute and State University,us:ipeds:233921:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CS Graduate Program,Program admissions,gradinfo@cs.vt.edu,https://website.cs.vt.edu/academic/graduate/future-grads.html,Faculty contact optional before admission,What summer-support expectation applies after year one?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:232186,George Mason University,us:ipeds:232186:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CS Graduate Program,Program admissions,,https://cs.gmu.edu/academics/graduate-programs,Faculty outreach is optional and may clarify funding/lab fit,"Will Fall 2027 admission include guaranteed tuition, stipend, health, and duration?",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:199193,North Carolina State University at Raleigh,us:ipeds:199193:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CSC Graduate Program,Program admissions,csc-gradoffice@ncsu.edu,https://csc.ncsu.edu/academics/graduate/,Faculty contact is appropriate because RA support is advisor-determined,Would the named faculty member have funded Fall 2027 openings and can the department guarantee baseline support?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:214777,Pennsylvania State University-Main Campus,us:ipeds:214777:program:phd:computer-science-and-engineering-phd,Computer Science and Engineering PhD,Graduate Program,EECS Graduate Office,Program admissions,,https://www.eecs.psu.edu/students/graduate/,Faculty outreach optional; program office handles admissions,Can CSE provide a written multi-year minimum-support commitment for Fall 2027?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:209542,Oregon State University,us:ipeds:209542:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,EECS Graduate Information,Program admissions,eecs.gradinfo@oregonstate.edu,https://engineering.oregonstate.edu/academics/programs/computer-science/graduate,Faculty outreach is appropriate for fit and funding clarification,"Is every admitted CS PhD guaranteed tuition, stipend, health, and a minimum duration?",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:166629,University of Massachusetts-Amherst,us:ipeds:166629:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CICS Graduate Admissions,Program admissions,grad-info@cs.umass.edu,https://www.cics.umass.edu/academics/phd-computer-science/how-apply-phd-program,Faculty contact optional before admission,Confirm the Fall 2027 offer's summer and insurance/fee details,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:163286,University of Maryland-College Park,us:ipeds:163286:program:phd:computer-science-phd,Computer Science PhD,Graduate Admissions,CS Graduate Application Support,Application support,gradappsupport@umd.edu,https://www.cs.umd.edu/grad/apply,Faculty outreach optional and appropriate for research fit,Does the Fall 2027 offer guarantee summer support and how many years?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:170976,University of Michigan-Ann Arbor,us:ipeds:170976:program:phd:computer-science-and-engineering-phd,Computer Science and Engineering PhD,Graduate Program,CSE Graduate Admissions,Program admissions,csegradstaff@umich.edu,https://cse.engin.umich.edu/academics/graduate/admissions/,Faculty contact encouraged for research questions but not required,How will the committee weigh the >3.5 recent-two-year record against the 3.35 cumulative GPA?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:231624,William & Mary,us:ipeds:231624:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CS Graduate Program,Program admissions,gradinfo@cs.wm.edu,https://cdsp.wm.edu/admissions/graduate/computer-science/,No advisor is required before application and named-faculty preferences receive no admissions priority,How many years of support are guaranteed and are summer and health insurance included?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:110644,University of California-Davis,us:ipeds:110644:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,Computer Science Graduate Group,Program admissions,csgradadmit@ucdavis.edu,https://cs.ucdavis.edu/graduate/prospective-students/how-apply,Prospective faculty contact is appropriate,"Can the graduate group guarantee five years of tuition, stipend, health, and summer support in writing?",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:243780,Purdue University-Main Campus,us:ipeds:243780:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CS Graduate Information,Required admissions contact,csgradinfo@purdue.edu,https://www.cs.purdue.edu/graduate/admission/steps.html,Admissions questions must go to csgradinfo@purdue.edu; faculty contact is optional,Would a Fall 2027 offer include a multi-year support commitment?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:167358,Northeastern University,us:ipeds:167358:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,Khoury PhD Admissions,Program admissions,khoury-phd@northeastern.edu,https://www.khoury.northeastern.edu/apply/phd-apply/,Faculty outreach optional; attend PhD information sessions for program guidance,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:153603,Iowa State University,us:ipeds:153603:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CS Graduate Admissions,Program admissions,csadmissions@iastate.edu,https://www.cs.iastate.edu/graduate-studies/phd-application-requirements,Application asks for three faculty of interest; targeted outreach is appropriate,Can the department describe a fallback if RA support is unavailable in years 3–5 or summer?,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:181464,University of Nebraska-Lincoln,us:ipeds:181464:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,Tori Kimminau,Graduate program coordinator,tori.kimminau@unl.edu,https://graduate.unl.edu/academics/programs/COMP-PHD/,Statement should identify potential advisors; outreach is appropriate,"Can a bachelor's-only applicant be admitted directly, and what support is guaranteed?",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:228787,The University of Texas at Dallas,us:ipeds:228787:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,Shyam Karrah,Prospective student contact,skarrah@utdallas.edu,https://academics.utdallas.edu/fact-sheets/ecs/phd-computer-science/,Program office contact recommended; faculty outreach optional,Obtain an official last-60-hour GPA calculation and written funding terms,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:221999,Vanderbilt University,us:ipeds:221999:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,Melissa Harrell,PhD Graduate Program Coordinator,CS.PhD.Admin@Vanderbilt.edu,https://computing.vanderbilt.edu/csphd/,Faculty outreach optional; named graduate recruitment and program contacts provided,Confirm duration and summer-support language in the Fall 2027 offer,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:152080,University of Notre Dame,us:ipeds:152080:program:phd:computer-science-and-engineering-phd,Computer Science and Engineering PhD,Graduate Program,Taeho Jung,Director of Graduate Studies,cse-grad-info@nd.edu,https://engineering.nd.edu/departments-programs/graduate-programs/phd-in-computer-science-and-engineering/,Program provides DGS/program email; targeted faculty outreach is appropriate,Confirm guaranteed duration in the admission offer and whether the December 15 date is unchanged for Fall 2027,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:179867,Washington University in St Louis,us:ipeds:179867:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,CSE Graduate Office,Program admissions,,https://admin.aprc.wustl.edu/academics/graduate-admissions/index.html,Faculty outreach is appropriate; CSE graduate office is the administrative channel,Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions,Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:201645,Case Western Reserve University,us:ipeds:201645:program:phd:computer-science-phd,Computer Science PhD,Graduate Program,Computer and Data Sciences Student Affairs,Program contact,cdsecsestudentaffairs@case.edu,https://case.edu/engineering/computer-and-data-sciences/academics/computing-science/doctor-philosophy-0,Department and Graduate Studies contacts provided; faculty outreach appropriate,"Would the program issue a full multi-year funding offer, and is GRE still required for Fall 2027?",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
us:ipeds:195003,Rochester Institute of Technology,us:ipeds:195003:program:phd:computing-and-information-sciences-phd,Computing and Information Sciences PhD,Graduate Admissions,RIT Graduate Admissions,Admissions office,gradinfo@rit.edu,https://www.rit.edu/admissions/graduate/applying-doctoral-program,Direct outreach is appropriate for the officially advertised research openings,"Confirm guaranteed package duration, health, summer, and whether the advertised openings are for Fall 2027",Official program/contact page checked; blank email means no address was confidently extracted,2026-09-09
