schema_version,candidate_program_id,verified_program_id,institution_id,institution_name,country,region,candidate_funnel_status,verification_status,status_reason,exact_degree_program_name,degree_type,research_requirement,department,current_program_status,bachelors_entry_eligibility,international_student_eligibility,language_of_instruction,english_requirement_and_waiver,minimum_gpa,minimum_gpa_application,prerequisite_coursework,admissions_model,faculty_contact_expectation,fall_2027_deadline,deadline_cycle_label,application_fee,fee_currency,fee_waiver_rules,simultaneous_application_rules,separate_fees_required,tuition,mandatory_fees,funding_model,funding_status,funding_duration,funding_conditions,funding_international_eligibility,stipend_amount,stipend_currency,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_coverage,named_scholarships,scholarship_deadlines,largest_unresolved_question,relevant_route_gate,eligibility_gate,funding_gate,degree_structure_gate,same_university_dominance_gate,faculty_review_ready,application_positioning,official_program_url,program_source_ids,admissions_source_ids,funding_source_ids,evidence_confidence,source_record_paths,verified_at
2.0,us:ipeds:240444:program:phd:computer-sciences-phd,us:ipeds:240444:program:phd:computer-sciences-phd,us:ipeds:240444,University of Wisconsin-Madison,United States,us,advance_to_stage_3,conditional,"The applicant can use the traditional MS/PhD entry pool and meets the published academic floor, but the four-year funding guarantee is offered to many rather than all admits; confirm funding at offer or through one departmental inquiry.","Computer Sciences, PhD",PhD,"Qualifying process, preliminary examination, original dissertation, and final oral defense",Department of Computer Sciences,Current in the 2026-2027 Graduate Guide; fall admission only,Yes — applicants with sufficient undergraduate CS preparation may enter the traditional MS/PhD pool; no prior master's requirement is published,Yes — the department explicitly accepts international applicants,"English, in person",Graduate School English-proficiency policy applies; effect of the applicant's completed U.S. bachelor's degree must be confirmed,3.00 Graduate School minimum,Applicant cumulative GPA 3.35 exceeds the published 3.00 floor; admission remains holistic,"Programming, data structures, machine organization, and one year of college calculus are recommended minimum preparation",Single committee-reviewed traditional MS/PhD applicant pool; degree-goal choice is not binding,Applicants may name faculty in the statement; prior supervisor agreement is not published as required,December 15,Current 2026-2027 Graduate Guide; deadline is term-specific but not explicitly labeled Fall 2027,Not verified on the department or program page,USD,Department offers no waivers; Graduate School or external fee grants may apply,Do not submit both traditional MS and PhD applications; both are reviewed in one pool,Not applicable within the traditional MS/PhD pool,Published amount not captured; tuition remission accompanies qualifying assistantships,Not separately verified,"Teaching assistantship, research assistantship, or fellowship",Many traditional MS/PhD admits are offered a four-year funding guarantee; not all admits are guaranteed support,Four years when a departmental guarantee is offered,Typically assistantship-based; satisfactory progress and semester placement conditions apply,International traditional-program students are eligible; immigration employment limits apply,Not published as one program-wide amount,USD,Tuition remission with qualifying guaranteed assistantship support,Not separately verified,Assistantship health benefit details require offer verification,Several summer RAs exist; not guaranteed program-wide,Department graduate fellowships and external fellowships,Varies by fellowship; not a substitute for admission funding confirmation,Will an admission offer include the published four-year funding guarantee for this applicant?,pass,pass,resolvable_inquiry,pass,pass,yes,Outreach Before Decision,https://guide.wisc.edu/graduate/computer-sciences/computer-sciences-phd/,stage3src:aeb412dfadcfd4e13bcd,stage3src:aeb412dfadcfd4e13bcd|stage3src:474ee906a4b8d675400a|stage3src:e5a49e215a1f6b97280c,stage3src:e5a49e215a1f6b97280c,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",PhD in Computer Science,PhD,Research doctoral degree culminating in a dissertation,Department of Computer Science and Engineering,Current; fall admission only,Yes — four-year or equivalent undergraduate degree; a master's degree is not required,Yes — international applicants are included in the graduate application route,English,Non-native English speakers must submit a current score even after prior English-medium study when TA funding is possible; TOEFL/IELTS speaking thresholds apply,No formal minimum; page states demonstrated ability to maintain 3.45 or greater,"Applicant 3.35 cumulative is below the 3.45 benchmark but recent two-year GPA exceeds 3.5; this is a strategic concern, not a formal bar",Undergraduate or graduate degree with substantial computer science and engineering background; other majors may be considered,Departmental holistic committee admission,No supervisor commitment published as an application prerequisite,December 15 for fellowship consideration; January 5 final,Latest current PhD admissions page; specific calendar years not printed,95,USD,Graduate School states international application fees cannot be waived or deferred,Separate application fee accompanies each program application,"Yes, for each program application",Program amount not captured; funded PhD tuition is covered,Not separately published on the program page,"Teaching assistantship, research assistantship, or fellowship",All admitted Computer Science PhD students are guaranteed funding from day one while making satisfactory academic and research progress,Throughout the doctoral experience while making progress,Satisfactory academic and research progress; TA eligibility may require current English scores,International students are included; English speaking eligibility affects TA components,Program-wide amount not published,USD,Tuition typically covered,Not separately verified,Almost all health-insurance costs typically covered,Not separately published,Departmental fellowships and assistantships,December 15 for fellowship consideration,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://cse.umn.edu/cs/phd-admissions,stage3src:8ae4e14e33b8400153c3,stage3src:8ae4e14e33b8400153c3|stage3src:e6a9acacafc5855719d7|stage3src:e2a6011466308a8ea205,stage3src:e6a9acacafc5855719d7,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614:program:phd:computer-science-phd,us:ipeds:126614,University of Colorado Boulder,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Doctor of Philosophy in Computer Science,PhD,Original doctoral research and dissertation,Department of Computer Science,Current and recruiting for Fall 2027,Yes — a master's and a CS bachelor's are not required,Yes — international applicants are eligible and must enroll full time for visa purposes,English,"TOEFL, IELTS, or Duolingo requirements apply unless Graduate School exemption rules are met",3.00 for College of Engineering graduate admission,Applicant cumulative GPA 3.35 exceeds the 3.00 formal minimum,"Recommended preparation includes computer systems, data structures and algorithms, mathematics, and software development",Departmental committee admission with post-review advisor matching,Prior faculty contact is not required; applications are reviewed for appropriate advisor matches,"December 15, 2026 at 9:59 p.m. MST",Fall 2027 current application page,80,USD,International applicants have no general departmental waiver; Graduate School program-affiliation waivers may apply,Not verified,Not verified,Program amount not captured; funded offer covers tuition,Covered by the standard PhD assistantship package,Teaching or research assistantship,All admitted PhD students receive a TA or RA offer and the department describes a five-year full-funding commitment,"Five years, conditional on progress and appointment rules","Full-time status, good academic and research progress, and appointment eligibility",International PhD admits are included; TA English requirements may apply,"16,222.92 per fall or spring semester for AY 2025-2026",USD,Tuition covered by TA or RA offer,Fees covered by the offer,91% of health-insurance premium including dental,Not included in the standard academic-year offer; separate summer opportunities exist,Dean's Summer Research Fellowship and external fellowships,Separate and variable; Fall 2027 domestic fee-waiver deadline does not apply to this international applicant,What summer support and current 2027-2028 stipend will the individual offer provide?,pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://www.colorado.edu/cs/academics/graduate-programs/doctor-philosophy,stage3src:c04db4e060870a0d3a9a,stage3src:c632238359da7c57f44a|stage3src:422374bdb0bd4a65186b|stage3src:ace729d53fd55f4d0121,stage3src:422374bdb0bd4a65186b|stage3src:ace729d53fd55f4d0121,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179:program:phd:computer-science-phd,us:ipeds:104179,University of Arizona,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Computer Science PhD,PhD,Research doctoral program culminating in a dissertation,Department of Computer Science,Current; fall admission available,Yes — Graduate College degree admission requires a completed U.S. bachelor's or comparable international degree; no master's prerequisite is published for this PhD,Yes — international applicant route and degree-country requirements are published,English,"International applicants from countries where English is not official must meet current TOEFL, IELTS, PTE, or CEPT rules; the applicant's U.S. degree exemption requires confirmation",3.00 cumulative Graduate College minimum,Applicant cumulative GPA 3.35 exceeds the 3.00 formal minimum,Department-specific CS preparation is holistically reviewed; exact prerequisite list not separately published on the captured page,Departmental committee admission through Graduate College GradApp,No prior supervisor commitment published as required,January 15,Latest current PhD deadline page; calendar year not explicitly printed,90,USD,Graduate College does not provide general waivers; only listed sponsored affiliations may be verified,Separate application required for each program,"Yes, each program application requires a fee",Program amount not captured; assistantship includes tuition waiver,Not separately published,Teaching or research assistantship; fellowships for selected applicants,Enrolled doctoral students making satisfactory progress are guaranteed multi-year funding; 100% of current PhD students are reported funded,Multiple years; exact commitment length is not published,Enrollment and satisfactory degree progress; assistantship appointment conditions apply,International students may hold support; spoken-English requirements apply to TA appointments,Not published on the current department page,USD,Tuition waiver with assistantship,Not separately verified,Student health-insurance cost covered by assistantship,Not separately published,Graduate College Fellowship for top applicants,Not separately published,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://cs.arizona.edu/graduate/prospective-students,stage3src:7c33818f24d791f05028,stage3src:7c33818f24d791f05028|stage3src:5876d56f7e0057928bd1|stage3src:bcc19b6f254fd40fb775|stage3src:2a7ac9574b2203b3976e,stage3src:7c33818f24d791f05028,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:196088:program:phd:computer-science-and-engineering-phd,us:ipeds:196088:program:phd:computer-science-and-engineering-phd,us:ipeds:196088,University at Buffalo,United States,us,advance_to_stage_3,monitor,"The PhD and applicant route are current, but direct admission from a bachelor's depends on Graduate Admissions Committee recommendation and the funding page describes packages only for students designated fully funded; both gates require resolution.",PhD in Computer Science and Engineering,PhD,Specialized original research and dissertation,Department of Computer Science and Engineering,Current; Fall 2026-present handbook listed,"Conditional — first-year students may apply, but direct PhD admission normally follows a master's; some bachelor's entrants are admitted on committee recommendation",Yes — international application and English-proficiency route is published,English,"International applicants whose native language is not English need approved proof; TOEFL 79, IELTS 6.5, DET 120, or listed alternatives, subject to exemptions",Not verified on the captured CSE pages,Applicant-specific formal GPA treatment remains unknown,Relevant CS/CSE background expected; exact checklist not captured,Graduate Admissions Committee; advisor initially assigned after admission,Prior major-professor agreement is not required; an initial advisor is assigned,December 31 for full funding/fellowship consideration,Latest current admissions page; year not explicitly printed,100,USD,No general fee waiver verified,Not verified,Not verified,Package amount not captured; fully funded package includes tuition,Select fees covered only for fully funded assistantship appointments,Assistantship for students designated fully funded,"Fully funded PhD students receive an assistantship on admission, but the official page does not establish that every admit is fully funded",10- or 12-month appointment amounts published; multi-year duration not verified,Depends on receiving a fully funded assistantship appointment,International student fee can be covered for fully funded appointments; health-insurance details depend on employment benefits,"At least 23,690 for 10 months or 30,797 for 12 months",USD,Included for fully funded PhD students,"Comprehensive, academic-excellence, activity, and international-student fees covered for qualifying appointments",International student insurance and employment-benefit interaction must be confirmed,Only a 12-month appointment establishes summer support,PhD Excellence Initiative fee scholarship,December 10 for early scholarship consideration; December 31 for full funding consideration,Will the committee admit this bachelor's applicant directly and issue a fully funded multi-year offer?,pass,resolvable_question,resolvable_inquiry,pass,pass,no,Monitor — Not Faculty-Review Ready,https://engineering.buffalo.edu/computer-science-engineering/graduate/degrees-and-programs/phd-in-computer-science-and-engineering.html,stage3src:7f5e8e0f80a9903223e0,stage3src:021a13b5e4b6b801ecc8|stage3src:4318e6437522db679e70|stage3src:98d0d8d9172e7ab4bcf3,stage3src:98d0d8d9172e7ab4bcf3,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:230764:program:phd:computing-phd,us:ipeds:230764:program:phd:computing-phd,us:ipeds:230764,University of Utah,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Computing PhD,PhD,"Research-focused PhD, typically five years, culminating in dissertation work",Kahlert School of Computing,Current,Yes — PhD assumes completed undergraduate education in computer science or a related field,Yes — dedicated international application fee and TA rules are published,English,University international English rules apply; ITAP clearance is required for international TA work,Not verified on the captured school pages,Formal applicant GPA treatment remains to be checked; no failure established,Completed undergraduate education in CS or a related field is assumed,School-level PhD admission; assistantship/advisor funding mix,"RA availability is faculty-dependent, but no prior supervisor agreement is published as an admission prerequisite","Current admissions page displays December 15, 2027",Displayed date conflicts with Fall 2027 timing and must be clarified; not used as a verified Fall 2027 deadline,65,USD,International PhD merit waivers are limited and separately requested; current posted waiver cycle is stale for Fall 2027,Not verified,Not verified,"Up to approximately 32,000 annually at nonresident rate is waived for supported students",Many fees covered; differential tuition may remain,"Graduate assistantship, research assistantship, teaching assistantship, or fellowship",PhD students receive financial support throughout the graduate career while making good progress,Throughout the PhD while in good progress; typical program length five years,Good progress and qualifying assistantship or fellowship appointment,International students are eligible; TA placement requires ITAP clearance,"13,791 per fall and spring term for 2026-2027; summer RA 9,174 to 18,348",USD,Full tuition and many fees through Tuition Benefit for supported students,Differential tuition may remain student responsibility,"100% health-insurance benefit when paid by the school in fall and spring, including summer",RA summer support ranges by appointment and advisor discretion,Assistantships and fellowships; specific applicant award not verified,International fee-waiver cycle shown is not current for Fall 2027,"What is the correct Fall 2027 deadline, and will the offer specify full first-year appointment and differential-fee coverage?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://www.cs.utah.edu/graduate/academic-programs/ms-and-phd-programs/,stage3src:3440ae4818e59423593f,stage3src:8b628fc18b8fba09095d|stage3src:208beafe18e886621929,stage3src:208beafe18e886621929,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:110680:program:phd:computer-science-and-engineering-phd,us:ipeds:110680:program:phd:computer-science-and-engineering-phd,us:ipeds:110680,University of California-San Diego,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Computer Science and Engineering PhD,PhD,"Doctoral research, qualifying requirements, dissertation, and defense",Department of Computer Science and Engineering,Current; Fall 2027 application open,Yes — bachelor's or equivalent required; an MS is not required,Yes — recognized foreign bachelor's degrees are accepted and international fee rules are published,English,GEPA English proficiency rules apply; TA work has additional spoken-English certification thresholds,3.00 or equivalent,Applicant cumulative GPA 3.35 exceeds the formal 3.00 minimum; admission is highly selective and holistic,"CS, CE, EE, or mathematics bachelor's preferred; other degrees considered with required CSE course equivalents",Departmental committee admission; Fall only,No prior advisor commitment published as required,"December 16, 2026 at 12:00 a.m. PST","Fall 2027 current page, updated September 1, 2026",155,USD,"Limited international PhD waivers; complete application due at least two weeks early and waiver form closes December 2, 2026",Cannot apply to both CSE MS and PhD in the same cycle,Each application to a different department requires a separate fee,"2025-2026 nonresident total registration cost published as 36,475.44; funded PhD support pays fees and nonresident tuition",Included in first-year support package,"Fellowship plus GSR in year one; later GSR, fellowship, or TA",All incoming PhD students receive first-year stipend plus full fees and nonresident tuition; later years are usually advisor GSR or fellowship funded,First year guaranteed; later years typically supported but not stated as universal guarantee,"Continued support depends on advisor, fellowship, or TA appointment and academic progress",International incoming PhD students included; TA work requires spoken-English certification when applicable,Monthly amount not published on the captured page,USD,Full fees and nonresident tuition in first-year package; appointment support pays tuition later,Full fees in first-year package,Graduate health premium paid as part of fees,Not guaranteed on the captured page,Department and external fellowships,"Fee-waiver form closes December 2, 2026; fellowship deadlines vary",What multi-year and summer support will the offer and prospective advisor commit beyond year one?,pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://cse.ucsd.edu/graduate/doctoral-programs-computer-science-and-engineering,stage3src:d3113ae7415a94c63a3f,stage3src:45d781b454f511ffc6ee|stage3src:35222da258d902c48d10|stage3src:174e73d724bbc0de2954,stage3src:174e73d724bbc0de2954,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Computer Science PhD,PhD,"First-year research project, preliminary exam, dissertation research, and defense",Department of Computer Science,Current; accepting 2027 applications,Yes — FAQ explicitly states a master's is not required,Yes — current graduate population and application route include international students,English,TOEFL requirement may be waived only under Graduate School rules and after an email request; applicant must confirm treatment of the completed U.S. degree,No program minimum captured,Holistic review; no formal GPA failure established,Research preparation and graduate-level readiness evaluated holistically,Departmental cohort admission; advisor selected after exploration during first year,Prior advisor commitment is not required,"December 15, 2026",2027 Graduate School deadline table,105,USD,Graduate School waiver restricted to eligible populations and generally U.S. citizens or permanent residents,PhD and MS require separate applications,Separate application fee expected; exact multi-program rule not independently captured,Program amount not captured; funded package includes tuition,Included in full funding package,Graduate fellowship and TA in first two years; advisor research funding from year three,"PhD students in good standing receive full funding including tuition, fees, insurance, and stipend",Five years guaranteed; support often continues when more time is needed,Good standing; later-year advisor research funding is the typical model,International PhD students are included in the program; visa work rules apply,Offer-specific amount not captured,USD,Full tuition,Full fees,Insurance included,Not separately described on the captured page,Graduate School fellowships and departmental support,No separate applicant fellowship deadline captured,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://cs.duke.edu/graduate/phd,stage3src:06a4e497cd1e8ed3f3a4,stage3src:06a4e497cd1e8ed3f3a4|stage3src:899eab0d653d496e25a5|stage3src:a5ac70a60405d624bd14|stage3src:f9fab7e1fea53cf63357|stage3src:d4e7001f87ced1a30c36,stage3src:d4e7001f87ced1a30c36,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:217156:program:phd:computer-science-phd,us:ipeds:217156:program:phd:computer-science-phd,us:ipeds:217156,Brown University,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Computer Science PhD,PhD,"First-year research project, doctoral research, dissertation, and defense",Department of Computer Science,Current; fall entry only,Yes — doctoral application is a direct route and students can earn a master's en route; no prior master's prerequisite is published,Yes — doctoral FAQ explicitly includes international students,English,TOEFL/IELTS required for non-native speakers without a college degree from an English-speaking country; applicant's completed U.S. degree should qualify but must be administratively confirmed,No formal program minimum published,Academic performance is reviewed holistically; no formal GPA failure established,Strong CS and research preparation expected; no fixed prerequisite checklist published on the doctoral page,Departmental cohort admission; advisor selected during first funded year,No advisor is required before entry; specific research interests should be explained,December 15,Current fall-entry deadline; calendar year not explicitly printed,Not verified,USD,Graduate School waiver request route is published; applicant-specific eligibility not verified,Doctoral and master's programs are separate application routes,Not verified,Program amount not captured; full tuition is included in PhD support,Not separately published,Department and university support in year one; advisor funding thereafter,"All PhD students, including international students, receive financial support",Full support while completing the degree; exact guaranteed year count not stated on captured pages,Continued degree progress and advisor arrangements after first year,Explicitly includes international PhD students,Not captured,USD,Full tuition,Not separately verified,Health insurance included,Not separately published,Fellowship eligibility evaluated during application,No separate deadline captured,"What are the exact guaranteed duration, 2027-2028 stipend, summer, and mandatory-fee terms?",pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://cs.brown.edu/degrees/doctoral/,stage3src:3fc1175df78c380cb2a7,stage3src:37dcd0c301880335228f|stage3src:130059c2ccdbdaabf49c,stage3src:3fc1175df78c380cb2a7|stage3src:130059c2ccdbdaabf49c,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
2.0,us:ipeds:234076:program:phd:computer-science-phd,us:ipeds:234076:program:phd:computer-science-phd,us:ipeds:234076,University of Virginia-Main Campus,United States,us,advance_to_stage_3,retained,"The exact research route is current, the applicant meets the verified formal entry gate, and official evidence establishes a credible funding route; offer-specific terms remain explicit.",Ph.D. in Computer Science,PhD,Independent original research and defended dissertation,Department of Computer Science,Applications open for Fall 2027,Yes — a CS bachelor's is not required; strong CS background is expected and no master's prerequisite is published,"Yes — international transcript, test, and I-20 route is published",English,CS page states TOEFL/IELTS waivers are no longer accepted; DET minimum 120 and current Engineering testing rules apply,No fixed CS minimum published,Application evaluated holistically; no formal GPA failure established,Strong CS background including data structures and discrete mathematics,Departmental committee admission; first-year research assistantship supports faculty exploration,Prior supervisor agreement not published as required,"December 15, 2026",Fall 2027 current program page,0,USD,No application fee for any UVA Engineering 2027 graduate application,Not verified,No fee for 2027 Engineering applications; simultaneous-program rule not verified,Program amount not captured; financial-aid package includes tuition,Package includes fees,"First-Year Research Assistantship, followed by advisor RA support",PhD students are usually admitted with a first-year package and are expected to join a research group for later RA support,"First year described; later support expected through research group, not an unconditional multi-year guarantee",Research-group match by end of first year and satisfactory progress,International students are eligible; offer details and visa documentation must be completed,Competitive amount not published on the captured page,USD,Included in described package,Included in described package,Included in described package,Not separately published,UVA fellowships and First-Year Research Assistantship,Not separately published,Will the individual offer guarantee support beyond the first year and specify summer coverage?,pass,pass,pass,pass,pass,yes,Funded Application Candidate,https://engineering.virginia.edu/department/computer-science/academics/graduate-programs/phd-computer-science,stage3src:025e73fb61fc6ad47937,stage3src:025e73fb61fc6ad47937|stage3src:7d041d6901d31342bf18,stage3src:025e73fb61fc6ad47937,high,data/processed/pass2/stage_02_reentry_candidates.csv|data/processed/pass2/stage_02_reentry_sources.csv|data/processed/pass2/candidate_program_funnel.csv|data/raw/pass2/stage_03_reentry_01.json,2026-09-10
