program_id,institution_name,office,email,official_contact_url,recommended_question,checked_date
ror:013meh722:program:phd:phd-in-computer-science,University of Cambridge,Postgraduate admissions,,https://www.cst.cam.ac.uk/admissions/phd,Which 2027 studentship covers full overseas fees plus stipend?,2026-09-09
ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,University College London,Computer Science research admissions,,https://www.ucl.ac.uk/study/prospective-students/graduate/courses/computer-science-mphilphd,Is there an overseas-fee-covering studentship tied to software engineering/LLM reliability?,2026-09-09
ror:041kmwe10:program:phd:phd-in-computing,Imperial College London,Department of Computing PhD admissions,,https://www.imperial.ac.uk/computing/prospective-students/phd/,Which 2027 studentship/research group would nominate this applicant?,2026-09-09
ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,ETH Zurich,D-INFK doctoral administration,,https://inf.ethz.ch/doctorate.html,Will the direct-doctorate admission include an employment contract covering the whole route?,2026-09-09
ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,ETH Zurich,D-INFK doctoral administration,,https://inf.ethz.ch/doctorate.html,Revisit after a qualifying research master's,2026-09-09
ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Saarland University,Saarland Graduate School admissions,,https://www.uni-saarland.de/en/future/computerscience.html,"What additional stipend, insurance, and fee coverage is guaranteed for 2027?",2026-09-09
ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,KU Leuven,Doctoral admissions,,https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,Revisit funded vacancies after master's completion,2026-09-09
ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Aalto University,Doctoral Programme in Science services,,https://www.aalto.fi/en/study-options/aalto-doctoral-programme-in-science,Revisit salaried doctoral vacancies after master's,2026-09-09
ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,University of Helsinki,Doctoral admissions,,https://www.helsinki.fi/en/admissions-and-education/apply-doctoral-programmes,Revisit salaried calls after master's,2026-09-09
ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,KTH Royal Institute of Technology,KTH doctoral recruitment,,https://www.kth.se/en/studies/phd,Monitor only after satisfying second-cycle eligibility,2026-09-09
ror:04qtj9h94:program:phd-requiring-a-master-s:phd-programme-dtu-compute,Technical University of Denmark,DTU Compute,compute@compute.dtu.dk,https://www.compute.dtu.dk/Sections/SofSys,Monitor 2028+ vacancies in software systems/AI engineering,2026-09-09
ror:03z77qz90:program:phd-requiring-a-master-s:phd-in-information-technology-computer-science,University of Tartu,Doctoral admissions,,https://ut.ee/en/curriculum/computer-science,Revisit funded doctoral calls after master's,2026-09-09
ror:036x5ad56:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science-and-computer-engineering,University of Luxembourg,Doctoral School in Science and Engineering,,https://www.uni.lu/research-en/doctoral-education/dsse/computer-engineering/,Monitor future SnT/SVV vacancies after master's,2026-09-09
ror:02e2c7k09:program:phd-requiring-a-master-s:phd-vacancies-in-computer-science-software-engineering,Delft University of Technology,TU Delft recruitment,,https://careers.tudelft.nl/,Monitor 2028+ AI4SE/SERG vacancies after master's,2026-09-09
ror:02tyrky19:program:phd:phd-in-computer-science-and-statistics,Trinity College Dublin,Research admissions,research.admissions@tcd.ie,https://www.tcd.ie/courses/postgraduate/postgraduate-research/engineering-mathematics-and-science/school-of-computer-science-and-statistics/,Will the school confirm a full non-EU stipend/fee award before application?,2026-09-09
ror:05m7pjf47:program:phd:phd-computer-science,University College Dublin,School of Computer Science,computerscience@ucd.ie,https://www.ucd.ie/cs/study/researchdegrees/,"Is the non-EU 'No' field authoritative or a catalogue error, and is full funding available?",2026-09-09
ror:052gg0110:program:phd:dphil-in-computer-science,University of Oxford,Graduate admissions,,https://www.ox.ac.uk/admissions/graduate/courses/dphil-computer-science,Which official 2027 deadline guarantees consideration for overseas-fee-plus-stipend funding?,2026-09-09
ror:01nrxwf90:program:phd:phd-informatics,University of Edinburgh,Informatics postgraduate research admissions,phd-admissions@inf.ed.ac.uk,https://informatics.ed.ac.uk/study-with-us/our-degrees/postgraduate-research-and-cdts/research-degrees,"Will a 2027 award cover GBP 34,800+ overseas fees and full stipend?",2026-09-09
