University,Program,Previous Status,Revised Status,Primary Exclusion Reason,Funding Problem,Eligibility Problem,Fit Problem,Application Economics Problem,Evidence URL,Reconsideration Condition
Washington University in St Louis,Computer Science PhD,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://admin.aprc.wustl.edu/academics/graduate-admissions/index.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Colorado Boulder,Doctor of Philosophy in Computer Science,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,,https://www.colorado.edu/cs/graduate-admissions/faqs,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Massachusetts-Amherst,Computer Science PhD,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,,https://www.cics.umass.edu/academics/academic-policies/graduate-programs-policies/msphd-degree-requirements/other-msphd-program-information,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Minnesota-Twin Cities,PhD in Computer Science,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,,https://cse.umn.edu/cs/graduate-admissions-overview,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Duke University,Computer Science PhD,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.duke.edu/graduate/phd/financial,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Northeastern University,Computer Science PhD,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://devsite.khoury.northeastern.edu/apply/phd-apply/financial-support-for-phd-students/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Johns Hopkins University,Doctor of Philosophy in Computer Science,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,,https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/phd-admissions-faqs/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Northwestern University,Doctor of Philosophy in Computer Science,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,,https://www.mccormick.northwestern.edu/computer-science/resources/student/phd.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Illinois Chicago,PhD in Computer Science,Pass 2 active portfolio,Conditional,Do not apply until the final-60 GPA is calculated and the cycle fee is published.,Guaranteed five-year academic-year funding,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.uic.edu/graduate/admissions/phd/,"Does Mitch's exact final-60-semester-hour GPA meet UIC's 3.50 requirement, and will the Fall 2027 fee reduction recur?"
University of Michigan-Ann Arbor,Computer Science and Engineering PhD,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cse.engin.umich.edu/academics/graduate/admissions/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
