source_id,institution_id,institution_name,program_id,program_or_professor,claim_type,exact_claim_supported,source_title,publisher,publication_date,url,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,access_note
src:99d6335fc9b798a6:1,us:ipeds:211440,Carnegie Mellon University,us:ipeds:211440:program:phd:software-engineering-phd,Software Engineering PhD,Program/admissions/funding/faculty evidence,"Program status, application process, fee waiver, and research scope",Software Engineering PhD,Carnegie Mellon University,,https://se-phd.isri.cmu.edu/,Official program page,Official,2026-09-09,Fall 2027/current,High,Verified,
src:1ac2480100cb20e1:2,us:ipeds:211440,Carnegie Mellon University,us:ipeds:211440:program:phd:software-engineering-phd,Software Engineering PhD,Program/admissions/funding/faculty evidence,Fall 2027 early and final deadlines,SCS Graduate Application,Carnegie Mellon University,,https://admissions.scs.cmu.edu/portal/apply_gr,Official admissions portal,Official,2026-09-09,Fall 2027,High,Verified,
src:a9f19d5ddf0bcbe0:3,us:ipeds:211440,Carnegie Mellon University,us:ipeds:211440:program:phd:software-engineering-phd,Software Engineering PhD,Program/admissions/funding/faculty evidence,Guaranteed tuition and living support for admitted SE PhD students,Prospective Students,Carnegie Mellon University,,https://se-phd.s3d.cmu.edu/Prospective%20Students/index.html,Official funding/program page,Official,2026-09-09,Current,High,Verified,
src:81a9412e7b1dec7b:4,us:ipeds:211440,Carnegie Mellon University,us:ipeds:211440:program:phd:software-engineering-phd,Software Engineering PhD,Program/admissions/funding/faculty evidence,Current appointment and repair/testing research,Claire Le Goues,Carnegie Mellon University,,https://s3d.cmu.edu/people/core-faculty/legoues-claire.html,Official faculty page,Official,2026-09-09,N/A,High,Verified,
src:15a1848afe340cf0:5,us:ipeds:211440,Carnegie Mellon University,us:ipeds:211440:program:phd:software-engineering-phd,Software Engineering PhD,Program/admissions/funding/faculty evidence,Current AI/software-engineering project evidence,Humans in Software Engineering,Carnegie Mellon University,,https://s3d.cmu.edu/news/2026/0728-humans-in-se.html,Official university news,Official,2026-09-09,N/A,High,Verified,
src:17f358713cdb65d3:1,us:ipeds:145637,University of Illinois Urbana-Champaign,us:ipeds:145637:program:phd:computer-science-phd,Computer Science PhD,Program/admissions/funding/faculty evidence,"Active PhD, direct bachelor's entry, 3.40 minimum, and five-year funding model",Computer Science PhD Catalog,University of Illinois Urbana-Champaign,,https://catalog.illinois.edu/graduate/engineering/computer-science-phd/,Official catalog,Official,2026-09-09,Current,High,Verified,
src:9d2e41da1eae92be:2,us:ipeds:145637,University of Illinois Urbana-Champaign,us:ipeds:145637:program:phd:computer-science-phd,Computer Science PhD,Program/admissions/funding/faculty evidence,$90 fee and waiver policy,Completing Your Graduate Application,University of Illinois Urbana-Champaign,,https://grad.illinois.edu/admissions/application-instructions/completing-your-graduate-application,Official admissions page,Official,2026-09-09,Current,High,Verified,
src:718d463010405838:3,us:ipeds:145637,University of Illinois Urbana-Champaign,us:ipeds:145637:program:phd:computer-science-phd,Computer Science PhD,Program/admissions/funding/faculty evidence,"Current appointment, email, and research themes",Lingming Zhang,University of Illinois Urbana-Champaign,,https://siebelschool.illinois.edu/about/people/all-faculty/lingming,Official faculty page,Official,2026-09-09,N/A,High,Verified,
src:32c713753c27c7b1:4,us:ipeds:145637,University of Illinois Urbana-Champaign,us:ipeds:145637:program:phd:computer-science-phd,Computer Science PhD,Program/admissions/funding/faculty evidence,2025 LLM-based software-engineering agents paper,Demystifying LLM-Based Software Engineering Agents,University of Illinois Urbana-Champaign,,https://lingming.cs.illinois.edu/publications/fse2025.pdf,University-hosted scholarly paper,Official,2026-09-09,N/A,High,Verified,
src:0ea4899d7ad4ac1a:1,us:ipeds:139755,Georgia Institute of Technology-Main Campus,us:ipeds:139755:program:phd:computer-science-phd,Computer Science PhD,Program/admissions/funding/faculty evidence,"Fall 2027 deadline, bachelor/equivalent, 3.0 GPA, international rules, and program contact",Computer Science PhD Program Information,Georgia Institute of Technology-Main Campus,,https://gradapp.gatech.edu/portal/program-info?cmd=view-program&program=169bcfc7-d134-ed0b-40e7-12bc93147f9a,Official admissions portal,Official,2026-09-09,Fall 2027,High,Verified,
src:c43a8c959cac54bf:2,us:ipeds:139755,Georgia Institute of Technology-Main Campus,us:ipeds:139755:program:phd:computer-science-phd,Computer Science PhD,Program/admissions/funding/faculty evidence,Active CS PhD program and research scope,PhD in Computer Science,Georgia Institute of Technology-Main Campus,,https://www.cc.gatech.edu/degree-programs/phd-computer-science,Official program page,Official,2026-09-09,Current,High,Verified,
src:3f17c414a1e59781:3,us:ipeds:139755,Georgia Institute of Technology-Main Campus,us:ipeds:139755:program:phd:computer-science-phd,Computer Science PhD,Program/admissions/funding/faculty evidence,$95 domestic/$105 international institute application fee,Graduate Application Information,Georgia Institute of Technology-Main Campus,,https://math.gatech.edu/node/75,Official university page,Official,2026-09-09,Current,Medium,Verified,Fee page is hosted by another Georgia Tech department but states institute-wide fee.
