schema_version,program_id,institution_name,domain,recorded_claim,primary_source_id,primary_url,secondary_source_id,secondary_url,authoritative_source_count,second_source_status,live_access_status,cycle_label,evidence_status,unresolved_question
2.0,us:ipeds:179867:program:phd:computer-science-phd,Washington University in St Louis,program,Computer Science PhD,stage3src:98e07953cd3078105123,https://admin.aprc.wustl.edu/academics/graduate-admissions/deadlines.html,stage3src:1216268966cb16dd5f87,https://admin.aprc.wustl.edu/academics/graduate-admissions/index.html,2,present,request_error,not_applicable,verified_two_source,Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions
2.0,us:ipeds:179867:program:phd:computer-science-phd,Washington University in St Louis,faculty,Umar Iqbal,stage4src:f2e8f4ec253723e3,https://engineering.washu.edu/faculty/,stage4src:cfd5b5e6c7fea570,https://engineering.washu.edu/faculty/Umar-Iqbal.html,3,present,not_checked,not_applicable,verified_two_source,Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions
2.0,us:ipeds:179867:program:phd:computer-science-phd,Washington University in St Louis,funding,School doctoral support,stage3src:1216268966cb16dd5f87,https://admin.aprc.wustl.edu/academics/graduate-admissions/index.html,,,1,not_in_ledger,request_error,not_applicable,verified_single_source,Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions
2.0,us:ipeds:179867:program:phd:computer-science-phd,Washington University in St Louis,eligibility,Yes — McKelvey doctoral admission accepts bachelor's-prepared applicants,stage3src:98e07953cd3078105123,https://admin.aprc.wustl.edu/academics/graduate-admissions/deadlines.html,stage3src:5636251ab9471b4d4092,https://gradadmit.wustl.edu/register/?id=a12c466a-dd5c-4938-9b45-b852d6de86b4,2,present,request_error,not_applicable,verified_two_source,Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions
2.0,us:ipeds:179867:program:phd:computer-science-phd,Washington University in St Louis,deadline,Not verified in frozen evidence,stage3src:98e07953cd3078105123,https://admin.aprc.wustl.edu/academics/graduate-admissions/deadlines.html,,,1,not_in_ledger,request_error,"Current McKelvey page lists December 1 for fall PhD applications, but the reviewed page did not explicitly label Fall 2027",verified_single_source,Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions
2.0,us:ipeds:213543:program:phd:phd-in-computer-science,Lehigh University,program,PhD in Computer Science,stage3src:2e44f9891e72f654af9d,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What duration, summer, insurance, and mandatory-fee terms will Lehigh include in the actual funding offer?"
2.0,us:ipeds:213543:program:phd:phd-in-computer-science,Lehigh University,faculty,Lichao Sun,stage4src:78a6b2fd6db7e97c,https://engineering.lehigh.edu/faculty,stage4src:b86678f7852231ce,https://engineering.lehigh.edu/faculty/lichao-sun,5,present,not_checked,not_applicable,verified_two_source,"What duration, summer, insurance, and mandatory-fee terms will Lehigh include in the actual funding offer?"
2.0,us:ipeds:213543:program:phd:phd-in-computer-science,Lehigh University,funding,"Research assistantship, teaching assistantship, or fellowship",stage3src:2e44f9891e72f654af9d,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What duration, summer, insurance, and mandatory-fee terms will Lehigh include in the actual funding offer?"
2.0,us:ipeds:213543:program:phd:phd-in-computer-science,Lehigh University,eligibility,Bachelor's degree in computer science or a related field is accepted,stage3src:a07d8a11d2f01ac36bfa,https://engineering.lehigh.edu/cse/academics/graduate/admissions,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What duration, summer, insurance, and mandatory-fee terms will Lehigh include in the actual funding offer?"
2.0,us:ipeds:213543:program:phd:phd-in-computer-science,Lehigh University,deadline,"December 15, 2026 for full financial-aid consideration",stage3src:2e44f9891e72f654af9d,https://engineering.lehigh.edu/academics/graduate/phd/phd-computer-science,stage3src:a07d8a11d2f01ac36bfa,https://engineering.lehigh.edu/cse/academics/graduate/admissions,2,present,reachable,Recurring PhD funding-priority deadline; applications open September 1,verified_two_source,"What duration, summer, insurance, and mandatory-fee terms will Lehigh include in the actual funding offer?"
