source_id,institution_id,institution_name,program_id,program_or_professor,claim_type,exact_claim_supported,source_title,publisher,publication_date,url,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,access_note
src:623c93ee018acac6,ror:013meh722,University of Cambridge,ror:013meh722:program:phd:phd-in-computer-science,University of Cambridge,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University of Cambridge — official evidence,University of Cambridge,,https://www.cst.cam.ac.uk/admissions/phd,official program/profile/repository page,official,2026-09-09,official 2027/28 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:32942abe0ed26bc3,ror:013meh722,University of Cambridge,ror:013meh722:program:phd:phd-in-computer-science,University of Cambridge,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University of Cambridge — official evidence,University of Cambridge,,https://www.postgraduate.study.cam.ac.uk/international/competence-english,official program/profile/repository page,official,2026-09-09,official 2027/28 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:08eebda70070ece6,ror:02jx3x895,University College London,ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,University College London,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University College London — official evidence,University College London,,https://www.ucl.ac.uk/study/prospective-students/graduate/courses/computer-science-mphilphd,official program/profile/repository page,official,2026-09-09,official 2027/28 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:587f867a325c4bcc,ror:02jx3x895,University College London,ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,University College London,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University College London — official evidence,University College London,,https://www.ucl.ac.uk/prospective-students/graduate/english-language-requirements,official program/profile/repository page,official,2026-09-09,official 2027/28 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:0a8cc7ffe3124de8,ror:041kmwe10,Imperial College London,ror:041kmwe10:program:phd:phd-in-computing,Imperial College London,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,Imperial College London — official evidence,Imperial College London,,https://www.imperial.ac.uk/computing/prospective-students/phd/,official program/profile/repository page,official,2026-09-09,latest available page; 2027 deadline not published in captured evidence,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:487c81613066983b,ror:041kmwe10,Imperial College London,ror:041kmwe10:program:phd:phd-in-computing,Imperial College London,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,Imperial College London — official evidence,Imperial College London,,https://www.imperial.ac.uk/study/apply/postgraduate-taught/english-language-requirements/,official program/profile/repository page,official,2026-09-09,latest available page; 2027 deadline not published in captured evidence,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:9d492cb7a21bd0d4,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,ETH Zurich,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,ETH Zurich — official evidence,ETH Zurich,,https://inf.ethz.ch/doctorate/direct-doctorate-computer-science.html,official program/profile/repository page,official,2026-09-09,latest official route page,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:6eddf616fcc04b4e,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,ETH Zurich,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,ETH Zurich — official evidence,ETH Zurich,,https://ethz.ch/students/en/doctorate/transferable-skills/languages.html,official program/profile/repository page,official,2026-09-09,latest official route page,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:0e630a37ec6790b9,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,ETH Zurich,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,ETH Zurich — official evidence,ETH Zurich,,https://inf.ethz.ch/doctorate.html,official program/profile/repository page,official,2026-09-09,rolling/position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:6eddf616fcc04b4e,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,ETH Zurich,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,ETH Zurich — official evidence,ETH Zurich,,https://ethz.ch/students/en/doctorate/transferable-skills/languages.html,official program/profile/repository page,official,2026-09-09,rolling/position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
