Priority,University,Program,Department,Contact Name,Contact Role,Official Email,Question to Resolve,Why It Matters,Already Contacted?,Date Contacted,Response,Follow-Up Date,Outcome,Notes
medium,University of Waterloo,MMath in Computer Science (thesis),,Computer Science Graduate Admissions,department/program administration,csadmiss@uwaterloo.ca,Confirm official US-GPA equivalency for 78% and Fall 2027 net international funding.,Eligibility and offer net determine route choice.,,,,,,
low,University of British Columbia,MSc in Computer Science (research),,Graduate Information,department/program administration,grad-info@cs.ubc.ca,Confirm 2027-28 year-two international MSc net after the one-year tuition award.,Year-two net drops materially under 2026-27 schedule.,,,,,,
high,University of Toronto,PhD in Computer Science (PhD U),,Graduate Applications,department/program administration,gradapplications.cs@utoronto.ca,What is the Fall 2027 application deadline once the portal opens?,The official Fall 2027 page has not yet published the date.,,,,,,
high,McGill University,MSc in Computer Science (thesis),,Graduate Program Coordinator,department/program administration,graduate-coordinator.cs@mcgill.ca,"Does every international thesis-MSc offer include a guaranteed net amount after tuition, and for how long?","Public wording says most, not all, MSc students are funded and gives no floor.",,,,,,
high,Concordia University,Master of Computer Science (thesis),,Gina Cody Graduate Admissions,department/program administration,graduate-admission@encs.concordia.ca,What two-year net funding minimum can an international MCompSc thesis offer guarantee?,Supervisor match is mandatory and public funding wording is non-numeric.,,,,,,
high,University of Alberta,MSc in Computing Science (thesis),,Computing Science Graduate Applicants,department/program administration,csapplygrad@ualberta.ca,"Confirm Fall 2027 deadline, direct bachelor eligibility, supervisor process, and guaranteed MSc funding after tuition/fees.",Several hard-gate facts remain unresolved.,,,,,,
medium,University of Saskatchewan,MSc in Computer Science (thesis),,Computer Science Graduate Program,department/program administration,gradprogram@cs.usask.ca,Which funding-source GPA condition applies and will 2027-28 preserve the international tuition offset?,The page notes some sources require 80% at admission.,,,,,,
high,University of Victoria,MSc in Computer Science (thesis),,Computer Science Graduate Secretary,department/program administration,cscgsec@uvic.ca,Is there a guaranteed two-year net funding minimum for an international thesis MSc?,A package is normally included but no floor/duration was found.,,,,,,
high,Queen's University,MSc in Computing (research pattern),,School of Graduate Studies and Postdoctoral Affairs,department/program administration,sgspa.reception@queensu.ca,Does the applicant's East Texas A&M record meet Queen's published international A/first-class equivalency?,Eligibility is the controlling gate; no application should be paid before clarification.,,,,,,
high,University of Calgary,PhD in Computer Science (without completed MSc),,Science Student Centre,department/program administration,sci.grad@ucalgary.ca,"For PhD entry without an MSc, is year five funded and what is net support after all tuition/mandatory fees?",The program expects five years but the public guarantee is four.,,,,,,
,University of Cambridge,,,,,,,,,,,,,
,University College London,,,,,,,,,,,,,
,Imperial College London,,,,,,,,,,,,,
,ETH Zurich,,,,,,,,,,,,,
,ETH Zurich,,,,,,,,,,,,,
,Saarland University,,,,,,,,,,,,,
,KU Leuven,,,,,,,,,,,,,
,Aalto University,,,,,,,,,,,,,
,University of Helsinki,,,,,,,,,,,,,
,KTH Royal Institute of Technology,,,,,,,,,,,,,
,Technical University of Denmark,,,,,,,,,,,,,
,University of Tartu,,,,,,,,,,,,,
,University of Luxembourg,,,,,,,,,,,,,
,Delft University of Technology,,,,,,,,,,,,,
,Trinity College Dublin,,,,,,,,,,,,,
,University College Dublin,,,,,,,,,,,,,
,University of Oxford,,,,,,,,,,,,,
,University of Edinburgh,,,,,,,,,,,,,
,Carnegie Mellon University,Software Engineering PhD,,SCS Graduate Admissions,Admissions office,,Confirm exact 2027 stipend and health/fee components in an offer,,,,,,,
,University of Illinois Urbana-Champaign,Computer Science PhD,,Siebel Graduate Admissions,Program admissions,grad-admissions@siebelschool.illinois.edu,Whether the school would authorize a rare GPA exception based on recent-two-year performance,,,,,,,
,Georgia Institute of Technology-Main Campus,Computer Science PhD,,Theresa Nash,Academic program contact,ic-academics@cc.gatech.edu,"Will a Fall 2027 CS PhD offer guarantee tuition, stipend, insurance, and duration?",,,,,,,
,The University of Texas at Austin,Computer Science PhD,,CS Graduate Admissions,Program admissions,csadmis@cs.utexas.edu,Confirm that any offer contains a five-year minimum-support commitment,,,,,,,
,University of California-Irvine,Software Engineering PhD,,ICS Graduate Counselors,Program advising,gcounsel@ics.uci.edu,"Will the admission offer guarantee multi-year tuition, stipend, health, and summer support?",,,,,,,
,Virginia Polytechnic Institute and State University,Computer Science PhD,,CS Graduate Program,Program admissions,gradinfo@cs.vt.edu,What summer-support expectation applies after year one?,,,,,,,
,George Mason University,Computer Science PhD,,CS Graduate Program,Program admissions,,"Will Fall 2027 admission include guaranteed tuition, stipend, health, and duration?",,,,,,,
,North Carolina State University at Raleigh,Computer Science PhD,,CSC Graduate Program,Program admissions,csc-gradoffice@ncsu.edu,Would the named faculty member have funded Fall 2027 openings and can the department guarantee baseline support?,,,,,,,
,Pennsylvania State University-Main Campus,Computer Science and Engineering PhD,,EECS Graduate Office,Program admissions,,Can CSE provide a written multi-year minimum-support commitment for Fall 2027?,,,,,,,
,Oregon State University,Computer Science PhD,,EECS Graduate Information,Program admissions,eecs.gradinfo@oregonstate.edu,"Is every admitted CS PhD guaranteed tuition, stipend, health, and a minimum duration?",,,,,,,
,University of Massachusetts-Amherst,Computer Science PhD,,CICS Graduate Admissions,Program admissions,grad-info@cs.umass.edu,Confirm the Fall 2027 offer's summer and insurance/fee details,,,,,,,
,University of Maryland-College Park,Computer Science PhD,,CS Graduate Application Support,Application support,gradappsupport@umd.edu,Does the Fall 2027 offer guarantee summer support and how many years?,,,,,,,
