existing_calendar_school,previous_category,survived_new_audit,new_status,change,reason,contradictory_calendar_instructions
Carnegie Mellon University,Previously considered,Yes,Survived — Core,Retained,Extremely selective admission,Preserved as prior context; current source-backed audit controls the recommendation.
Washington University in St. Louis,Reach,Yes,Survived — Core,Retained,"Exact fee, support duration, and cycle-labeled Fall 2027 deadline were not all present on one official page",Preserved as prior context; current source-backed audit controls the recommendation.
Vanderbilt University,PhD outreach,Yes,Survived — Core,Retained,Competitive admission and exact summer/duration terms should be read in offer,Preserved as prior context; current source-backed audit controls the recommendation.
Case Western Reserve University,PhD outreach,Yes,Survived — Reserve,Retained,Could be admitted without full support,Preserved as prior context; current source-backed audit controls the recommendation.
University of Notre Dame,PhD outreach,Yes,Survived — Core,Retained,Funding language says 'generally supported' rather than an unconditional admission guarantee,Preserved as prior context; current source-backed audit controls the recommendation.
Rochester Institute of Technology,PhD outreach,Yes,Survived — Core,Retained,Baseline funding uses 'typically' and cycle deadline is not explicitly labeled Fall 2027,Preserved as prior context; current source-backed audit controls the recommendation.
Northeastern University,PhD fit and fee waiver,Yes,Survived — Core,Retained,Application fee and Fall 2027 cycle date were not yet explicit,Preserved as prior context; current source-backed audit controls the recommendation.
Montana State University,Funded PhD outreach,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Lehigh University,PhD outreach,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Texas Tech University,Faculty-funding required,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Texas at Arlington,Faculty and funding fit,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Toledo,Conditional faculty and funding,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Michigan Technological University,Direct-funded PhD fit,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Nebraska-Lincoln,Funding inquiry,No,Outreach Before Decision,Downgraded or removed,Direct-from-bachelor wording and multi-year full funding remain insufficiently verified,Preserved as prior context; current source-backed audit controls the recommendation.
University of Virginia,Reach,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
