institution_id,institution_name,country,program_id,program_name,stage_of_exclusion,primary_exclusion_reason,supporting_evidence,source_url,confidence,manual_verification,date_checked
ca:dli:O19332746152,University of Toronto,Canada,ca:dli:O19332746152:program:unclear:msc-in-computer-science,MSc in Computer Science,deep route comparison,Do not apply as an international applicant,Official FAQ says international applicants are not considered for MSc and should apply to PhD-U.,https://web.cs.toronto.edu/graduate/faq,high,yes; official page reviewed,2026-09-09
ca:dli:O19330231062,University of British Columbia,Canada,ca:dli:O19330231062:program:unclear:standard-phd-in-computer-science,Standard PhD in Computer Science,deep route comparison,Not direct bachelor route,Official eligibility page says standard direct PhD entry normally expects a master's; PhD Track is the bachelor-entry mechanism.,https://www.cs.ubc.ca/students/grad/admissions/eligibility,high,yes; official page reviewed,2026-09-09
ca:dli:O19359011033,McGill University,Canada,ca:dli:O19359011033:program:unclear:phd-in-computer-science-phd1-direct-entry-exception,PhD in Computer Science (PhD1 direct-entry exception),deep route comparison,Deprioritized: published exceptional threshold conflicts with current GPA,2026-27 catalogue says direct PhD1 may consider outstanding bachelor applicants with extensive research and minimum 3.7/4.0; use thesis MSc instead.,https://www.mcgill.ca/students/courses/files/students.courses/graduate_course_catalogue_26-27.pdf,high,yes; official page reviewed,2026-09-09
ca:dli:O19359011007,Concordia University,Canada,ca:dli:O19359011007:program:unclear:phd-in-computer-science,PhD in Computer Science,deep route comparison,Standard route requires master's; bachelor holders generally enter MSc,"Current program page states master's or equivalent for PhD and bachelor holders are generally considered only for master's, with later fast-track possible.",https://www.concordia.ca/academics/graduate/computer-science-phd.html,high,yes; official page reviewed,2026-09-09
ca:dli:O19257171832,University of Alberta,Canada,ca:dli:O19257171832:program:unclear:phd-in-computing-science,PhD in Computing Science,deep route comparison,Direct bachelor eligibility and current funding floor not verified,"Official materials confirm the PhD exists, but this bounded pass did not verify a current direct-entry rule or numeric department guarantee; MSc remains investigation route.",https://www.ualberta.ca/en/admissions/media-library/ua_viewbook_graduate-studies_2026-27_web.pdf,medium,yes; official page reviewed,2026-09-09
ca:dli:O19425660421,University of Saskatchewan,Canada,ca:dli:O19425660421:program:unclear:phd-in-computer-science,PhD in Computer Science,deep route comparison,Requires master's for direct application,Current official program page lists a master's degree or equivalent as the PhD admission requirement.,https://grad.usask.ca/programs/computer-science.php,high,yes; official page reviewed,2026-09-09
ca:dli:O19280533442,University of Victoria,Canada,ca:dli:O19280533442:program:unclear:phd-in-computer-science,PhD in Computer Science,deep route comparison,Deprioritized direct-bachelor exception due academic threshold,UVic central rules normally require master's; bachelor applicants may only be considered with A- equivalent in final two years; MSc is the safer route.,https://www.uvic.ca/graduate/admissions/admission-requirements/index.php,high,yes; official page reviewed,2026-09-09
ca:dli:O19376023352,Queen's University,Canada,ca:dli:O19376023352:program:unclear:phd-in-computing,PhD in Computing,deep route comparison,Requires master's,2027-28 admissions page lists master's degree and minimum A standing for PhD.,https://www.cs.queensu.ca/apply/graduate.php,high,yes; official page reviewed,2026-09-09
ca:dli:O19376023352,Queen's University,Canada,ca:dli:O19376023352:program:unclear:msc-in-computing-research-pattern,MSc in Computing (research pattern),deep route comparison,Downgraded for eligibility concern,2027-28 official page requires international applicants to have minimum A/first-class standing; applicant cumulative GPA is approximately 3.35.,https://www.cs.queensu.ca/apply/graduate.php,high,yes; official page reviewed,2026-09-09
ca:dli:O18886830282,University of Calgary,Canada,ca:dli:O18886830282:program:unclear:msc-in-computer-science-thesis,MSc in Computer Science (thesis),deep route comparison,"Alternate, not excluded",MSc remains a funded two-year alternate if the direct PhD's fifth-year funding gap or route competitiveness is unacceptable.,https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,high,yes; official page reviewed,2026-09-09
