institution_id,institution_name,alternate_names,country,region,institution_type,recognition_status,active_status,official_website,source_database,dataset_release,access_date,graduate_degree_authority,relevant_graduate_field_signal,screening_status,exclusion_reason,ror_id,ipeds_unitid,eter_id,dli_number,manual_verification,notes
ca:dli:O18760756062,Alberta University of the Arts,Alberta University of the Arts,Canada,Canada — Alberta,Public institution,CICIC Recognized (Public university),current,https://www.auarts.ca,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),Negative specialty/title screen; a manual catalog audit is still recommended.,no_relevant_graduate_field,Official institutional scope is art and design; no computing research graduate degree identified.,https://ror.org/00mn36586,,,O18760756062,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 1 IRCC campus rows. Cities: Calgary. CICIC match score=1.000; ROR match score=1.000.
ca:dli:O19092373272,Athabasca University,Athabasca University,Canada,Canada — Alberta,Public institution,CICIC Recognized (Public university),current,https://www.athabascau.ca,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),No verified positive research-program signal in this bounded mechanical pass; no negative conclusion drawn.,indexed,,https://ror.org/01y3xgc52,,,O19092373272,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 2 IRCC campus rows. Cities: Athabasca | Edmonton. CICIC match score=1.000; ROR match score=1.000.
ca:dli:O19073475522,Concordia University of Edmonton,Concordia University of Edmonton,Canada,Canada — Alberta,Public institution,CICIC Authorized (Non-profit university),current,https://concordia.ab.ca/,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),No verified positive research-program signal in this bounded mechanical pass; no negative conclusion drawn.,indexed,,https://ror.org/04013rx15,,,O19073475522,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 1 IRCC campus rows. Cities: Edmonton. CICIC match score=0.889; ROR match score=1.000.
ca:dli:O18713227822,Olds College,Olds College,Canada,Canada — Alberta,Public institution,Current IRCC public graduate DLI; exact CICIC name match unresolved,current,https://www.oldscollege.ca,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),No verified positive research-program signal in this bounded mechanical pass; no negative conclusion drawn.,indexed,,https://ror.org/04rxjcv17,,,O18713227822,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 3 IRCC campus rows. Cities: Calgary | Edmonton | Olds. CICIC match score=0.643; ROR match score=1.000.
ca:dli:O19257171832,University of Alberta,University of Alberta,Canada,Canada — Alberta,Public institution,CICIC Recognized (Public university),current,https://www.ualberta.ca,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),"Relevant program seed found, but the official page was blocked or lacked the required mechanical signals.",indexed,,https://ror.org/0160cpw27,,,O19257171832,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 2 IRCC campus rows. Cities: Camrose | Edmonton. CICIC match score=1.000; ROR match score=1.000.
ca:dli:O18886830282,University of Calgary,University of Calgary,Canada,Canada — Alberta,Public institution,CICIC Recognized (Public university),current,https://www.ucalgary.ca,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),Official page verifies a research/thesis route: MSc in Computer Science (thesis).,preliminary_fit,,https://ror.org/03yjb2x39,,,O18886830282,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 1 IRCC campus rows. Cities: Calgary. CICIC match score=1.000; ROR match score=1.000.
ca:dli:O18776949622,University of Lethbridge,University of Lethbridge,Canada,Canada — Alberta,Public institution,CICIC Recognized (Public university),current,https://www.ulethbridge.ca,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),Official page verifies a research/thesis route: MSc in Computer Science.,preliminary_fit,,https://ror.org/044j76961,,,O18776949622,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 2 IRCC campus rows. Cities: Calgary | Lethbridge. CICIC match score=1.000; ROR match score=1.000.
ca:dli:O19330128542,British Columbia Institute of Technology,British Columbia Institute of Technology,Canada,Canada — British Columbia,Public institution,Current IRCC public graduate DLI; exact CICIC name match unresolved,current,,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),No verified positive research-program signal in this bounded mechanical pass; no negative conclusion drawn.,indexed,,,,,O19330128542,Complete for federal graduate-DLI flag; required for unresolved name/program screens,"Collapsed 1 IRCC campus rows. Cities: Burnaby, North Vancouver, Richmond, Vancouver. CICIC match score=0.694; ROR match score=0.700."
ca:dli:O19361259712,Emily Carr University of Art and Design,Emily Carr University of Art and Design,Canada,Canada — British Columbia,Public institution,CICIC Recognized (Public university),current,,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),Negative specialty/title screen; a manual catalog audit is still recommended.,no_relevant_graduate_field,Official institutional scope is art and design; no computing research graduate degree identified.,,,,O19361259712,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 1 IRCC campus rows. Cities: Vancouver. CICIC match score=1.000; ROR match score=0.646.
ca:dli:O19330635812,Royal Roads University,Royal Roads University,Canada,Canada — British Columbia,Public institution,CICIC Recognized (Public university),current,https://www.royalroads.ca,IRCC DLI + CICIC live directory + ROR v2 cross-reference,IRCC page modified 2026-09-01; CICIC live directory; ROR API v2,2026-09-09,Verified by IRCC public-DLI graduate-program flag (master's/doctorate degree programs),No verified positive research-program signal in this bounded mechanical pass; no negative conclusion drawn.,indexed,,https://ror.org/05w4ste42,,,O19330635812,Complete for federal graduate-DLI flag; required for unresolved name/program screens,Collapsed 1 IRCC campus rows. Cities: Victoria. CICIC match score=1.000; ROR match score=1.000.
