schema_version,professor_id,professor_name,institution_name,program_id,program_name,degree_scope,recorded_recruiting_evidence,source_id,source_url,live_access_status,recheck_status,unresolved_question
2.0,ca:dli:O19394569014:faculty:robson-de-grande,Robson De Grande,Brock University,ca:dli:O19394569014:program:thesis-or-research-master-s:computer-science-msc-thesis-stream,Computer Science MSc — Thesis Stream,program_specific,"De Grande's current university-hosted page explicitly says he is continually looking for motivated MSc students and invites contact, subject to Brock deadlines and rules.",stage4src:f5a357453b51a07b,https://www.cosc.brocku.ca/~rdegrande/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19359011007:faculty:mourad-debbabi,Mourad Debbabi,Concordia University,ca:dli:O19359011007:program:thesis-or-research-master-s:cybersecurity-engineering-masc,Cybersecurity Engineering (MASc),program_specific,"The current profile says accepting inquiries, and Concordia currently advertises multiple PhD and MASc Security Research Centre positions with direct application instructions to Debbabi and collaborators.",stage4src:a64513e5abb85f6e,https://www.concordia.ca/ginacody/about/jobs/graduate/phd-masc-information-systems-security.html,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19359011007:faculty:shin-hwei-tan,Shin Hwei Tan,Concordia University,ca:dli:O19359011007:program:thesis-or-research-master-s:software-engineering-masc,Master of Applied Science in Software Engineering,program_specific,The current official Concordia profile explicitly labels Tan as a thesis supervisor Seeking students and lists Software Engineering (MASc) among the supervised programs,stage4src:97f9e4836b691b49,https://www.concordia.ca/faculty/shinhwei-tan.html,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19395535729:faculty:richard-paige,Richard Paige,McMaster University,ca:dli:O19395535729:program:thesis-or-research-master-s:software-engineering-masc,Master of Applied Science in Software Engineering,master_only,"The current official faculty profile says Paige supervises McMaster master's students and is actively looking for students in modeling, safety, security, and software engineering",stage4src:0863c59d05266b90,https://www.eng.mcmaster.ca/cas/faculty/dr-richard-paige/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19315945002:faculty:kundi-yao,Kundi Yao,Ontario Tech University,ca:dli:O19315945002:program:thesis-or-research-master-s:software-engineering-masc,Master of Applied Science in Software Engineering,master_only,"Yao's current author page explicitly says she is looking for self-motivated master's students and asks prospective students to email a CV, transcripts, and publications",stage4src:b0dacf36304b4182,https://kdyao.github.io/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O18781994282:faculty:saba-alimadadi,Saba Alimadadi,Simon Fraser University,ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,Master of Science in Computing Science — Thesis Option,program_specific,Current official SFU-hosted profile says she is always looking for graduate students and gives contact instructions,stage4src:a165e227be929c31,https://www.sfu.ca/~saba/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O18781994282:faculty:zhenman-fang,Zhenman Fang,Simon Fraser University,ca:dli:O18781994282:program:thesis-or-research-master-s:master-of-applied-science-in-engineering-science,Master of Applied Science in Engineering Science,program_specific,"Fang's SFU-hosted page explicitly invites PhD and MASc applicants to the HiAccel lab and states that Canadian master's research is funded, while noting preference for PhD students; Fall 2027 capacity requires confirmation.",stage4src:6d91c1c578e0995c,https://www.sfu.ca/~zhenman/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19391556899:faculty:taylor-j-smith,Taylor J. Smith,St. Francis Xavier University,ca:dli:O19391556899:program:thesis-or-research-master-s:master-of-science-in-computer-science,Master of Science in Computer Science,master_only,The live FLAReLab page explicitly states that openings are available for graduate students applying to the StFX Master of Science program and directs prospects to read the information sheet and make contact.,stage4src:afcdd8011ec358c4,https://people.stfx.ca/tjsmith/lab/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19305391192:faculty:wenjing-zhang,Wenjing Zhang,University of Guelph,ca:dli:O19305391192:program:phd:phd-in-computer-science,Doctor of Philosophy in Computer Science,program_specific,"The live official Guelph profile marks graduate, undergraduate, and postdoctoral positions as available; the School separately instructs thesis PhD applicants to secure a Graduate Faculty advisor.",stage4src:93b92993dc70a166,https://www.uoguelph.ca/profile/wenjing-zhang,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19305471522:faculty:patrick-lam,Patrick Lam,University of Waterloo,ca:dli:O19305471522:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,Master of Applied Science in Electrical and Computer Engineering,program_specific,Lam's current official ECE profile says he is seeking to accept graduate students and instructs applicants to name him in the formal application,stage4src:f0d67f8b9eb6b846,https://uwaterloo.ca/electrical-computer-engineering/profile/p23lam,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
