University,Program,Program ID,Contradiction Direction,Stage 3 Funding Gate,Stage 5 Funding Gate,Pass 2.1 Funding Decision,Exact Reviewed Claim,Decision Rationale,Official Funding URL,Information Cycle,Access Date,Verification Status
Trent University,MSc in Applied Modelling and Quantitative Methods — Thesis Stream,ca:dli:O19395164223:program:thesis-or-research-master-s:msc-in-applied-modelling-and-quantitative-methods-thesis-stream,Stage 3 inquiry → Stage 5 pass,resolvable_inquiry,true,Conditional,"Eligible full-time research master's students are guaranteed a published package range, but international net sufficiency is unresolved","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.trentu.ca/graduatestudies/funding-tuition/funding,Recurring fall close date checked 2026-09-11; reconfirm for Fall 2027,2026-09-11,Manual claim-level review; no keyword classification
Rice University,Doctor of Philosophy in Computer Science,us:ipeds:227757:program:phd:ph-d-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,Full support commitment for Computer Science PhD students,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://compsci.rice.edu/academics/graduate-programs/graduate-admission,Explicit Fall 2027 PhD deadline checked 2026-09-10,2026-09-11,Manual claim-level review; no keyword classification
Baylor University,Doctor of Philosophy in Computer Science,us:ipeds:223232:program:phd:ph-d-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,Credible program-level support package; not an applicant-specific offer,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://www.ecs.baylor.edu/students-academics/degree-programs/graduate/phd-cs,Current recurring deadline checked 2026-09-10; target-year confirmation required,2026-09-11,Manual claim-level review; no keyword classification
Boston University,PhD in Computer Science,us:ipeds:164988:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Pass,"Charles River Campus PhD students in good standing are guaranteed five years of stipend support, full tuition scholarship, and a health-insurance credit","Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://www.bu.edu/cs/phd-program/admissions/,Explicit Fall 2027 Computer Science PhD deadline,2026-09-11,Manual claim-level review; no keyword classification
North Carolina State University at Raleigh,Computer Science PhD,us:ipeds:199193:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Pass,"Current official policy promises tuition, individual health insurance, and stipend for four years to every fall PhD admit requesting aid; fees, summers, year five, and adviser transition remain unresolved.","Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://csc.ncsu.edu/academics/graduate/phd/,"Current CS page lists December 15 for fall PhD admission, but the reviewed page did not label Fall 2027",2026-09-11,Manual claim-level review; no keyword classification
University of Rochester,PhD Program in Computer Science,us:ipeds:195030:program:phd:phd-program-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,The department states that PhD students in good standing receive full support,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://www.cs.rochester.edu/graduate/phd-program.html,Latest published Fall 2026 cycle; Fall 2027 must be rechecked,2026-09-11,Manual claim-level review; no keyword classification
William & Mary,Computer Science PhD,us:ipeds:231624:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Conditional,All admitted full-time PhD and MS/PhD students receive a stipend and full tuition waiver,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://cdsp.wm.edu/admissions/graduate/computer-science/,"Current page lists February 15 funding priority, March 15 international/visa, June 1 other; Fall 2027 not explicitly labeled",2026-09-11,Manual claim-level review; no keyword classification
Rensselaer Polytechnic Institute,Ph.D. in Computer Science,us:ipeds:194824:program:phd:ph-d-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Most CS graduate students receive tuition-and-stipend support that the department describes as guaranteed for the PhD duration,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://compsci.rpi.edu/programs/phd-computer-science,Current program page checked 2026-09-11; Fall 2027 cycle must be reconfirmed,2026-09-11,Manual claim-level review; no keyword classification
Vanderbilt University,Computer Science PhD,us:ipeds:221999:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Pass,"CS PhD students receive stipend, full tuition waiver, and health insurance; continuation depends on academic/research progress","Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://computing.vanderbilt.edu/csphd/,"Official Fall 2027 engineering admissions page; December 1, 2026 is the fee-waiver priority date.",2026-09-11,Manual claim-level review; no keyword classification
Drexel University,PhD in Computer Science,us:ipeds:212054:program:phd:phd-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,All PhD students are stated to be fully supported,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://drexel.edu/cci/admissions/doctoral/,Latest published doctoral cycle checked 2026-09-11; Fall 2027 deadline requires reconfirmation,2026-09-11,Manual claim-level review; no keyword classification
