institution_id,institution_name,program_id,program_name,priority,contact_name,contact_role,official_email,question_to_resolve,why_it_matters,official_url,date_accessed
ca:dli:O19305471522,University of Waterloo,ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,MMath in Computer Science (thesis),medium,Computer Science Graduate Admissions,department/program administration,csadmiss@uwaterloo.ca,Confirm official US-GPA equivalency for 78% and Fall 2027 net international funding.,Eligibility and offer net determine route choice.,https://uwaterloo.ca/future-graduate-students/programs/by-faculty/math/computer-science-master-math-mmath,2026-09-09
ca:dli:O19330231062,University of British Columbia,ca:dli:O19330231062:program:thesis-or-research-master-s:msc-in-computer-science-research,MSc in Computer Science (research),low,Graduate Information,department/program administration,grad-info@cs.ubc.ca,Confirm 2027-28 year-two international MSc net after the one-year tuition award.,Year-two net drops materially under 2026-27 schedule.,https://www.cs.ubc.ca/students/grad/admissions/application-components-required-documents/online-application,2026-09-09
ca:dli:O19332746152,University of Toronto,ca:dli:O19332746152:program:direct-entry-phd:phd-in-computer-science-phd-u,PhD in Computer Science (PhD U),high,Graduate Applications,department/program administration,gradapplications.cs@utoronto.ca,What is the Fall 2027 application deadline once the portal opens?,The official Fall 2027 page has not yet published the date.,https://web.cs.toronto.edu/msc-phd-info-sessions,2026-09-09
ca:dli:O19359011033,McGill University,ca:dli:O19359011033:program:thesis-or-research-master-s:msc-in-computer-science-thesis,MSc in Computer Science (thesis),high,Graduate Program Coordinator,department/program administration,graduate-coordinator.cs@mcgill.ca,"Does every international thesis-MSc offer include a guaranteed net amount after tuition, and for how long?","Public wording says most, not all, MSc students are funded and gives no floor.",https://www.cs.mcgill.ca/graduate/contact/contactinfo/,2026-09-09
ca:dli:O19359011007,Concordia University,ca:dli:O19359011007:program:thesis-or-research-master-s:master-of-computer-science-thesis,Master of Computer Science (thesis),high,Gina Cody Graduate Admissions,department/program administration,graduate-admission@encs.concordia.ca,What two-year net funding minimum can an international MCompSc thesis offer guarantee?,Supervisor match is mandatory and public funding wording is non-numeric.,https://www.concordia.ca/gradstudies/future-students/how-to-apply/programs-with-additional-requirements.html,2026-09-09
ca:dli:O19257171832,University of Alberta,ca:dli:O19257171832:program:thesis-or-research-master-s:msc-in-computing-science-thesis,MSc in Computing Science (thesis),high,Computing Science Graduate Applicants,department/program administration,csapplygrad@ualberta.ca,"Confirm Fall 2027 deadline, direct bachelor eligibility, supervisor process, and guaranteed MSc funding after tuition/fees.",Several hard-gate facts remain unresolved.,https://www.ualberta.ca/en/admissions/media-library/ua_viewbook_graduate-studies_2026-27_web.pdf,2026-09-09
ca:dli:O19425660421,University of Saskatchewan,ca:dli:O19425660421:program:thesis-or-research-master-s:msc-in-computer-science-thesis,MSc in Computer Science (thesis),medium,Computer Science Graduate Program,department/program administration,gradprogram@cs.usask.ca,Which funding-source GPA condition applies and will 2027-28 preserve the international tuition offset?,The page notes some sources require 80% at admission.,https://grad.usask.ca/programs/computer-science.php,2026-09-09
ca:dli:O19280533442,University of Victoria,ca:dli:O19280533442:program:thesis-or-research-master-s:msc-in-computer-science-thesis,MSc in Computer Science (thesis),high,Computer Science Graduate Secretary,department/program administration,cscgsec@uvic.ca,Is there a guaranteed two-year net funding minimum for an international thesis MSc?,A package is normally included but no floor/duration was found.,https://www.uvic.ca/graduate/programs/graduate-programs/credential-pages/computer-science-msc/computer-science-msc.php,2026-09-09
ca:dli:O19376023352,Queen's University,ca:dli:O19376023352:program:thesis-or-research-master-s:msc-in-computing-research-pattern,MSc in Computing (research pattern),high,School of Graduate Studies and Postdoctoral Affairs,department/program administration,sgspa.reception@queensu.ca,Does the applicant's East Texas A&M record meet Queen's published international A/first-class equivalency?,Eligibility is the controlling gate; no application should be paid before clarification.,https://www.queensu.ca/grad-postdoc/grad-studies/apply,2026-09-09
ca:dli:O18886830282,University of Calgary,ca:dli:O18886830282:program:direct-entry-phd:phd-in-computer-science-without-completed-msc,PhD in Computer Science (without completed MSc),high,Science Student Centre,department/program administration,sci.grad@ucalgary.ca,"For PhD entry without an MSc, is year five funded and what is net support after all tuition/mandatory fees?",The program expects five years but the public guarantee is four.,https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,2026-09-09
