draft_id,manual_read_through,natural_grammar,review_note,reviewed_at
draft:75d13e4ed8625c8e,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:bf5a46650c55dd83,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:678c0551b2ede4a0,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:c59add4628bc4389,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:f620bb90976ed57d,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:a10833e47394daa6,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:2ada73da70c42cdb,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:9cf7e4f5fd05534f,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:7daf27b70f06841b,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:73f4d5b3844a1b66,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:5c1070d904f610fd,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
draft:9e1f9d1b78fd31a5,yes,yes,"Concise, factual, one decision-relevant question, exact signoff",2026-09-11
