program_id,institution_id,institution_name,country,program_name,degree_type,department,official_program_url,thesis_dissertation_requirement,research_credit_requirement,research_groups_labs,direct_from_bachelors_eligible,international_student_eligible,language_of_instruction,current_program_status,preliminary_fit,screening_decision,exclusion_reason,minimum_gpa,minimum_gpa_policy,prerequisite_coursework,gre_policy,english_requirement_waiver,fall_2027_deadline,deadline_cycle_status,application_fee,fee_currency,fee_waiver_rules,multiple_applications_allowed,separate_fees_required,admissions_model,faculty_contact_expectation,funding_model,funding_status,stipend_amount,stipend_currency,funding_duration_years,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_funding,funding_conditions,supervisor_dependent_funding,phd_funding,masters_funding,scholarships_fellowships,professor_fit_score,faculty_depth_score,research_fit_score,funding_score,eligibility_score,degree_admissions_score,application_economics_score,overall_score,admission_plausibility,recommendation,final_decision,biggest_risk,unresolved_question,single_professor_dependency,verification_status,notes
ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,ca:dli:O19305471522,University of Waterloo,Canada,MMath in Computer Science (thesis),Thesis or research master's,Computer Science,https://uwaterloo.ca/future-graduate-students/programs/by-faculty/math/computer-science-master-math-mmath,Admission is only to the thesis option; four graduate courses plus thesis,Thesis plus four one-term graduate CS courses,Software Engineering Research Group; Software REBELs,yes; honours bachelor in CS/engineering or equivalent,yes,English,Active on current official page,yes,retained,,78% standing,Published program minimum; cross-system conversion for a US GPA is not supplied,"Honours bachelor in computer science or engineering, or equivalent",Not listed as required on the official program page,Proof if applicable; US-degree waiver not independently verified in this pass,December 1 (recurring annual rule),Official page gives December 1 for September of the following year; not explicitly labeled Fall 2027; recheck when the cycle opens.,150,CAD,No program-specific waiver found; recheck central policy,Separate program selections are possible,yes; fee is per program,Hybrid department review plus supervisor match before acceptance,Not required; advised to establish contact,TA plus Graduate Research Studentship and awards,Guaranteed package for full-time MMath within program time limits,51990 total first-year international package (Fall 2026 rate),CAD,2,Package is designed with tuition component; verify net offer,Not stated as fully covered,Not separately verified,Funding schedule spans academic year; exact summer composition not isolated,"Full-time, satisfactory academic progress, assigned duties, within program time limits",partly; GRS depends on supervisor funding,Full-time PhD package published separately,"Full-time MMath package published; Fall 2026 international year-one total $51,990",International Master's Award of Excellence and other awards may form package,28,14,42,24,12,9,3,90,Plausible to reach,Likely Apply,,Published 78% threshold has no official US-GPA conversion and admission is selective,Ask graduate admissions how the applicant's US transcript is converted and confirm Fall 2027 net funding,yes; one faculty match verified in this bounded pass,"Official program, funding, and fee pages checked 2026-09-09",Primary Waterloo route; research fit is direct in empirical software engineering and DevOps.
ca:dli:O19305471522:program:direct-entry-phd:phd-in-computer-science-direct-from-bachelor-s-exception,ca:dli:O19305471522,University of Waterloo,Canada,PhD in Computer Science (direct from bachelor's exception),Direct-entry PhD,Computer Science,https://uwaterloo.ca/computer-science/future-graduate-students/programs,Doctoral research and dissertation,Doctoral program requirements; direct entrants should expect about six years,Software Engineering Research Group; Software REBELs,"yes, but only exceptional applicants",yes,English,Active on current official page,yes,retained,,Not separately stated on route summary,Exceptional direct-entry standard; normal PhD entry is after a master's,Strong CS research background,Not listed as required,Proof if applicable; US-degree waiver not independently verified,December 1 (recurring annual rule),Official page gives December 1 for September of the following year; not explicitly labeled Fall 2027.,150,CAD,,,yes; per program,Hybrid; supervisor required before acceptance,Not required to apply; establishing contact advised,TA plus GRS and awards,Guaranteed full-time PhD package within time limits,51090 annual international package (Fall 2026 rate),CAD,6 expected for bachelor's entry; guarantee wording is within time limits,Included in package design; verify offer net,Not separately stated,Not separately verified,Annual package,"Full-time, satisfactory progress, duties, and time-limit conditions",partly,Published full-time PhD package,Not applicable to this route,,28,14,42,24,8,8,3,85,Reach,Outreach Before Decision,,Direct entry is expressly exceptional; applicant's research helps but GPA is not obviously exceptional,Would the department encourage PhD direct entry or the MMath route for this profile?,yes; one faculty match verified in this bounded pass,Official route and funding pages checked 2026-09-09,Materially different alternate; do not substitute it for the more plausible MMath without advice.
ca:dli:O19330231062:program:thesis-or-research-master-s:msc-in-computer-science-research,ca:dli:O19330231062,University of British Columbia,Canada,MSc in Computer Science (research),Thesis or research master's,Computer Science,https://www.cs.ubc.ca/students/grad/admissions,Research MSc with about 16 months of full-time research in a two-year program,Research thesis route; exact credits are in the calendar,Software Practices Lab; Software Engineering research group,yes; equivalent four-year bachelor's,yes,English,Active on current official page,yes,retained,,Country-specific UBC minimum,Official eligibility page directs applicants to country-specific credential rules,Substantial CS background; required undergraduate course equivalents,Not identified as required on department application page,Country/credential-specific; verify against UBC English policy,December 15 (department page; official-source conflict),"Department page gives December 15, while the Graduate School says the upcoming intake is not yet configured; recheck and preserve the conflict.",168.25,CAD,Automatic only for eligible applicants in UN least-developed-country list and limited central categories,Possible by program/intake,yes; each program and intake,Committee/department admission with later matching,Not necessary; department says faculty may not respond due to volume,"TA, RA, fellowships, and tuition awards",Guaranteed at department standard minimum for two years,42107 total package; 30467 net after listed tuition/fees in year 1 (2026-27 international),CAD,2,"Year-one Faculty of Science tuition award plus $3,200 international tuition award; lower net in year two","Listed fees $1,558 reduce package net",Included among listed student fee components; verify plan specifics,Annual guarantee,Within two-year guarantee; TA/RA/fellowship composition varies,no for departmental minimum; composition may include RA,Guaranteed five years at PhD minimum,"Guaranteed two years; international net $30,467 year 1 and $24,728 year 2 at 2026-27 rates",Faculty of Science Tuition Award; International Tuition Award,26,14,40,24,12,9,3,88,Plausible to reach,Likely Apply,,Highly competitive pool and materially lower year-two net after the one-year tuition award,Confirm whether the 2027-28 package preserves the year-two international net level,yes; one faculty match verified in this bounded pass,"Official Fall 2027 admissions, eligibility, funding, and fee pages checked 2026-09-09",Primary UBC route.
ca:dli:O19330231062:program:integrated-or-structured-doctorate:phd-track-via-msc,ca:dli:O19330231062,University of British Columbia,Canada,PhD Track via MSc,Integrated or structured doctorate,Computer Science,https://www.cs.ubc.ca/students/grad/admissions/eligibility,Begins under MSc funding and transfers to PhD after selection/decision,MSc-stage requirements before PhD transfer; doctorate thereafter,Software Practices Lab; Software Engineering research group,"yes, through selection of exceptional master's applicants",yes,English,Active on current official page,yes,retained,,Country-specific UBC minimum; selection is exceptional,Applicants apply to MSc; selected exceptional applicants may enter PhD Track,Four-year bachelor equivalent and sufficient CS background,Not identified as required,Country/credential-specific,December 15 (department page; official-source conflict),"Department page gives December 15, while the Graduate School says the upcoming intake is not yet configured; recheck.",168.25,CAD,Central limited waiver rules,,,Committee selection from MSc applicants; later PhD transfer,Not necessary,MSc guarantee before transfer; PhD guarantee after transfer,Guaranteed at applicable MSc/PhD standard minimums,Same as MSc before transfer; same as PhD after transfer,CAD,MSc-stage then five-year PhD schedule; confirm counting in offer,MSc/PhD tuition awards as applicable,Fees reduce published net,Student fees include health/dental component; verify specifics,Annual,Successful selection and transfer to PhD; satisfactory progress,no for department minimum,"After transfer, same as PhD ($46,236 total international package in 2026-27)","Before transfer, same as thesis MSc",,26,14,40,24,8,8,3,83,Reach,Outreach Before Decision,,PhD Track is not a separately assured direct-admit route; selection is exceptional,Whether the applicant should signal PhD Track interest and how selection occurs for Fall 2027,yes; one faculty match verified in this bounded pass,"Official Fall 2027 admissions, eligibility, funding, and fee pages checked 2026-09-09","Exceptional MSc/transfer structure, not a standalone guaranteed direct-PhD admission route."
ca:dli:O19332746152:program:direct-entry-phd:phd-in-computer-science-phd-u,ca:dli:O19332746152,University of Toronto,Canada,PhD in Computer Science (PhD U),Direct-entry PhD,Computer Science,https://web.cs.toronto.edu/graduate/faq,Research-stream doctorate with dissertation,Direct-entry PhD-U; departmental PhD requirements apply,Software Engineering group; formal methods and assurance research,yes; this is the instructed route for international applicants with an equivalent honours bachelor in a closely related field,yes,English,Active on current official page,yes,retained,,SGS minimum plus department competitiveness; exact PhD-U threshold not captured on current page,Department reviews complete record and research readiness,Honours bachelor's equivalent in closely related field,Optional; recommended for applicants educated outside Canada in department guidance,Credential-specific SGS policy; verify US-degree exemption,TBD,Official page says Fall 2027 applications open October 2026; deadline not yet published as of access date,130,CAD,Department says no fee waiver,One research-stream application urged,yes for separate programs,Committee-based; applicants name faculty/research interests; interviews possible,Optional; no supervisor required before application,A&S minimum support plus TA/RA and departmental fellowship,"Guaranteed full-time research-stream funding; enhanced package targets $39,500 take-home",39500 take-home living allowance after tuition and incidentals (2026-27 enhanced package),CAD,5 for PhD-U,Enhanced package explicitly targets take-home after tuition/incidentals,Covered before stated take-home,Not separately itemized in reviewed source,Annual package,Good standing; disclose/apply for eligible awards; package may be recomposed,no for department guarantee,"2026-27 international A&S minimum $41,122 plus up to $7,948 departmental enhancement",International applicants are not considered for the MSc,Departmental Fellowship; entrance awards; OGS-VISA and other external awards,28,14,42,25,9,10,2,88,Reach,Likely Apply,,Extremely selective direct-entry doctorate and exact Fall 2027 deadline remains unpublished,Recheck deadline immediately after the Fall 2027 application opens in October 2026,yes; one faculty match verified in this bounded pass,"Official Fall 2027 application notice, eligibility FAQ, funding, and fee pages checked 2026-09-09",International bachelor's applicants are explicitly directed away from MSc and to PhD-U.
ca:dli:O19359011033:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O19359011033,McGill University,Canada,MSc in Computer Science (thesis),Thesis or research master's,Computer Science,https://www.mcgill.ca/gradapplicants/program/computer-science-msc,Research-intensive thesis MSc,Thesis route; departmental/calendar requirements apply,Software Engineering research faculty,yes; bachelor with at least a minor-equivalent background in CS,yes,English,Active on current official page,yes,deep_review_pending_numeric_funding,,3.2/4.0 stated on program page,Published minimum; competitive admission,At least minor-equivalent computer science background,Optional for MSc applicants educated outside Canada,Recognized Canadian or US degree qualifies under the official department instruction,December 15 (year not stated),Current recurring Fall international deadline; Fall 2027 year must be reconfirmed,143.82,CAD,No GPS fee waivers; one fee covers up to two programs in same term,yes; up to two in same term,no for first two same-term program choices,Hybrid departmental review and supervisor matching,Identify potential thesis supervisors; department notes professors may contact applicants after deadline,"Scholarships, RA and TA; supervisor/department dependent","All PhD and most MSc described as funded, but no current numeric MSc minimum/guarantee located",unknown,CAD,unknown,not verified,not verified,not verified,not verified,Offer-specific; likely supervisor/assistantship dependent,yes/unclear,Department FAQ says all PhD students funded; current amount not verified,Department FAQ says most MSc students funded; no numeric guarantee verified,McCall MacBain and central graduate awards; competitiveness/eligibility varies,27,12,39,12,13,9,4,77,Plausible,Outreach Before Decision,,No current official numeric minimum or guarantee for MSc funding was found,Will an international thesis MSc offer guarantee a net amount after tuition for the full expected duration?,yes; one faculty match verified in this bounded pass,Official program/deadline/fee pages checked; funding precision unresolved,Retained conditionally because research fit and bachelor eligibility are strong; do not treat as financially cleared.
ca:dli:O19359011007:program:thesis-or-research-master-s:master-of-computer-science-thesis,ca:dli:O19359011007,Concordia University,Canada,Master of Computer Science (thesis),Thesis or research master's,Computer Science,https://www.concordia.ca/academics/graduate/computer-science-mcompsc.html,45 credits including 29-credit research thesis,29 thesis credits,Data-driven Analysis of Software (DAS) Lab; Software Engineering Research Centre,yes,yes,English,Active on current official page,yes,deep_review_pending_numeric_funding,,High standing; university example 3.0/4.3 equivalent,Program and international equivalency review may be stricter,"Bachelor in CS, mathematics, engineering, science, or cognate area with high standing",Not identified as required,Credential-specific; verify,March 1 (year not stated),Current recurring international Fall deadline; Fall 2027 year must be reconfirmed,100,CAD,No fee waivers on current instruction page,yes,yes; complete fee per application,Supervisor-match gate after departmental review,Highly recommended after applying; up to three faculty may be named; no offer without match,"Awards, TA and RA packages offered to most thesis students",Generally available to most thesis students; no guaranteed numeric minimum published,unknown,CAD,unknown,not verified,not verified,not verified,not verified,Offer- and supervisor-dependent,yes,Generally available thesis funding; no numeric guarantee verified,"Packages generally available to most thesis students, not stated as universal guarantee",Automatic consideration for entrance awards,29,13,42,13,13,9,4,81,Plausible,Outreach Before Decision,,Supervisor match is mandatory and funding is not quantified or guaranteed publicly,Can a potential supervisor/department confirm a two-year net funding floor for an international MCompSc?,yes; one faculty match verified in this bounded pass,"Official program, supervisor-process, and fee pages checked; funding precision unresolved",Strong topical match; ordinary course-based MApCompSc is not a substitute for this audit.
ca:dli:O19257171832:program:thesis-or-research-master-s:msc-in-computing-science-thesis,ca:dli:O19257171832,University of Alberta,Canada,MSc in Computing Science (thesis),Thesis or research master's,Computer Science,https://www.ualberta.ca/en/admissions/media-library/ua_viewbook_graduate-studies_2026-27_web.pdf,Official 2026-27 viewbook identifies thesis MSc; detailed current department page was not reliably accessible,Thesis route; exact credits need second-pass confirmation,Software Engineering and empirical software research,yes; historical/current official materials describe honours-equivalent bachelor and CS/math preparation,yes,English,Active on current official page,yes,downgraded_pending_funding_and_deadline,,3.0/4.0 general graduate minimum; department-specific current page not captured,General minimum; program may be more competitive,Strong computing science and mathematics background,not verified,not verified,TBD,No public department-specific Fall 2027 date verified in this pass,135,CAD,No program-specific waiver verified,not verified,not verified,Supervisor-linked thesis admission; exact pre-contact requirement unresolved,General thesis guidance says connect with a supervisor; department detail unresolved,RA/TA and awards; department minimum not verified,unknown; no current Computing Science numeric guarantee verified,unknown,CAD,unknown,unknown,unknown,unknown,unknown,unknown,likely; verify,not verified,not verified,Competitive University of Alberta Graduate Entrance Scholarship; not a general guarantee,25,11,36,5,12,8,3,64,Plausible,Investigate Further,,"Admissions deadline, funding floor, and net international support remain unresolved due incomplete department-page access",Ask csapplygrad@ualberta.ca for Fall 2027 deadline and guaranteed MSc funding after tuition/fees,yes; one faculty match verified in this bounded pass,Partial official verification; do not rank as financially cleared,Bounded review retained only as an investigation route because faculty fit is strong.
ca:dli:O19425660421:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O19425660421,University of Saskatchewan,Canada,MSc in Computer Science (thesis),Thesis or research master's,Computer Science,https://grad.usask.ca/programs/computer-science.php,Thesis-based MSc; project route also exists,Thesis program; exact credits on official page/calendar,Software Research Lab; Software Analytics Research (SOAR),yes; four-year honours degree or equivalent in relevant discipline,yes,English,Active on current official page,yes,retained,,70% USask equivalent over last two years,Published minimum,Relevant academic discipline; CS background expected,Not listed as required,Department-specific stricter rules; medium-of-instruction letters are not automatically accepted,Not yet published,The official department page still labels December 15 for Fall 2026; no Fall 2027 date is inferred.,145,CAD,No waiver listed,not verified,not verified,Departmental; supervisor approval not required to apply,Optional/appropriate for research fit,Departmental support plus tuition offset; mostservice duties often required,Normally funded for full expected 20 months; automatic consideration,Tuition plus 18000 for first 12 months; 8 months tuition plus 12000 for next 8 months,CAD,1.67,Tuition at admission rate plus international tuition offset bursary,Student fees are additional and not stated as covered,Student fees include health/dental; not stated as covered,20-month schedule spans summer,Funding may require lab-instructor/marker service; some sources require 80% entry and 75% maintenance,not solely; departmental system,"Tuition plus $20,000/year normally for four years",Explicit 20-month schedule with international tuition offset,CGRS/NSERC top-ups where eligible,27,13,40,23,13,9,4,89,Plausible,Likely Apply,,Living component is modest and some funding sources impose an 80% admission GPA condition,Confirm which funding-source GPA condition would apply to this offer and the 2027-28 fee amount,yes; one faculty match verified in this bounded pass,Official current program/admissions/funding/fee page checked 2026-09-09,Strong financial precision relative to most Canadian MSc options.
ca:dli:O19280533442:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O19280533442,University of Victoria,Canada,MSc in Computer Science (thesis),Thesis or research master's,Computer Science,https://www.uvic.ca/ecs/computerscience/programs/msc/index.php,Faculty-supervised thesis or project; thesis route selected,Thesis route; exact credits in graduate calendar,CHISEL research group; software and its engineering strength,yes; four-year bachelor equivalent,yes,English,Active on current official page,yes,deep_review_pending_numeric_funding,,B average over last two years (central minimum),Published minimum; competitive and supervisor capacity-limited,"Usually CS, CE, software engineering, or mathematics with CS emphasis",Optional but highly recommended for international applicants,Official FAQ accepts qualifying designated-country study or official instruction evidence; verify US credential details,December 15 (year not stated),Current September-entry deadline; Fall 2027 year not explicitly labeled,183,CAD,No waiver identified; fee applies when any documents originate outside Canada,not verified,not verified,Supervisor-led final admission after central eligibility review,Not required; list potential supervisors; contact is permitted,"TA, ARA, fellowships and external awards",Automatic consideration and offer normally includes funding; no universal numeric minimum/guarantee found,unknown; UVic fellowships may be up to 20000 but are not guaranteed,CAD,unknown,not verified,not verified,not verified,not verified,"Faculty availability, funding and space determine admission",yes,not quantified in reviewed sources,"Normally included in offer, but no public floor verified","UVic fellowships up to $20,000; automatic consideration, competitive",28,13,41,12,13,9,2,77,Plausible,Outreach Before Decision,,"No numeric, duration-specific guarantee and admission depends on faculty capacity/funding",Can the department or prospective supervisor confirm a two-year net minimum for an international thesis MSc?,yes; one faculty match verified in this bounded pass,Official program/admissions/funding/fee pages checked; funding precision unresolved,Good faculty/research fit but financially conditional.
